ID;Source;Target;Weight;Type;Label
1;72;109;140;Undirected;140
2;82;109;115;Undirected;115
3;88;109;90;Undirected;90
4;66;82;76;Undirected;76
5;48;66;59;Undirected;59
6;95;107;52;Undirected;52
7;93;109;48;Undirected;48
8;87;109;47;Undirected;47
9;108;109;46;Undirected;46
10;82;93;46;Undirected;46
11;64;88;45;Undirected;45
12;35;66;43;Undirected;43
13;64;110;43;Undirected;43
14;77;82;43;Undirected;43
15;4;70;42;Undirected;42
16;72;82;40;Undirected;40
17;97;108;39;Undirected;39
18;88;107;37;Undirected;37
19;82;108;37;Undirected;37
20;77;88;37;Undirected;37
21;82;88;37;Undirected;37
22;82;87;36;Undirected;36
23;55;93;35;Undirected;35
24;66;107;34;Undirected;34
25;72;88;33;Undirected;33
26;49;109;31;Undirected;31
27;93;108;30;Undirected;30
28;107;109;29;Undirected;29
29;35;48;28;Undirected;28
30;54;82;27;Undirected;27
31;77;109;27;Undirected;27
32;95;109;26;Undirected;26
33;3;54;25;Undirected;25
34;48;107;25;Undirected;25
35;7;95;25;Undirected;25
36;21;107;24;Undirected;24
37;80;107;24;Undirected;24
38;66;109;24;Undirected;24
39;45;50;24;Undirected;24
40;35;107;23;Undirected;23
41;93;95;23;Undirected;23
42;82;95;23;Undirected;23
43;64;109;23;Undirected;23
44;86;107;23;Undirected;23
45;32;54;22;Undirected;22
46;55;109;22;Undirected;22
47;64;72;22;Undirected;22
48;55;79;21;Undirected;21
49;63;74;21;Undirected;21
50;66;88;21;Undirected;21
51;59;93;21;Undirected;21
52;55;88;20;Undirected;20
53;82;107;19;Undirected;19
54;54;107;19;Undirected;19
55;64;107;19;Undirected;19
56;7;107;18;Undirected;18
57;55;82;18;Undirected;18
58;55;64;18;Undirected;18
59;64;93;18;Undirected;18
60;52;55;18;Undirected;18
61;55;107;18;Undirected;18
62;55;59;18;Undirected;18
63;97;109;18;Undirected;18
64;7;74;17;Undirected;17
65;72;93;17;Undirected;17
66;64;108;17;Undirected;17
67;64;82;17;Undirected;17
68;34;64;17;Undirected;17
69;32;109;16;Undirected;16
70;75;76;16;Undirected;16
71;88;95;16;Undirected;16
72;54;60;16;Undirected;16
