ID;Source;Target;Weight;Type;Label
1;76;123;93;Undirected;93
2;41;124;51;Undirected;51
3;45;69;36;Undirected;36
4;2;60;34;Undirected;34
5;12;68;28;Undirected;28
6;67;124;27;Undirected;27
7;76;121;27;Undirected;27
8;76;88;26;Undirected;26
9;68;78;26;Undirected;26
10;55;69;21;Undirected;21
11;94;100;21;Undirected;21
12;121;123;21;Undirected;21
13;65;71;21;Undirected;21
14;69;72;20;Undirected;20
15;94;121;20;Undirected;20
16;23;63;20;Undirected;20
17;41;67;20;Undirected;20
18;23;69;19;Undirected;19
19;98;99;18;Undirected;18
20;65;96;18;Undirected;18
21;121;124;18;Undirected;18
22;105;124;17;Undirected;17
23;33;55;17;Undirected;17
24;60;121;16;Undirected;16
25;27;116;16;Undirected;16
26;46;121;16;Undirected;16
27;29;124;15;Undirected;15
28;45;55;15;Undirected;15
29;76;124;15;Undirected;15
30;33;69;15;Undirected;15
31;65;118;14;Undirected;14
32;33;45;14;Undirected;14
33;76;99;14;Undirected;14
34;41;76;14;Undirected;14
35;74;124;14;Undirected;14
36;6;121;13;Undirected;13
37;23;42;13;Undirected;13
38;45;72;13;Undirected;13
39;56;85;13;Undirected;13
40;88;98;12;Undirected;12
41;58;66;12;Undirected;12
42;41;105;12;Undirected;12
43;26;27;12;Undirected;12
44;65;70;12;Undirected;12
45;49;113;12;Undirected;12
46;45;121;12;Undirected;12
47;60;65;12;Undirected;12
48;4;55;11;Undirected;11
49;50;121;11;Undirected;11
50;89;123;11;Undirected;11
51;56;81;11;Undirected;11
52;60;99;11;Undirected;11
53;99;123;11;Undirected;11
54;58;76;11;Undirected;11
55;65;121;11;Undirected;11
56;50;65;10;Undirected;10
57;40;124;10;Undirected;10
58;58;82;10;Undirected;10
59;50;72;10;Undirected;10
60;50;76;10;Undirected;10
61;78;111;10;Undirected;10
62;123;124;10;Undirected;10
63;12;62;10;Undirected;10
64;88;123;10;Undirected;10
65;8;113;10;Undirected;10
66;63;94;9;Undirected;9
67;68;111;9;Undirected;9
68;76;100;9;Undirected;9
69;89;124;9;Undirected;9
70;100;121;9;Undirected;9
71;29;67;9;Undirected;9
72;29;81;9;Undirected;9
73;81;121;9;Undirected;9
74;23;55;9;Undirected;9
75;74;117;9;Undirected;9
76;8;73;9;Undirected;9
77;50;69;9;Undirected;9
78;58;62;9;Undirected;9
79;78;110;8;Undirected;8
80;41;56;8;Undirected;8
81;76;94;8;Undirected;8
82;27;76;8;Undirected;8
83;76;116;8;Undirected;8
84;90;106;8;Undirected;8
85;71;96;8;Undirected;8
86;76;89;8;Undirected;8
87;76;84;8;Undirected;8
88;56;123;8;Undirected;8
89;64;65;8;Undirected;8
90;23;33;8;Undirected;8
91;98;123;8;Undirected;8
92;65;124;8;Undirected;8
93;68;124;8;Undirected;8
94;27;89;7;Undirected;7
95;8;71;7;Undirected;7
96;101;124;7;Undirected;7
97;52;65;7;Undirected;7
98;27;100;7;Undirected;7
99;41;94;7;Undirected;7
100;110;111;7;Undirected;7
101;69;121;7;Undirected;7
102;50;62;7;Undirected;7
103;12;81;6;Undirected;6
104;101;123;6;Undirected;6
105;23;85;6;Undirected;6
106;78;121;6;Undirected;6
107;32;56;6;Undirected;6
108;79;84;6;Undirected;6
109;56;76;6;Undirected;6
110;79;80;6;Undirected;6
111;67;81;6;Undirected;6
112;2;121;6;Undirected;6
113;58;60;6;Undirected;6
114;54;124;6;Undirected;6
115;60;62;6;Undirected;6
116;68;85;6;Undirected;6
117;78;124;6;Undirected;6
118;26;121;6;Undirected;6
119;12;56;6;Undirected;6
120;100;113;6;Undirected;6
121;12;78;6;Undirected;6
122;5;60;6;Undirected;6
123;50;60;6;Undirected;6
124;63;100;6;Undirected;6
125;60;76;6;Undirected;6
126;116;121;6;Undirected;6
127;44;124;6;Undirected;6
128;75;110;6;Undirected;6
129;33;121;6;Undirected;6
130;52;64;6;Undirected;6
131;27;121;6;Undirected;6
132;69;74;6;Undirected;6
133;27;55;6;Undirected;6
134;23;50;6;Undirected;6
135;27;69;6;Undirected;6
136;58;64;5;Undirected;5
137;55;99;5;Undirected;5
138;65;85;5;Undirected;5
139;4;69;5;Undirected;5
140;68;110;5;Undirected;5
141;46;76;5;Undirected;5
142;56;121;5;Undirected;5
143;29;68;5;Undirected;5
144;50;123;5;Undirected;5
145;55;76;5;Undirected;5
146;38;74;5;Undirected;5
147;54;60;5;Undirected;5
148;70;121;5;Undirected;5
