Id;Label;Size;Category
109;USP/SC;38674;SUDESTE
35;UERJ;34277;SUDESTE
107;USP;31396;SUDESTE
66;UFRJ;23571;SUDESTE
97;UNIFRAN;12915;SUDESTE
82;UNESP-ARAR;11244;SUDESTE
64;UFPR;11197;SUL
88;UNICAMP;10841;SUDESTE
48;UFF;9382;SUDESTE
80;UNB;8961;CENTRO-OESTE
95;UNIFESP;8530;SUDESTE
74;UFSM;8417;SUL
47;UFES;7694;SUDESTE
84;UNESP-IFT;6708;SUDESTE
93;UNIFAL-MG;6684;SUDESTE
44;UFC;5355;NORDESTE
72;UFSCAR;4925;SUDESTE
49;UFG;4901;CENTRO-OESTE
54;UFMA;4799;NORDESTE
7;FURG;4566;SUL
55;UFMG;4324;SUDESTE
21;ON;4077;SUDESTE
77;UFU;3886;SUDESTE
108;USP/RP;3788;SUDESTE
110;UTFPR;3758;SUL
62;UFPE;3584;NORDESTE
60;UFPA;3145;NORTE
79;UFVJM;3077;SUDESTE
67;UFRN;3029;NORDESTE
4;FUFSE;2810;NORDESTE
25;PUC-RIO;2611;SUDESTE
68;UFRPE;2118;NORDESTE
87;UNESP-SJRP;2117;SUDESTE
43;UFBA;1984;NORDESTE
86;UNESP-RC;1955;SUDESTE
52;UFJF;1877;SUDESTE
85;UNESP-PP;1864;SUDESTE
20;ITA;1808;SUDESTE
65;UFRGS;1749;SUL
46;UFCG;1649;NORDESTE
41;UFAL;1569;NORDESTE
63;UFPEL;1509;SUL
32;UEM;1424;SUL
34;UEPG;1330;SUL
70;UFS;1324;NORDESTE
83;UNESP-GUAR;1289;SUDESTE
102;UNISINOS;1282;SUL
61;UFPB-JP;1244;NORDESTE
53;UFLA;1189;SUDESTE
69;UFRRJ;1183;SUDESTE
2;CEFET/RJ;1102;SUDESTE
59;UFOP;969;SUDESTE
16;IMPA;861;SUDESTE
1;CBPF;856;SUDESTE
78;UFV;788;SUDESTE
42;UFAM;750;NORTE
3;FUFPI;726;NORDESTE
38;UESC;699;NORDESTE
57;UFMT;672;CENTRO-OESTE
18;INPE;578;SUDESTE
76;UFT-PALMAS;566;NORTE
31;UEL;531;SUL
90;UNICID;488;SUDESTE
94;UNIFEI;419;SUDESTE
56;UFMS;407;CENTRO-OESTE
29;UDESC;395;SUL
104;UNIVAP;394;SUDESTE
71;UFSC;328;SUL
89;UNICENTRO;284;SUL
50;UFGD;262;CENTRO-OESTE
92;UNIFACS;255;NORDESTE
103;UNIVALI;224;SUL
101;UNIRIO;215;SUDESTE
37;UESB;209;NORDESTE
45;UFCAT;206;CENTRO-OESTE
27;SBM;183;SUDESTE
106;UPM;183;SUDESTE
100;UNIPAMPA;177;SUL
75;UFT;170;NORTE
6;FURB;158;SUL
23;PUC/PR;141;SUL
96;UNIFOR;141;NORDESTE
5;FUPF;125;SUL
105;UPE;119;NORDESTE
99;UNIOESTE;110;SUL
24;PUC/RS;99;SUL
22;PUC/MG;86;SUDESTE
73;UFSJ;84;SUDESTE
15;IME;67;SUDESTE
36;UERN;64;NORDESTE
98;UNILA;62;SUL
28;SENAI-CIMATEC;58;NORDESTE
11;IFMA - MC;48;NORDESTE
10;IFES;47;SUDESTE
51;UFJ;25;CENTRO-OESTE
19;IPT;22;SUDESTE
9;IFCE;21;NORDESTE
91;UNIFACCAMP;20;SUDESTE
17;INPA;14;NORTE
14;IFSC;10;SUL
30;UECE;9;NORDESTE
40;UFABC;8;SUDESTE
39;UESPI;7;NORDESTE
33;UEPB;7;NORDESTE
26;SBF;6;SUDESTE
12;IFMT;4;CENTRO-OESTE
81;UNEB;4;NORDESTE
58;UFOB;3;NORDESTE
13;IFPB;2;NORDESTE
8;IEAPM;2;SUDESTE
