Id;Label;Size;Category
121;USP;27283;SUDESTE
124;UTFPR;25165;SUL
4;CEFET/RJ;21494;SUDESTE
23;IME;14705;SUDESTE
33;PUC-RIO;14315;SUDESTE
78;UFSM;13971;SUL
76;UFSCAR;12607;SUDESTE
65;UFPE;12396;NORDESTE
123;USP/SC;11713;SUDESTE
41;UEM;11535;SUL
69;UFRJ;9103;SUDESTE
45;UERJ;7821;SUDESTE
89;UNESP-BAURU;7463;SUDESTE
60;UFMG;6889;SUDESTE
110;UNISC;6426;SUL
91;UNESP-IS;6336;SUDESTE
68;UFRGS;6330;SUL
67;UFPR;6187;SUL
85;UNB;6085;CENTRO-OESTE
50;UFC;5938;NORDESTE
62;UFOP;5512;SUDESTE
27;ITA;4900;SUDESTE
55;UFF;4682;SUDESTE
88;UNESP-ARAR;4407;SUDESTE
81;UFU;4138;SUDESTE
25;INATEL;3941;SUDESTE
63;UFPA;3790;NORTE
113;UNIT-SE;3635;NORDESTE
106;UNIP;3544;SUDESTE
99;UNIFEI;3166;SUDESTE
74;UFSC;3106;SUL
49;UFBA;2956;NORDESTE
71;UFRPE;2867;NORDESTE
107;UNIPAMPA;2584;SUL
83;UMC;2578;SUDESTE
116;UNIVBRASIL;2377;SUDESTE
56;UFG;2098;CENTRO-OESTE
117;UNIVILLE;2089;SUL
34;UAM;2083;SUDESTE
58;UFLA;2066;SUDESTE
6;FEI;1992;SUDESTE
64;UFPB-JP;1871;NORDESTE
70;UFRN;1859;NORDESTE
120;USJT;1820;SUDESTE
42;UENF;1744;SUDESTE
29;PUC/PR;1735;SUL
94;UNICAMP;1679;SUDESTE
52;UFCG;1643;NORDESTE
46;UFABC;1518;SUDESTE
111;UNISINOS;1481;SUL
2;CDTN;1459;SUDESTE
84;UNAERP;1378;SUDESTE
100;UNIFESP;1356;SUDESTE
59;UFMA;1301;NORDESTE
72;UFRRJ;1292;SUDESTE
12;FURG;1280;SUL
77;UFSJ;1250;SUDESTE
96;UNICAP;1083;NORDESTE
54;UFES;1049;SUDESTE
13;IEPASD;1023;NORDESTE
31;PUCCAMP;952;SUDESTE
38;UDESC;789;SUL
57;UFJF;768;SUDESTE
122;USP/EEL;746;SUDESTE
8;FUFSE;716;NORDESTE
98;UNIFAL-MG;610;SUDESTE
101;UNILA;609;SUL
90;UNESP-GUAR;579;SUDESTE
26;INPE;579;SUDESTE
30;PUC/RS;562;SUL
32;PUC-GO;554;CENTRO-OESTE
104;UNINOVE;533;SUDESTE
105;UNIOESTE;496;SUL
119;UPM;483;SUDESTE
44;UEPG;409;SUL
66;UFPEL;391;SUL
93;UNIARA;372;SUDESTE
40;UEL;355;SUL
95;UNICAMP/LI;343;SUDESTE
11;FURB;337;SUL
61;UFMS;310;CENTRO-OESTE
10;FUPF;300;SUL
82;UFV;293;SUDESTE
108;UNISANTA;259;SUDESTE
48;UFAM;247;NORTE
5;CEFET-MG;236;SUDESTE
43;UEPB;231;NORDESTE
18;IFMA - MC;198;NORDESTE
87;UNESC;191;SUL
51;UFCAT;190;CENTRO-OESTE
115;UNIVAP;173;SUDESTE
118;UPE;161;NORDESTE
73;UFS;158;NORDESTE
92;UNESP-SOR;143;SUDESTE
28;PUC/MG;143;SUDESTE
16;IFF;141;SUDESTE
3;CEETEPS;136;SUDESTE
112;UNITAU;127;SUDESTE
75;UFSC - BLUMENAU;116;SUL
114;UNIUBE;114;SUDESTE
14;IFCE;107;NORDESTE
80;UFT-PALMAS;80;NORTE
39;UEFS;68;NORDESTE
21;IFSP;52;SUDESTE
97;UNICENTRO;49;SUL
36;UCPEL;48;SUL
102;UNILAB;47;NORDESTE
7;FUFPI;43;NORDESTE
103;UNIMEP;35;SUDESTE
79;UFT;35;NORTE
15;IFES;33;SUDESTE
47;UFAL;30;NORDESTE
9;FUMEC;26;SUDESTE
109;UNISATC;26;SUL
20;IFSC;11;SUL
17;IFGOIANO;10;CENTRO-OESTE
86;UNC;10;SUL
19;IFPA;9;NORTE
37;UCS;8;SUL
24;IMED;6;SUL
1;ATITUS;6;SUL
22;IFSUL;4;SUL
35;UCAM;3;SUDESTE
53;UFERSA;2;NORDESTE
