ID;Source;Target;Weight;Type;Label
1;72;109;301;Undirected;301
2;88;109;218;Undirected;218
3;82;109;206;Undirected;206
4;48;66;141;Undirected;141
5;88;107;119;Undirected;119
6;49;109;114;Undirected;114
7;66;82;110;Undirected;110
8;87;109;106;Undirected;106
9;64;109;96;Undirected;96
10;64;88;94;Undirected;94
11;80;107;90;Undirected;90
12;107;109;89;Undirected;89
13;48;107;89;Undirected;89
14;72;88;88;Undirected;88
15;72;82;84;Undirected;84
16;93;109;83;Undirected;83
17;66;107;83;Undirected;83
18;108;109;79;Undirected;79
19;86;107;79;Undirected;79
20;46;61;79;Undirected;79
21;66;88;79;Undirected;79
22;80;109;75;Undirected;75
23;82;88;72;Undirected;72
24;64;107;70;Undirected;70
25;95;107;69;Undirected;69
26;3;54;69;Undirected;69
27;4;70;69;Undirected;69
28;77;88;69;Undirected;69
29;77;109;68;Undirected;68
30;77;82;67;Undirected;67
31;66;109;64;Undirected;64
32;41;43;62;Undirected;62
33;35;66;62;Undirected;62
34;82;108;62;Undirected;62
35;64;110;60;Undirected;60
36;54;60;59;Undirected;59
37;32;109;58;Undirected;58
38;55;88;58;Undirected;58
39;49;88;57;Undirected;57
40;41;109;55;Undirected;55
41;82;93;55;Undirected;55
42;55;109;54;Undirected;54
43;60;109;54;Undirected;54
44;49;72;53;Undirected;53
45;21;107;51;Undirected;51
46;47;66;49;Undirected;49
47;54;88;48;Undirected;48
48;95;109;48;Undirected;48
49;97;108;48;Undirected;48
50;55;107;47;Undirected;47
51;82;107;46;Undirected;46
52;48;88;45;Undirected;45
53;72;87;44;Undirected;44
54;54;109;44;Undirected;44
55;25;54;44;Undirected;44
56;80;88;44;Undirected;44
57;34;64;43;Undirected;43
58;35;48;42;Undirected;42
59;49;54;42;Undirected;42
60;72;93;41;Undirected;41
61;55;93;41;Undirected;41
62;86;109;41;Undirected;41
63;49;82;41;Undirected;41
64;64;72;40;Undirected;40
65;55;64;39;Undirected;39
66;48;109;39;Undirected;39
67;62;107;39;Undirected;39
68;49;64;39;Undirected;39
69;54;107;39;Undirected;39
70;35;107;38;Undirected;38
71;55;59;38;Undirected;38
72;62;80;37;Undirected;37
73;55;79;36;Undirected;36
74;54;64;35;Undirected;35
75;54;82;35;Undirected;35
76;49;93;35;Undirected;35
77;44;54;35;Undirected;35
78;77;107;34;Undirected;34
79;93;108;34;Undirected;34
80;48;55;34;Undirected;34
81;25;109;34;Undirected;34
82;66;72;34;Undirected;34
83;88;93;33;Undirected;33
84;82;87;33;Undirected;33
85;44;60;33;Undirected;33
86;25;66;33;Undirected;33
87;7;74;33;Undirected;33
88;64;67;33;Undirected;33
89;82;95;33;Undirected;33
90;109;110;33;Undirected;33
91;63;74;32;Undirected;32
92;55;66;32;Undirected;32
93;64;82;32;Undirected;32
94;7;95;32;Undirected;32
95;41;77;32;Undirected;32
