ID;Source;Target;Weight;Type;Label
1;76;123;164;Undirected;164
2;67;124;82;Undirected;82
3;40;124;79;Undirected;79
4;55;69;71;Undirected;71
5;12;68;71;Undirected;71
6;76;121;68;Undirected;68
7;6;121;64;Undirected;64
8;121;124;63;Undirected;63
9;121;123;63;Undirected;63
10;41;124;62;Undirected;62
11;89;123;61;Undirected;61
12;45;69;60;Undirected;60
13;23;63;58;Undirected;58
14;29;124;53;Undirected;53
15;123;124;53;Undirected;53
16;89;124;50;Undirected;50
17;33;45;49;Undirected;49
18;68;78;47;Undirected;47
19;33;55;47;Undirected;47
20;2;60;47;Undirected;47
21;52;64;45;Undirected;45
22;27;121;44;Undirected;44
23;46;121;43;Undirected;43
24;23;69;42;Undirected;42
25;33;69;42;Undirected;42
26;29;67;41;Undirected;41
27;89;92;41;Undirected;41
28;41;67;39;Undirected;39
29;41;76;38;Undirected;38
30;4;55;38;Undirected;38
31;29;81;35;Undirected;35
32;45;55;35;Undirected;35
33;65;71;35;Undirected;35
34;56;81;35;Undirected;35
35;76;88;34;Undirected;34
36;56;85;34;Undirected;34
37;23;55;33;Undirected;33
38;98;99;32;Undirected;32
39;76;99;32;Undirected;32
40;50;77;32;Undirected;32
41;89;91;32;Undirected;32
42;62;121;31;Undirected;31
43;91;124;31;Undirected;31
44;76;124;31;Undirected;31
45;64;65;29;Undirected;29
46;60;62;29;Undirected;29
47;60;121;29;Undirected;29
48;70;121;27;Undirected;27
49;65;70;27;Undirected;27
50;58;66;27;Undirected;27
51;50;121;26;Undirected;26
52;78;111;26;Undirected;26
53;45;121;25;Undirected;25
54;27;46;25;Undirected;25
55;69;121;25;Undirected;25
56;8;73;25;Undirected;25
57;55;99;25;Undirected;25
58;4;69;25;Undirected;25
59;23;42;25;Undirected;25
60;91;123;25;Undirected;25
61;55;121;25;Undirected;25
62;77;123;25;Undirected;25
63;33;85;24;Undirected;24
64;81;121;24;Undirected;24
65;76;98;24;Undirected;24
66;6;76;24;Undirected;24
67;26;27;24;Undirected;24
68;27;99;24;Undirected;24
69;78;110;23;Undirected;23
70;60;76;23;Undirected;23
71;89;99;23;Undirected;23
72;27;50;23;Undirected;23
73;68;111;23;Undirected;23
74;27;33;23;Undirected;23
75;27;76;22;Undirected;22
76;55;76;22;Undirected;22
77;4;57;22;Undirected;22
78;27;116;22;Undirected;22
79;78;124;22;Undirected;22
80;76;95;22;Undirected;22
81;33;121;22;Undirected;22
82;27;100;22;Undirected;22
83;46;91;21;Undirected;21
84;27;91;21;Undirected;21
85;74;123;21;Undirected;21
86;68;74;21;Undirected;21
87;104;106;21;Undirected;21
88;110;111;21;Undirected;21
89;62;69;21;Undirected;21
90;62;82;20;Undirected;20
91;23;33;20;Undirected;20
92;85;123;20;Undirected;20
93;60;123;20;Undirected;20
94;57;69;20;Undirected;20
95;60;99;19;Undirected;19
96;76;77;19;Undirected;19
97;63;121;19;Undirected;19
98;76;89;19;Undirected;19
99;8;71;19;Undirected;19
100;81;123;19;Undirected;19
101;68;124;19;Undirected;19
102;121;122;19;Undirected;19
103;89;121;19;Undirected;19
104;85;124;19;Undirected;19
105;68;76;18;Undirected;18
106;41;94;18;Undirected;18
107;56;123;18;Undirected;18
108;52;65;18;Undirected;18
109;40;121;18;Undirected;18
110;64;99;18;Undirected;18
111;88;123;18;Undirected;18
112;55;63;18;Undirected;18
113;76;78;17;Undirected;17
114;88;98;17;Undirected;17
115;81;124;17;Undirected;17
116;51;123;17;Undirected;17
117;27;89;17;Undirected;17
118;99;122;17;Undirected;17
119;69;124;17;Undirected;17
120;74;124;17;Undirected;17
121;65;118;17;Undirected;17
122;50;76;17;Undirected;17
123;33;76;17;Undirected;17
124;5;60;17;Undirected;17
125;94;121;17;Undirected;17
126;55;57;17;Undirected;17
127;45;76;16;Undirected;16
128;69;72;16;Undirected;16
129;94;100;16;Undirected;16
130;29;121;16;Undirected;16
131;25;50;16;Undirected;16
132;54;121;16;Undirected;16
133;65;121;16;Undirected;16
134;27;55;16;Undirected;16
135;50;102;16;Undirected;16
136;65;96;16;Undirected;16
137;44;124;16;Undirected;16
138;54;63;16;Undirected;16
139;92;123;16;Undirected;16
140;57;99;16;Undirected;16
141;78;121;16;Undirected;16
142;68;99;15;Undirected;15
143;76;84;15;Undirected;15
144;106;108;15;Undirected;15
145;12;111;15;Undirected;15
146;74;76;15;Undirected;15
147;69;123;15;Undirected;15
148;85;121;15;Undirected;15
149;68;123;15;Undirected;15
150;64;121;15;Undirected;15
151;101;123;15;Undirected;15
152;55;123;15;Undirected;15
153;27;65;15;Undirected;15
154;99;123;15;Undirected;15
155;27;124;15;Undirected;15
156;67;81;15;Undirected;15
157;2;121;15;Undirected;15
158;32;56;15;Undirected;15
159;4;45;15;Undirected;15
160;12;56;15;Undirected;15
161;64;70;15;Undirected;15
162;4;23;14;Undirected;14
163;58;62;14;Undirected;14
164;106;121;14;Undirected;14
165;49;69;14;Undirected;14
166;49;121;14;Undirected;14
167;50;123;14;Undirected;14
168;40;123;14;Undirected;14
169;63;69;14;Undirected;14
170;62;85;14;Undirected;14
171;34;108;14;Undirected;14
172;90;106;14;Undirected;14
173;88;121;14;Undirected;14
174;23;123;14;Undirected;14
175;6;104;13;Undirected;13
176;4;33;13;Undirected;13
177;25;123;13;Undirected;13
178;68;121;13;Undirected;13
179;26;121;13;Undirected;13
180;27;123;13;Undirected;13
181;63;123;13;Undirected;13
182;91;121;13;Undirected;13
183;94;123;13;Undirected;13
184;76;100;13;Undirected;13
185;27;81;13;Undirected;13
186;74;121;13;Undirected;13
187;45;124;13;Undirected;13
188;77;99;13;Undirected;13
189;45;123;13;Undirected;13
190;68;107;13;Undirected;13
191;76;94;13;Undirected;13
192;32;85;13;Undirected;13
193;84;87;13;Undirected;13
194;50;85;13;Undirected;13
195;12;78;13;Undirected;13
196;12;81;13;Undirected;13
197;41;45;13;Undirected;13
198;27;122;12;Undirected;12
199;42;63;12;Undirected;12
200;69;85;12;Undirected;12
201;52;70;12;Undirected;12
202;65;124;12;Undirected;12
203;74;78;12;Undirected;12
204;14;50;12;Undirected;12
205;6;68;12;Undirected;12
206;49;57;12;Undirected;12
207;27;70;12;Undirected;12
208;59;65;12;Undirected;12
209;105;123;12;Undirected;12
210;49;64;12;Undirected;12
211;38;123;12;Undirected;12
212;50;124;11;Undirected;11
213;6;106;11;Undirected;11
214;68;69;11;Undirected;11
215;56;76;11;Undirected;11
216;6;46;11;Undirected;11
217;55;70;11;Undirected;11
218;104;121;11;Undirected;11
219;46;124;11;Undirected;11
220;33;77;11;Undirected;11
221;105;124;11;Undirected;11
222;23;54;11;Undirected;11
223;70;85;11;Undirected;11
224;33;62;11;Undirected;11
225;30;68;11;Undirected;11
226;8;113;11;Undirected;11
227;67;121;11;Undirected;11
228;38;124;11;Undirected;11
229;12;121;11;Undirected;11
230;38;74;11;Undirected;11
231;38;121;11;Undirected;11
232;51;76;11;Undirected;11
233;42;69;11;Undirected;11
