Source;Target;Weight;Label
ADRIANA MARIA COIMBRA HORBE;ELTON LUIZ DANTAS;1;1
ADRIANA MARIA COIMBRA HORBE;MARCIO FERNANDO DOS SANTOS ALBUQUERQUE;2;2
ADRIANA MARIA COIMBRA HORBE;RODRIGO TOKUTA CASTRO;1;1
ADRIANA MARIA COIMBRA HORBE;SANCLEVER FREIRE PEIXOTO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;ANA JÚLIA LUZIANO BRICEÑO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;ANA SOFIA S SILVESTRE;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;BIANCA P CASTRO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;CARLA DENISE CASTANHO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;CARLA MARIA CHAGAS E CAVALCANTE KOIKE;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;FERNANDA S MARCILIO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;HANANI E F SOARES;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;MARISTELA TERTO DE HOLANDA;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;MAURICIO MIRANDA SARMET;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;MIRELLA MOURA MORO;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;ROBERTA BARBOSA OLIVEIRA;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;TAIS A OLIVEIRA;1;1
ALETEIA PATRICIA FAVACHO DE ARAUJO VON PAUMGARTTEN;THAMIRES DE PONTES DA SILVA;1;1
ALINE LIMA DE OLIVEIRA PATERNO;ADRIANO OTAVIO MALDANER;1;1
ALINE LIMA DE OLIVEIRA PATERNO;PEDRO AFONSO DE PAULA PEREIRA;1;1
ALINE LIMA DE OLIVEIRA PATERNO;RICARDO LEAL CUNHA;1;1
ANDREA RODRIGUES CHAVES;ALLYSTER RODRIGUES SILVA;1;1
ANDREA RODRIGUES CHAVES;BONIEK GONTIJO VAZ;1;1
ANDREA RODRIGUES CHAVES;DENISE COUTINHO ENDRINGER;1;1
ANDREA RODRIGUES CHAVES;JULIA MARTINS FORTALO;1;1
ANDREA RODRIGUES CHAVES;JUSSARA VALENTE ROQUE;1;1
ANDREA RODRIGUES CHAVES;LANAIA ITALA LOUZEIRO MACIEL;1;1
ANDREA RODRIGUES CHAVES;PAULO ROBERTO FILGUEIRAS;1;1
ANDREA RODRIGUES CHAVES;RAFAEL OLIVEIRA MARTINS;1;1
ANDREA RODRIGUES CHAVES;STEFFANY DE SOUZA SANTOS;1;1
ANDREA RODRIGUES CHAVES;WANDERSON ROMAO;1;1
ANNA MARIA CANAVARRO BENITE;LIDIANE DE LEMOS SOARES PEREIRA;1;1
ANNA MARIA CANAVARRO BENITE;MARYSSON JONAS RODRIGUES CAMARGO;1;1
CARIDAD NODA PEREZ;HAMILTON BARBOSA NAPOLITANO;1;1
CIRA ETHEOWALDA GUEVARA OTINIANO;ALAN DA SILVA;1;1
CIRA ETHEOWALDA GUEVARA OTINIANO;BIANCA SOUZA DE PAIVA;2;2
CIRA ETHEOWALDA GUEVARA OTINIANO;MARCELO BOURGUIGNON PEREIRA;2;2
CIRA ETHEOWALDA GUEVARA OTINIANO;PEDRO CARVALHO BROM;1;1
CIRA ETHEOWALDA GUEVARA OTINIANO;RAUL YUKIHIRO MATSUSHITA;1;1
CIRA ETHEOWALDA GUEVARA OTINIANO;ROBERTO VILA GABRIEL;2;2
CLAUDIA ANDREA LIMA CARDOSO;ANDRE LUIS DUARTE GONELI;1;1
CLAUDIA ANDREA LIMA CARDOSO;ARIELLE CRISTINA ARENA;1;1
CLAUDIA ANDREA LIMA CARDOSO;MARIA HELENA VERDAN;2;2
CLAUDIA ANDREA LIMA CARDOSO;MUNIR MAUAD;1;1
