Source;Target;Weight;Label
ALINE GONCALVES DOS SANTOS;MARCIO BACCI DA SILVA;1;1
ALINE GONCALVES DOS SANTOS;MARK JAMES JACKSON;1;1
ANDRIELLI MORAIS DE OLIVEIRA;ALEX NEVES JUNIOR;1;1
ANDRIELLI MORAIS DE OLIVEIRA;ALEXANDRE DE CASTRO PEREIRA;1;1
ANDRIELLI MORAIS DE OLIVEIRA;ANA PAULA DE OLIVEIRA;1;1
ANDRIELLI MORAIS DE OLIVEIRA;ANTONIO CARLOS DOS SANTOS;1;1
ANDRIELLI MORAIS DE OLIVEIRA;BARBARA GOMES MARTINS;2;2
ANDRIELLI MORAIS DE OLIVEIRA;CAROLINY ALVES SILVA;1;1
ANDRIELLI MORAIS DE OLIVEIRA;JANINE DOMINGOS VIEIRA;1;1
ANDRIELLI MORAIS DE OLIVEIRA;JESSICA RODRIGUES DOS SANTOS;2;2
ANDRIELLI MORAIS DE OLIVEIRA;OSWALDO CASCUDO MATOS;7;7
ANDRIELLI MORAIS DE OLIVEIRA;RAYANE CAMPOS LOPES;1;1
ANDRIELLI MORAIS DE OLIVEIRA;RONDINELE ALBERTO DOS REIS FERREIRA;1;1
ANDRIELLI MORAIS DE OLIVEIRA;THIAGO COSTA CARDOSO;1;1
EDNA DIAS CANEDO;ALESSANDRA DE VASCONCELOS SALES;2;2
EDNA DIAS CANEDO;ANA LUCILA SANDOVAL OROZCO;1;1
EDNA DIAS CANEDO;ANA PAULA MORAIS DO VALE;1;1
EDNA DIAS CANEDO;ANGELICA TOFFANO SEIDEL CALAZANS;3;3
EDNA DIAS CANEDO;BRUNO JUSTINO GARCIA PRACIANO;1;1
EDNA DIAS CANEDO;CLÁUDIO AZEVEDO COSTA;1;1
EDNA DIAS CANEDO;ELOISA TOFFANO SEIDEL MASSON;2;2
EDNA DIAS CANEDO;EMILLE CATARINE RODRIGUES CANÇADO;1;1
EDNA DIAS CANEDO;FABIO LUCIO LOPES DE MENDONCA;3;3
EDNA DIAS CANEDO;FELIPE BARRETO DE OLIVEIRA;1;1
EDNA DIAS CANEDO;GEORGES DANIEL AMVAME NZE;1;1
EDNA DIAS CANEDO;GEOVANA RAMOS SOUSA SILVA;2;2
EDNA DIAS CANEDO;IAN NERY BANDEIRA;3;3
EDNA DIAS CANEDO;LARISSA PEREIRA GONCALVES;1;1
EDNA DIAS CANEDO;LEOMAR CAMARGO DE SOUZA;1;1
EDNA DIAS CANEDO;LUCAS ALEXANDRE CARVALHO CHAVES;1;1
EDNA DIAS CANEDO;LUIS HENRIQUE VIEIRA AMARAL;1;1
EDNA DIAS CANEDO;PEDRO HENRIQUE TEIXEIRA COSTA;3;3
EDNA DIAS CANEDO;PEDRO THIAGO ROCHA DE ALCÂNTARA;1;1
EDNA DIAS CANEDO;RAFAEL TIMOTEO DE SOUSA JUNIOR;4;4
EDNA DIAS CANEDO;REMIS BALANIUK;1;1
EDNA DIAS CANEDO;RODRIGO BONIFÁCIO;1;1
EDNA DIAS CANEDO;ROGERIO MACHADO DA SILVA;1;1
EDNA DIAS CANEDO;ROGERIO MACHADO GRAVINA;1;1
EDNA DIAS CANEDO;VALÉRIO AYMORÉ MARTINS;1;1
EDNA DIAS CANEDO;VANESSA COELHO RIBEIRO;1;1
EDNA DIAS CANEDO;VINICIUS ELOY DOS REIS;2;2
HELENA CARASEK CASCUDO;ALINE CRISPIM CANEDO GIRARDI;1;1
HELENA CARASEK CASCUDO;ANDRIELLI MORAIS DE OLIVEIRA;1;1
HELENA CARASEK CASCUDO;EDGAR BACARJI;1;1
HELENA CARASEK CASCUDO;NAYARA GRACYELLE DIAS;1;1
HELENA CARASEK CASCUDO;OSWALDO CASCUDO MATOS;2;2
HELENA CARASEK CASCUDO;PAULO CESAR MARTINS FILHO;1;1
HELENA CARASEK CASCUDO;RENATO COSTA ARAUJO;1;1
LAIS ROBERTA GALDINO DE OLIVEIRA;DEROVIL ANTONIO DOS SANTOS FILHO;1;1
LAIS ROBERTA GALDINO DE OLIVEIRA;JOSÉ FERNANDO THOME JUCÁ;1;1
LAIS ROBERTA GALDINO DE OLIVEIRA;MAURÍCIO ALVES DA MOTTA SOBRINHO;1;1
LAIS ROBERTA GALDINO DE OLIVEIRA;TIAGO JOSÉ MARQUES FRAGA;1;1
LILIAN RIBEIRO DE REZENDE;MAHDIEH KHEDMATI;1;1
LILIAN RIBEIRO DE REZENDE;SANTOSH KOMMIDI;1;1
LILIAN RIBEIRO DE REZENDE;YONG RAK KIM;1;1
MARCELA RODRIGUES MACHADO;BRAION BARBOSA DE MOURA;1;1
MARCELA RODRIGUES MACHADO;JOSE MARIA CAMPOS DOS SANTOS;1;1
MARCELA RODRIGUES MACHADO;S DEY;1;1
MARCELA RODRIGUES MACHADO;T MUKHOPADHYAY;1;1
MARIA LEONOR SILVA DE ALMEIDA;KLEBER MELO E SILVA;1;1
MARIA LEONOR SILVA DE ALMEIDA;LARISSA MARQUES PERES;1;1
MARILIA MIRANDA FORTE GOMES;ANA MARIA NOGALES VASCONCELOS;1;1
MARILIA MIRANDA FORTE GOMES;ANDREA MATHES FAUSTINO;1;1
MARILIA MIRANDA FORTE GOMES;JUAN JOSÉ CORTEZ ESCALANTE;1;1
MARILIA MIRANDA FORTE GOMES;LEIDES BARROSO DE AZEVEDO MOURA;1;1
MARILIA MIRANDA FORTE GOMES;LUIZ ALEXANDRE RODRIGUES DA PAIXAO;1;1
MARILIA MIRANDA FORTE GOMES;REBECA CARMO DE SOUZA CRUZ;2;2
MARTA PEREIRA DA LUZ;ARNALDO TEIXEIRA COELHO;1;1
MARTA PEREIRA DA LUZ;CLEVER APARECIDO VALENTIN;1;1
MARTA PEREIRA DA LUZ;JEFFERSON LINS DA SILVA;1;1
MARTA PEREIRA DA LUZ;MARIA ALEJANDRA APARICIO ARDILA;1;1
MARTA PEREIRA DA LUZ;MARLON SILVA SCHLIEWE;1;1
MARTA PEREIRA DA LUZ;RICARDO DOMINGOS DOS SANTOS JUNIOR;1;1
MYLENE CHRISTINE QUEIROZ DE FARIAS;MARCELO MENEZES DE CARVALHO;1;1
RENATA MACHADO SOARES;CASSIO LIMA DOS REIS MOREIRA;1;1
RENATA MACHADO SOARES;FREDERICO MARTINS ALVES DA SILVA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;ALLISSON LOPES DE OLIVEIRA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;ANA KAROLINE ALMEIDA DA SILVA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;ANA LUÍSA PEREIRA PERILLO;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;ANTONIO PIRATELLI FILHO;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;ARTHUR FARIA MENDONÇA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;CAROLINA RAMOS DOS SANTOS;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;JOSE CARLOS TATMATSU ROCHA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;MARCELLA LEMOS BRETTAS CARNEIRO;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;MARIO FABRICIO FLEURY ROSA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;MAYLA DOS SANTOS SILVA;1;1
SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;THATIANE LIMA SAMPAIO;1;1
VALDIRENE MARIA SILVA CAPUZZO;ANDRE MAUES BRABO PEREIRA;1;1
VALDIRENE MARIA SILVA CAPUZZO;ARTHUR AVIZ PALMA E SILVA;1;1
VALDIRENE MARIA SILVA CAPUZZO;EUGENIA FONSECA DA SILVA;1;1
