Source;Target;Weight;Label
ABIEL COSTA MACEDO;BRUNO HENRIQUE CARVALHO RIBEIRO;1;1
ABIEL COSTA MACEDO;JOAO MARCOS BEZERRA DO O;1;1
ABIEL COSTA MACEDO;JOSE FRANCISCO ALVES DE OLIVEIRA;1;1
ADOLFO FRANCO JUNIOR;PRASUN BANERJEE;1;1
ALAN RICARDO DA SILVA;MARCOS DOUGLAS RODRIGUES DE SOUSA;1;1
ALEKSANDR NIKOLAIEVICH PINZUL;ALLEN STERN;1;1
ALESANDRO FERREIRA DOS SANTOS;E P SPANIOL;1;1
ALESANDRO FERREIRA DOS SANTOS;FAQIR C KHANNA;8;8
ALESANDRO FERREIRA DOS SANTOS;SERGIO COSTA ULHOA;2;2
ALESANDRO FERREIRA DOS SANTOS;T F FURTADO;1;1
ALEX CARRAZEDO DANTAS;ADILSON ANTONIO BERLATTO;1;1
ALEX CARRAZEDO DANTAS;TULIO MARCIO GENTIL DOS SANTOS;2;2
ALEX FABIANO CORTEZ CAMPOS;JEROME DEPEYROT;2;2
ALYSSON MARTINS ALMEIDA SILVA;ANNA CAROLINA BRITTO DE FARIA;1;1
ALYSSON MARTINS ALMEIDA SILVA;CAMILA DE LIMA RIBEIRO;1;1
ALYSSON MARTINS ALMEIDA SILVA;GIOVANA MAGALHAES DOS SANTOS;1;1
ALYSSON MARTINS ALMEIDA SILVA;SAULO LUCAS PEREIRA DA SILVA;1;1
ALYSSON TOBIAS RIBEIRO DA CUNHA;ADEMIR PASTOR FERREIRA;1;1
ALYSSON TOBIAS RIBEIRO DA CUNHA;EDUARDO ARBIETO ALARCON;1;1
ALYSSON TOBIAS RIBEIRO DA CUNHA;MARCOS ROBERTO BATISTA;1;1
ALYSSON TOBIAS RIBEIRO DA CUNHA;RONALDO ANTONIO DOS SANTOS;1;1
ANGELO HENRIQUE DE LIRA MACHADO;GABRIELLA HAMU GIUDICE;1;1
ANGELO HENRIQUE DE LIRA MACHADO;MAURICIO LEITE VIEIRA;1;1
ARI MELO MARIANO;ANA PAULA MELO MARIANO;1;1
ARI MELO MARIANO;EDUARDO KEMPER DA SILVA;1;1
ARI MELO MARIANO;MAIRA ROCHA SANTOS;1;1
ARI MELO MARIANO;TARCILLA MARIANO MELLO;1;1
ARMANDO MAURO VASQUEZ CORRO;CARLOS MABER CARRION RIVEROS;3;3
ARMANDO MAURO VASQUEZ CORRO;EDWIN OSWALDO SALINAS REYES;1;1
ARMANDO MAURO VASQUEZ CORRO;KAROLINE VICTOR FERNANDES;1;1
ARMANDO MAURO VASQUEZ CORRO;LAREDO RENNAN PEREIRA SANTOS;1;1
ARMANDO MAURO VASQUEZ CORRO;MARCELO LOPES FERRO;5;5
ARMANDO MAURO VASQUEZ CORRO;WESLEY DA SILVA RUYS;1;1
BENEDITO LEANDRO NETO;ANA PAULA DE MELO DA COSTA;1;1
BENEDITO LEANDRO NETO;FERNANDO SOARES COUTINHO;2;2
BENEDITO LEANDRO NETO;HIURI FELLIPE SANTOS DOS REIS;2;2
BENEDITO LEANDRO NETO;ILTON FERREIRA DE MENEZES;1;1
BENEDITO LEANDRO NETO;JEFERSON ARLEY POVEDA CONTRERAS;2;2
BENEDITO LEANDRO NETO;MARIA DE ANDRADE COSTA E SILVA;1;1
BENEDITO LEANDRO NETO;PAULA GONCALVES CORREIA BONFIM;1;1
BENEDITO LEANDRO NETO;RAFAEL MARLON DE NOVAIS;1;1
BENEDITO LEANDRO NETO;ROBSON LOUSA DOS SANTOS;1;1
BENEDITO LEANDRO NETO;ROMILDO DA SILVA PINA;2;2
BERNARDO BORBA DE ANDRADE;JOANLISE MARCO DE LEON ANDRADE;1;1
BERNARDO BORBA DE ANDRADE;LUAN CARLOS DE SENA MONTEIRO OZELIM;1;1
BERNARDO BORBA DE ANDRADE;PUSHPA NARAYAN RATHIE;1;1
BERNARDO BORBA DE ANDRADE;SANDRO BARBOSA DE OLIVEIRA;1;1
BONIEK GONTIJO VAZ;GABRIEL FRANCO DOS SANTOS;1;1
BONIEK GONTIJO VAZ;GESIANE DA SILVA LIMA;2;2
BONIEK GONTIJO VAZ;GUILHERME MALAFAIA PINTO;1;1
BONIEK GONTIJO VAZ;GUSTAVO COSTA BRESSAN;1;1
BONIEK GONTIJO VAZ;LANAIA ITALA LOUZEIRO MACIEL;1;1
BONIEK GONTIJO VAZ;LIDYA CARDOZO DA SILVA;1;1
BONIEK GONTIJO VAZ;LUCAS SANTOS MACHADO;1;1
BONIEK GONTIJO VAZ;ROBSON RICARDO TEIXEIRA;1;1
BONIEK GONTIJO VAZ;ROSINEIDE COSTA SIMAS;1;1
BONIEK GONTIJO VAZ;RUVER RODRIGUES FEITOSA RAMALHO;1;1
BRENNO AMARO DA SILVEIRA NETO;ALEXANDRE AUGUSTO MOREIRA LAPIS;2;2
BRENNO AMARO DA SILVEIRA NETO;FABRICIO MACHADO SILVA;1;1
BRENNO AMARO DA SILVEIRA NETO;JAMES SHERWOOD;1;1
BRENNO AMARO DA SILVEIRA NETO;JOHN SPENCER;1;1
BRENNO AMARO DA SILVEIRA NETO;JOSE RAIMUNDO CORREA;1;1
BRENNO AMARO DA SILVEIRA NETO;MARCELO OLIVEIRA RODRIGUES;1;1
BRENNO AMARO DA SILVEIRA NETO;MARCOS NOGUEIRA EBERLIN;1;1
BRENNO AMARO DA SILVEIRA NETO;RAFAEL CORREA;2;2
BRUNO RODRIGUES DE FREITAS;JOAO CARLOS DA ROCHA MEDRADO;2;2
BRUNO RODRIGUES DE FREITAS;RODRIGO DONIZETE EUZEBIO;1;1
BRUNO RODRIGUES DE FREITAS;RONY CRISTIANO;1;1
BRUNO RODRIGUES DE FREITAS;TIAGO DE CARVALHO;1;1
CARLOS ALBERTO PEREIRA DOS SANTOS;JACQUES GIACOMONI;1;1
CARLOS ALBERTO PEREIRA DOS SANTOS;JIAZHENG ZHOU;1;1
CARLOS ALBERTO PEREIRA DOS SANTOS;KAYE OLIVEIRA DA SILVA;2;2
CARLOS ALBERTO PEREIRA DOS SANTOS;LAIS MOREIRA DOS SANTOS;1;1
CARLOS ALBERTO PEREIRA DOS SANTOS;MINBO YANG;2;2
CARLOS ALBERTO PEREIRA DOS SANTOS;RICARDO LIMA ALVES;1;1
CARLOS ALBERTO PEREIRA DOS SANTOS;ZHIGUI LIN;1;1
CARLOS JOSE SOUZA DE ALVARENGA;REINHARDT ADOLFO FUCK;1;1
CARLOS JOSE SOUZA DE ALVARENGA;SHUHAI XIAO;1;1
CESAR FONSECA FERREIRA FILHO;EDUARDO TEIXEIRA MANSUR;1;1
CESAR FONSECA FERREIRA FILHO;MARIANA MOTA FERRAZ DE OLIVEIRA;1;1
CESAR FONSECA FERREIRA FILHO;WOLNEY DUTRA ROSA;1;1
CHRISTIAN GONCALVES ALONSO;LUCIO CARDOZO FILHO;2;2
CLAUDIO RODRIGO NOGUEIRA;CLAUDIA ANDREA LIMA CARDOSO;1;1
CLAUDIO RODRIGO NOGUEIRA;KELLY MARI PIRES DE OLIVEIRA;1;1
CLAUDIO RODRIGO NOGUEIRA;MARIA DO CARMO VIEIRA;1;1
CLAUDIO RODRIGO NOGUEIRA;RAUL CREMONEZI PIVA;1;1
CLAUDIO RODRIGO NOGUEIRA;SILVIA APARECIDA OESTERREICH;1;1
CLAUDIO RODRIGO NOGUEIRA;SILVIA CRISTINA HEREDIA VIEIRA;1;1
DAVID LIMA AZEVEDO;FERNANDO MARQUES DE OLIVEIRA MOUCHEREK;1;1
DEMETRIO ANTONIO DA SILVA FILHO;JUOZAS V GRAZULEVICIUS;1;1
DEMETRIO ANTONIO DA SILVA FILHO;RAFAEL TIMOTEO DE SOUSA JUNIOR;1;1
DERMEVAL APARECIDO DO CARMO;AMANDA MOREIRA LEITE;1;1
DERMEVAL APARECIDO DO CARMO;LUCAS SILVEIRA ANTONIETTO;1;1
DIEGO MARQUES FERREIRA;CARLOS GUSTAVO TAMM DE ARAUJO MOREIRA;1;1
DIEGO MARQUES FERREIRA;MARCELO OLIVEIRA RIBEIRO;1;1
DIEGO MARQUES FERREIRA;RICARDO FRANCISCO DA SILVA;1;1
DURVAL JOSE TONON;DIEGO SAMUEL RODRIGUES;2;2
DURVAL JOSE TONON;JAUME LLIBRE;1;1
DURVAL JOSE TONON;MARIANA QUEIROZ VELTER;1;1
DURVAL JOSE TONON;MAYK JOAQUIM DOS SANTOS;1;1
DURVAL JOSE TONON;RODRIGO DONIZETE EUZEBIO;1;1
DURVAL JOSE TONON;RONY CRISTIANO;3;3
DURVAL JOSE TONON;TIAGO DE CARVALHO;2;2
EDCARLOS DOMINGOS DA SILVA;CLAUDINEY GOULART;2;2
EDCARLOS DOMINGOS DA SILVA;DIEGO FERRAZ DE SOUZA;1;1
EDCARLOS DOMINGOS DA SILVA;EDUARDO DIAS LIMA;1;1
EDCARLOS DOMINGOS DA SILVA;GILBERTO ALEX PEREIRA;1;1
EDCARLOS DOMINGOS DA SILVA;GIOVANY DE JESUS MALCHER FIGUEIREDO;1;1
EDCARLOS DOMINGOS DA SILVA;HAMILTON PRADO BUENO;1;1
EDCARLOS DOMINGOS DA SILVA;JEFFERSON DOS SANTOS E SILVA;3;3
EDCARLOS DOMINGOS DA SILVA;JEFFERSON LUIS ARRUDA OLIVEIRA;1;1
EDCARLOS DOMINGOS DA SILVA;JOSE CARLOS DE ALBUQUERQUE MELO JUNIOR;5;5
EDCARLOS DOMINGOS DA SILVA;MARCELO FERNANDES FURTADO;1;1
EDCARLOS DOMINGOS DA SILVA;MARCOS LEANDRO MENDES CARVALHO;2;2
EDCARLOS DOMINGOS DA SILVA;MAXWELL LIZETE DA SILVA;1;1
