Source;Target;Weight;Label
ADRIANO TODOROVIC FABRO;BRIAN R MACE;1;1
ADRIANO TODOROVIC FABRO;DANILO BELI;1;1
ADRIANO TODOROVIC FABRO;DIMITRIOS CHRONOPOULOS;1;1
ADRIANO TODOROVIC FABRO;HAN MENG;1;1
ADRIANO TODOROVIC FABRO;JOSE ROBERTO DE FRANCA ARRUDA;1;1
ADRIANO TODOROVIC FABRO;NEIL S FERGUSON;1;1
ALBERTO JOSE ALVARES;BRAYAN STIVEN FIGUEROA BETANCOURTH;2;2
ALBERTO JOSE ALVARES;CRISTHIAN IVAN RIANO JAIMES;1;1
ALBERTO JOSE ALVARES;EFRAIN ANDRES RODRIGUEZ GASCA;2;2
ALBERTO JOSE ALVARES;IGOR LACROIX;2;2
ALBERTO JOSE ALVARES;JOAO CARLOS ESPINDOLA FERREIRA;1;1
ALBERTO JOSE ALVARES;JOÃO VÍTOR ARANTES CABRAL;1;1
ALBERTO JOSE ALVARES;JULIO CESAR TICONA BENAVENTE;1;1
ALBERTO JOSE ALVARES;LUIZ EDUARDO SANTOS DE OLIVEIRA;1;1
ALBERTO JOSE ALVARES;MARCO AURELIO DE LIMA MARON;2;2
ALBERTO JOSE ALVARES;RENAN BONNARD;2;2
ALYSSON MARTINS ALMEIDA SILVA;ANNA CAROLINA BRITTO DE FARIA;1;1
ALYSSON MARTINS ALMEIDA SILVA;CAMILA DE LIMA RIBEIRO;1;1
ALYSSON MARTINS ALMEIDA SILVA;CAMILA DE OLIVEIRA VIEIRA;1;1
ALYSSON MARTINS ALMEIDA SILVA;DANIEL DORNELLAS ATHAYDE;1;1
ALYSSON MARTINS ALMEIDA SILVA;EDSON PAULO DA SILVA;2;2
ALYSSON MARTINS ALMEIDA SILVA;LUIZ FERNANDO DE SOUSA LIMA;1;1
ALYSSON MARTINS ALMEIDA SILVA;NELCY DELLA SANTINA MOHALLEM;1;1
ALYSSON MARTINS ALMEIDA SILVA;RODRIGO NUNES DE SOUZA;2;2
ALYSSON MARTINS ALMEIDA SILVA;SIMONE MONTEIRO E SILVA;1;1
AMAURI GUTIERREZ MARTINS BRITTO;CAIO MISSIAGGIA MORAES;2;2
AMAURI GUTIERREZ MARTINS BRITTO;FELIPE VIGOLVINO LOPES;2;2
AMAURI GUTIERREZ MARTINS BRITTO;THEOFILOS A PAPADOPOULOS;1;1
ANDRE LUIS BRASIL CAVALCANTE;HERVALDO SAMPAIO CARVALHO;1;1
ANDRE LUIS BRASIL CAVALCANTE;LUCAS PARREIRA DE FARIA BORGES;1;1
ANDRE LUIS BRASIL CAVALCANTE;MARCIO MUNIZ DE FARIAS;1;1
ANDRE LUIS BRASIL CAVALCANTE;MOISES ANTONIO DA COSTA LEMOS;1;1
ANDRE LUIS BRASIL CAVALCANTE;PEDRO VICTOR SERRA MASCARENHAS;1;1
ANDRE LUIZ MARQUES SERRANO;CARLOS ROSANO PENÃ;1;1
ANDRE LUIZ MARQUES SERRANO;CARLOS ROSANO PEÑA;1;1
ANDRE LUIZ MARQUES SERRANO;CLOVIS NEUMANN;2;2
ANDRE LUIZ MARQUES SERRANO;LUCAS OLIVEIRA GOMES FERREIRA;3;3
ANDRE LUIZ MARQUES SERRANO;LUIZ MEDEIROS DE ARAUJO NETO;1;1
ANDRE LUIZ MARQUES SERRANO;MARIA GABRIELA MENDONÇA PEIXOTO;2;2
ANDRE LUIZ MARQUES SERRANO;NARA CRISTINA FERREIRA MENDES;1;1
ANDRE LUIZ MARQUES SERRANO;PATRICIA GUARNIERI DOS SANTOS;1;1
ANDRE LUIZ MARQUES SERRANO;PATRICIA HELENA DOS SANTOS MARTINS;1;1
ANDRE LUIZ MARQUES SERRANO;PEDRO PAULO MURCE MENEZES CAVALCANTE;1;1
ANDRE LUIZ MARQUES SERRANO;SERGIO GRANEMANN;1;1
ANDRE MURILO DE ALMEIDA PINTO;LUIZ CARLOS GADELHA DE SOUZA;1;1
ANDRE MURILO DE ALMEIDA PINTO;PEDRO JORGE DE DEUS PEIXOTO;1;1
ANDRE MURILO DE ALMEIDA PINTO;RENATO VILELA LOPES;1;1
ANDRE PACHECO DE ASSIS;PAULO HENRIQUE FERNANDES CAVALCANTE;1;1
BERNARDO PINHEIRO DE ALVARENGA;ALEXANDER C SMITH;1;1
BERNARDO PINHEIRO DE ALVARENGA;BARRIE CHARLES MECROW;1;1
BERNARDO PINHEIRO DE ALVARENGA;ENES G MARRA;1;1
BERNARDO PINHEIRO DE ALVARENGA;GEYVERSON TEIXEIRA DE PAULA;1;1
BERNARDO PINHEIRO DE ALVARENGA;IVAN EDUARDO CHABU;1;1
BERNARDO PINHEIRO DE ALVARENGA;JOSE ROBERTO CARDOSO;1;1
BERNARDO PINHEIRO DE ALVARENGA;RENATO ALVES BORGES;1;1
BONIEK GONTIJO VAZ;CLAUDIO GABRIEL LIMA JUNIOR;1;1
BONIEK GONTIJO VAZ;LANAIA ITALA LOUZEIRO MACIEL;1;1
BONIEK GONTIJO VAZ;RUVER RODRIGUES FEITOSA RAMALHO;2;2
CAUE ALVES MARTINS;HEBERTON WENDER LUIZ DOS SANTOS;2;2
CLOVES GONCALVES RODRIGUES;CARLOS ALBERTO BOMFIM SILVA;1;1
CLOVES GONCALVES RODRIGUES;JORGE GABRIEL GOMES DE SOUZA RAMOS;1;1
CLOVES GONCALVES RODRIGUES;JOSE ELMO DE MENEZES;1;1
CLOVES GONCALVES RODRIGUES;MARCOS LAJOVIC CARNEIRO;1;1
CLOVES GONCALVES RODRIGUES;MARIA CECILIA BARBOSA PEREIRA;1;1
CLOVES GONCALVES RODRIGUES;ROBERTO LUZZI;5;5
DANIEL DE LIMA ARAUJO;BARBARA GOMES MARTINS;1;1
DANIEL DE LIMA ARAUJO;CLEITON RODRIGUES SIQUEIRA FILHO;1;1
DANIEL DE LIMA ARAUJO;EDILENE MUNIZ DE OLIVEIRA;1;1
DANIEL DE LIMA ARAUJO;EFRAIM SOARES BERNARDES;1;1
DANIEL DE LIMA ARAUJO;ERIKA MEIRE OLIVEIRA SILVA SATTLER;1;1
DANIEL DE LIMA ARAUJO;FAUSTO ARANTES LOBO;2;2
DANIEL DE LIMA ARAUJO;GLEYSER DINIZ LINHARES;1;1
DANIEL DE LIMA ARAUJO;MATHEUS SOARES COUTO;1;1
DANIEL DE LIMA ARAUJO;MOUNIR KHALIL EL DEBS;2;2
DANIEL DE LIMA ARAUJO;SERGIO AZEVEDO COELHO;2;2
DANIEL DE LIMA ARAUJO;SYLVIA REGINA MESQUITA DE ALMEIDA;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;CARLOS HUMBERTO LLANOS QUINTERO;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;CHRISTIAN CIPRIANI;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;GABRIEL VIDIGAL DE PAULA SANTOS;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;HELON VICENTE HULTMANN AYALA;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;MARTA GHERARDINI;1;1
DANIEL MAURICIO MUNOZ ARBOLEDA;SERGIO ANDRES PERTUZ MENDEZ;2;2
DANIEL SOUZA;ALICE GONCALVES OSORIO;1;1
DANIEL SOUZA;DIEGO TOLOTTI DE ALMEIDA;1;1
DANIEL SOUZA;EDITH ARYEL DE MESQUITA MOURA;1;1
DANIEL SOUZA;ELIAS HOFFMANN DE LIMA;1;1
DANIEL SOUZA;HARDY MOHRBACHER;1;1
DANIEL SOUZA;HENARA LILLIAN COSTA MURRAY;1;1
DANIEL SOUZA;KLEBER EDUARDO BIANCHI;1;1
DANIEL SOUZA;LUCAS BENITES VILHALBA;1;1
DANIEL SOUZA;THAIS ANDREZZA DOS PASSOS;1;1
