Source;Target;Weight;Label
ALEJANDRA KANDUS;ESTEBAN ADOLFO CALZETTA;2;2
AMANDA DUARTE GONDIM;ANGELA MARIA TRIBUZY DE MAGALHAES CORDEIRO;2;2
AMANDA DUARTE GONDIM;CAROLINE MELLINGER SILVA;1;1
AMANDA DUARTE GONDIM;ERICA DE ANDRADE VIEIRA;1;1
AMANDA DUARTE GONDIM;JOSE GERMANO VERAS NETO;1;1
AMANDA DUARTE GONDIM;MARCELLO IACOMINI;1;1
AMANDA DUARTE GONDIM;MARISTELA ALVES ALCÂNTARA;1;1
AMANDA DUARTE GONDIM;NATALY ALBUQUERQUE DOS SANTOS;2;2
ANA CLECIA SANTOS DE ALCANTARA;ALAN SILVA DE MENEZES;1;1
ANA CLECIA SANTOS DE ALCANTARA;ALEJANDRO EUSEBIO ROJAS NUNEZ;1;1
ANA CLECIA SANTOS DE ALCANTARA;DENISE EULALIO;1;1
ANA CLECIA SANTOS DE ALCANTARA;EDUARDO RUIZ HITZKY;1;1
ANA CLECIA SANTOS DE ALCANTARA;GUSTAVO FRIGI PEROTTI;1;1
ANA CLECIA SANTOS DE ALCANTARA;HERNANE DA SILVA BARUD;1;1
ANA CLECIA SANTOS DE ALCANTARA;LAIS RONCALHO DE LIMA;2;2
ANA CLECIA SANTOS DE ALCANTARA;MARGARITA DARDER;1;1
ANA CLECIA SANTOS DE ALCANTARA;MARIANA PIRES FIGUEIREDO;1;1
ANA CLECIA SANTOS DE ALCANTARA;MAYARA SANTOS LEITE;1;1
ANA CLECIA SANTOS DE ALCANTARA;PILAR ARANDA;1;1
ANA CLECIA SANTOS DE ALCANTARA;VAGNER ROBERTO MAGRI;1;1
ANA CLECIA SANTOS DE ALCANTARA;VANESSA ROBERTA RODRIGUES DA CUNHA;1;1
ANA CLECIA SANTOS DE ALCANTARA;VERA REGINA LEOPOLDO CONSTANTINO;1;1
ANA CLECIA SANTOS DE ALCANTARA;WELTON CARLOS SODRE;1;1
ANA CLECIA SANTOS DE ALCANTARA;YOREXIS GONZALEZ ALFARO;1;1
ANA LUCIA DANTAS;ARTUR DA SILVA CARRICO;1;1
ANA LUCIA DANTAS;LEONARDO LINHARES OLIVEIRA;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;ARON CAIUÁ VIANA DE BRITO;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;BABACAR MANE;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;DANIELA BARRETO ARAUJO;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;FÁBIO DUARTE FREITAS;2;2
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;GABRIEL BAHIA SOARES;2;2
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;GUILHERME L G LEFRANÇOIS;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;GUILHERME LUIZ GARCIA LEFRANCOIS;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;GUSTAVO LOPEZ;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;JORGE ALBERTO PRADO DE CAMPOS;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;JOSEMAR RODRIGUES DE SOUZA;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;MARCELA BRAGA BAHIA;2;2
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;MARCO ANTONIO COSTA SIMOES;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;RITA SUZANA PITANGUEIRA MACIEL;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;ROBSON MARINHO DA SILVA;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;SERGIO MARTINS FERNANDES;2;2
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;VICTOR FERNANDES BAIAO RATON;1;1
ANA PATRICIA FONTES MAGALHAES MASCARENHAS;VICTOR FERNANDES BAIÃO RATON;1;1
ANA PAULA SILVEIRA PAIM;ANDRE FERNANDO LAVORANTE;3;3
ANA PAULA SILVEIRA PAIM;MARIA FERNANDA PIMENTEL AVELAR;1;1
ANA PAULA SILVEIRA PAIM;MARIA LUISA CERVERA;1;1
ANA PAULA SILVEIRA PAIM;MIGUEL DE LA GUARDIA;1;1
ANA SHIRLEY FERREIRA DA SILVA;ALEXSANDER A DE MELO;1;1
ANA SHIRLEY FERREIRA DA SILVA;ALEXSANDER DE MELO;3;3
ANA SHIRLEY FERREIRA DA SILVA;ALLEN ROOSSIM PASSOS IBIAPINA;1;1
ANA SHIRLEY FERREIRA DA SILVA;ANDREA MARINO;2;2
ANA SHIRLEY FERREIRA DA SILVA;CELINA DE FIGUEIREDO;3;3
ANA SHIRLEY FERREIRA DA SILVA;CELINA MH DE FIGUEIREDO;1;1
ANA SHIRLEY FERREIRA DA SILVA;DIANA SASAKI NOBREGA;2;2
ANA SHIRLEY FERREIRA DA SILVA;FABIANO OLIVEIRA;2;2
ANA SHIRLEY FERREIRA DA SILVA;GUILHERME GOMES;1;1
ANA SHIRLEY FERREIRA DA SILVA;IGNASI SAU VALLS;2;2
ANA SHIRLEY FERREIRA DA SILVA;LUIZ VIANA;1;1
ANA SHIRLEY FERREIRA DA SILVA;MANOEL CAMPELO;1;1
ANA SHIRLEY FERREIRA DA SILVA;VICTOR ALMEIDA CAMPOS;2;2
ANIELLE CHRISTINE ALMEIDA SILVA;ANNELISE ARANTES ROCHA;1;1
ANIELLE CHRISTINE ALMEIDA SILVA;JULIANE ZACOUR MARINHO;1;1
ANIELLE CHRISTINE ALMEIDA SILVA;MARCELO JOSE BARBOSA SILVA;1;1
ANIELLE CHRISTINE ALMEIDA SILVA;MARIA PAULA CAMARGO COSTA;1;1
ANIELLE CHRISTINE ALMEIDA SILVA;NOELIO OLIVEIRA DANTAS;1;1
ANTONIA TORRES AVILA PIMENTA;DANIEL SILVEIRA SERRA;1;1
ANTONIA TORRES AVILA PIMENTA;FRANCISCO SALES AVILA CAVALCANTE;1;1
AUDREY HELEN MARIZ DE AQUINO CYSNEIROS;LOURDES C MONTENEGRO;1;1
AUDREY HELEN MARIZ DE AQUINO CYSNEIROS;MARIANA C ARAUJO;1;1
BEATE SAEGESSER SANTOS;ADRIANA FONTES;2;2
BEATRICE PADOVANI FERREIRA;GEORGE OLAVO MATTOS E SILVA;1;1
BEATRICE PADOVANI FERREIRA;JESSICA BORBA QUINTELA DOS SANTOS;1;1
BEATRICE PADOVANI FERREIRA;MARCELO DE OLIVEIRA SOARES;1;1
BEATRICE PADOVANI FERREIRA;RUY KENJI PAPA DE KIKUCHI;1;1
BEATRICE PADOVANI FERREIRA;SOPHIE ANNICK NATHALIE LANCO BERTRAND;1;1
CALINE GOMES FERRAZ;IAGO BARBOZA FERREIRA DOS SANTOS;1;1
CALINE GOMES FERRAZ;MARIA DO CARMO COSTA SILVA;1;1
CALINE GOMES FERRAZ;PAULO ROBERTO RIBEIRO DE JESUS;1;1
CARLA BEATRIZ COSTA DE ARAUJO;FRANCISCO DE ASSIS DE SOUZA FILHO;1;1
CARLA BEATRIZ COSTA DE ARAUJO;JORGE BARBOSA SOARES;1;1
CARLA BEATRIZ COSTA DE ARAUJO;SAMUEL ALMEIDA TORQUATO E SILVA;1;1
CARLA JOANA SANTOS BARRETO;CARLOS AUGUSTO SOMMER;1;1
CARLA JOANA SANTOS BARRETO;JEAN MICHEL LAFON;1;1
CARLA JOANA SANTOS BARRETO;LUCIA TRAVASSOS DA ROSA COSTA;1;1
CARLA JOANA SANTOS BARRETO;MAURICIO BARCELOS HAAG;1;1
CARLA VERONICA RODARTE DE MOURA;ABDUR RAHIM;1;1
CARLA VERONICA RODARTE DE MOURA;ALEX SANDER RODRIGUES CANGUSSU;1;1
CARLA VERONICA RODARTE DE MOURA;ANNA KARLA DOS SANTOS PEREIRA;1;1
CARLA VERONICA RODARTE DE MOURA;HELTTONEY ANTONIO RODRIGUES DA SILVA;1;1
CARLA VERONICA RODARTE DE MOURA;JOAO LUIZ DE OLIVEIRA MACIEL JUNIOR;1;1
CARLA VERONICA RODARTE DE MOURA;JOSE RIBEIRO DOS SANTOS JUNIOR;1;1
CARLA VERONICA RODARTE DE MOURA;KELEEN MORAES BARBOSA;1;1
CARLA VERONICA RODARTE DE MOURA;LUCAS SAMUEL SOARES DOS SANTOS;1;1
CARLA VERONICA RODARTE DE MOURA;LUELC SOUZA DA COSTA;1;1
CARLA VERONICA RODARTE DE MOURA;SERGIO BITENCOURT ARAUJO BARROS;1;1
CARLA VERONICA RODARTE DE MOURA;VAEUDO VALDIMIRO DE OLIVEIRA;1;1
CLAUDIA QUINTINO DA ROCHA;ALBERTO JORGE OLIVEIRA LOPES;4;4
