Source;Target;Weight;Label
ALINE DA SILVA RAMOS BARBOZA;ALIEL F RIENTE;1;1
ALINE DA SILVA RAMOS BARBOZA;ANTONIO PAULO AMANCIO FERRO;1;1
ALINE DA SILVA RAMOS BARBOZA;DIEGO DE VASCONCELOS GONCALVES FERREIRA;1;1
ALINE DA SILVA RAMOS BARBOZA;EDUARDO TOLEDO DE LIMA JUNIOR;1;1
ALINE DA SILVA RAMOS BARBOZA;JOSEIR GANDRA PERCY;1;1
ALINE DA SILVA RAMOS BARBOZA;LUCAS PEREIRA DE GOUVEIA;1;1
AMANDA DUARTE GONDIM;CARLOS ALBERTO MARTINEZ HUITLE;1;1
AMANDA DUARTE GONDIM;ELISAMA VIEIRA DOS SANTOS;1;1
AMANDA DUARTE GONDIM;INALMAR DANTAS BARBOSA SEGUNDO;1;1
AMANDA DUARTE GONDIM;JOSE EUDES LIMA SANTOS;1;1
ANA CECILIA VIEIRA DA NOBREGA;ARNALDO MANOEL PEREIRA CARNEIRO;2;2
ANA CECILIA VIEIRA DA NOBREGA;LYNEKER SOUZA DE MOURA;1;1
ANA CECILIA VIEIRA DA NOBREGA;MARYANE GISLAYNE CORDEIRO DE QUEIROZ;1;1
ANA DOLORES SANTIAGO DE FREITAS;CAROLINA ETIENNE DE ROSALIA E SILVA SANTOS;1;1
ANA IRAIDY SANTA BRIGIDA;BERNARDO D RIBEIRO;1;1
ANA IRAIDY SANTA BRIGIDA;FILIPE SMITH BUARQUE;1;1
ANA IRAIDY SANTA BRIGIDA;JOSE MANUEL GUISAN;1;1
ANA IRAIDY SANTA BRIGIDA;LUCIANA ROCHA BARROS GONCALVES;1;1
ANA IRAIDY SANTA BRIGIDA;MARIA ALICE ZARUR COELHO;1;1
ANA IRAIDY SANTA BRIGIDA;VANESSA LUCIA RODRIGUES NOGUEIRA;1;1
ANA IRAIDY SANTA BRIGIDA;VANIA MARIA MACIEL MELO;1;1
ANA MARIA MENDONCA DE ALBUQUERQUE MELO;MAIRA DE VASCONCELOS LIMA;1;1
ANDREA CARLA LIMA RODRIGUES;DAYSE LUNA BARBOSA;3;3
ANDREA CARLA LIMA RODRIGUES;IZABELLE MARIE TRINDADE BEZERRA DA COSTA LIMA;1;1
ANDREA CARLA LIMA RODRIGUES;VALTERLIN DA SILVA SANTOS;1;1
ANDRESSA RADISKE;CARLA CRISTINA MIRANDA DE CASTRO;2;2
ANDRESSA RADISKE;JANINE INEZ ROSSATO;2;2
ANDRESSA RADISKE;MARIA CAROLINA GONZALEZ;2;2
ANDRESSA RADISKE;MARTIN PABLO CAMMAROTA;2;2
BRUNA SOARES FERNANDES;GILSON LIMA DA SILVA;1;1
BRUNA SOARES FERNANDES;SAVIA GAVAZZA DOS SANTOS PESSOA;1;1
BRUNA SOARES FERNANDES;SIMONE MACHADO SANTOS;1;1
CAMILA PACELLY BRANDAO DE ARAUJO;DOUGLAS DO NASCIMENTO SILVA;2;2
CAMILA PACELLY BRANDAO DE ARAUJO;FELIPE DANTAS DOS SANTOS;2;2
CAMILA PACELLY BRANDAO DE ARAUJO;NAYARA BEZERRA CARVALHO;1;1
CAMILA PACELLY BRANDAO DE ARAUJO;NAYÁRA BEZERRA CARVALHO;1;1
CARINA SILVANI;ALEXANDRE DE SOUZA JUNIOR;1;1
CARINA SILVANI;EDUARDO ANTONIO GUIMARAES TENORIO;3;3
CARINA SILVANI;HUGO CARLOS SCHEUERMANN FILHO;1;1
CARINA SILVANI;JOAO PEDRO CAMELO GUEDES;1;1
CARINA SILVANI;JONNY DANTAS PATRICIO;1;1
CARINA SILVANI;JUCIMARA CARDOSO DA SILVA;2;2
CARINA SILVANI;LEDA CHRISTIANE DE FIGUEIREDO LOPES LUCENA;1;1
CARINA SILVANI;NILO CESAR CONSOLI;1;1
CARINA SILVANI;RENAN CARLOS DE MELO NASCIMENTO;1;1
CAROLINE MARIA DE MIRANDA MOTA;CIRO JOSE JARDIM DE FIGUEIREDO;2;2
CAROLINE MARIA DE MIRANDA MOTA;DEBORA VIANA E SOUSA PEREIRA;2;2
CAROLINE MARIA DE MIRANDA MOTA;SERGIO EDUARDO GOUVEA DA COSTA;1;1
CLAUDIA FABIANA GOHR;CARLOS RODRIGO DE SOUZA TORRES;1;1
CLAUDIA FABIANA GOHR;FELIPE ALVES DE OLIVEIRA SOARES;1;1
CLAUDIA FABIANA GOHR;LUCAS CARVALHO DE OLIVEIRA;1;1
CLAUDIA FABIANA GOHR;MARYANA SCORALICK DE ALMEIDA TAVARES;1;1
CLAUDIA FABIANA GOHR;MATHEUS HENRIQUE DA SILVA AMORIM;1;1
CLAUDIA FABIANA GOHR;SANDRA NAOMI MORIOKA;1;1
CLAUDIA FABIANA GOHR;WALLECI GABEU LIRA;1;1
