Source;Target;Weight;Label
ABDENAGO ALVES DE BARROS;ERNANI DE SOUSA RIBEIRO JUNIOR;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;ABEL PEREIRA DE MACEDO BORGES JUNIOR;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;ALEJANDRO CESAR FRERY ORGAMBIDE;2;2
ABRAAO DAVID COSTA DO NASCIMENTO;ALISSON DOS SANTOS SILVA;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;HASSAN BAKOUCH;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;JODAVID DE ARAUJO FERREIRA;2;2
ABRAAO DAVID COSTA DO NASCIMENTO;JOSIMAR MENDES DE VASCONCELOS;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;MARIA DO CARMO SOARES DE LIMA;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;NAJLA QARMALAH;1;1
ABRAAO DAVID COSTA DO NASCIMENTO;PEDRO MONTEIRO DE ALMEIDA JUNIOR;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;DOUGLAS JOSE SILVA FARIAS;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;IGNEZ DE PINHO GUIMARAES;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;JOSE MAURICIO RANGEL DA SILVA;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;JOSE VICTOR ANTUNES DE AMORIM;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;KATIA DOS SANTOS SOUZA;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;LORENA MONTENEGRO COCENTINO;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;RICHARD ARMSTRONG;1;1
ADEJARDO FRANCISCO DA SILVA FILHO;VALDEREZ PINTO FERREIRA;1;1
ADENILTON JOSE DA SILVA;DANIEL KPARCK;1;1
ADENILTON JOSE DA SILVA;FRANCISCO PETRUCCIONE;1;1
ADENILTON JOSE DA SILVA;ISRAEL FERRAZ DE ARAUJO;1;1
ADERSON FARIAS DO NASCIMENTO;FRANCISCO HILARIO REGO BEZERRA;1;1
ADERSON FARIAS DO NASCIMENTO;JOAQUIM MENDES FERREIRA;1;1
ADERSON FARIAS DO NASCIMENTO;JOSE AUGUSTO SILVA DA FONSECA;1;1
ADERSON FARIAS DO NASCIMENTO;MARIA OSVALNEIDE LUCENA SOUSA;1;1
ADILMO FRANCISCO DE LIMA;JONATHAN SILVA SOUZA;1;1
ADONAY RODRIGUES LOIOLA;ARMANDO DIEGO LIMA DE FREITAS;1;1
ADONAY RODRIGUES LOIOLA;CRISTIANE PINTO OLIVEIRA;1;1
ADONAY RODRIGUES LOIOLA;FELIPE BOHN;1;1
ADONAY RODRIGUES LOIOLA;RAQUEL DE ANDRADE BESSA;1;1
ADONAY RODRIGUES LOIOLA;SANDRA DE AGUIAR SOARES;1;1
ADONAY RODRIGUES LOIOLA;SIBELE BERENICE CASTELLA PERGHER;1;1
ALAN ANDERSON DA SILVA PEREIRA;GUILHERME HENRIQUE DE PAULA REIS;2;2
ALAN ANDERSON DA SILVA PEREIRA;RANGEL BALDASSO;2;2
ALAN ANDERSON DA SILVA PEREIRA;ROBERTO IMBUZEIRO MORAES FELINTO DE OLIVEIRA;3;3
ALAN ANDERSON DA SILVA PEREIRA;RODRIGO BOTELHO RIBEIRO;2;2
ALAN DE ARAUJO GUIMARAES;CLAUDEMIR FIDELIS;1;1
ALAN DE ARAUJO GUIMARAES;CLAUDEMIR FIDELIS BEZERRA JUNIOR;1;1
ALAN DE ARAUJO GUIMARAES;LAISE DIAS ALVES ARAÚJO;1;1
ALAN DE ARAUJO GUIMARAES;PLAMEN EMILOV KOCHLOUKOV;2;2
ALAN SILVA DE MENEZES;CECI NUNES CARVALHO;1;1
ALAN SILVA DE MENEZES;CLENILTON COSTA DOS SANTOS;1;1
ALAN SILVA DE MENEZES;EDILAUSSON MORENO CARVALHO;1;1
ALAN SILVA DE MENEZES;FLAVIO SANTOS DAMOS;1;1
ALAN SILVA DE MENEZES;GREICY KELLY CERQUEIRA DOS SANTOS;1;1
ALAN SILVA DE MENEZES;JOSE ROBERTO DE OLIVEIRA BAUER;1;1
ALAN SILVA DE MENEZES;PAULO VITOR CAMPOS FERREIRA;1;1
ALAN SILVA DE MENEZES;RAFAEL UBALDO MOREIRA E MORAES;1;1
ALAN SILVA DE MENEZES;RENATA GRAZZIOTIN SOARES;1;1
ALAN SILVA DE MENEZES;RITA DE CASSIA SILVA LUZ;1;1
