Source;Target;Weight;Label
ADIEL TEIXEIRA DE ALMEIDA;ANA PAULA CABRAL SEIXAS COSTA;4;4
ADIEL TEIXEIRA DE ALMEIDA;EDUARDA ASFORA FREJ;6;6
ADIEL TEIXEIRA DE ALMEIDA;LUCIA REIS PEIXOTO ROSELLI;4;4
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;DANIEL BESERRA COSTA;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;GUTEMBERG GONCALVES DA SILVA;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;LETICIA CARLOS SILVERIO;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;PAULO ROBERTO BARRETO TORRES;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;SAUL BARBOSA GUEDES;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;TALITA MIRANDA DE SOUSA;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;TASSILA RAMOS PORTO;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;THAMIRES DANTAS GUERRA;1;1
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA;THAYS NOGUEIRA RODRIGUES;1;1
AFONSO AVELINO DANTAS NETO;MARIA CARLENISE PAIVA DE ALENCAR MOURA;1;1
AFONSO AVELINO DANTAS NETO;TEREZA NEUMA DE CASTRO DANTAS;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;DANIEL ALBERTON HAAS;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;DENNYS CORREIA DA SILVA;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;GUILHERME MENTGES ARRUDA;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;LEONARDO ALENCAR DE OLIVEIRA;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;MARCOS ALLYSON FELIPE RODRIGUES;1;1
ALCIDES DE OLIVEIRA WANDERLEY NETO;MARIA CLARA DE MENESES LOURENÇO;1;1
ALEJANDRO EUSEBIO ROJAS NUNEZ;ANA CLECIA SANTOS DE ALCANTARA;2;2
ALEJANDRO EUSEBIO ROJAS NUNEZ;LUIS GOMEZ HORTIGUELA SAINZ;2;2
ALEX SOUZA MORAES;ALBERTO WISNIEWSKI JUNIOR;1;1
ALEX SOUZA MORAES;FABRYNNE MENDES DE OLIVEIRA;1;1
ALEX SOUZA MORAES;JANDYSON MACHADO SANTOS;1;1
ALEX SOUZA MORAES;MARIA EDUARDA BORGES DE ALMEIDA;1;1
ALEX SOUZA MORAES;OTAVIO PEREIRA DOS SANTOS JUNIOR;1;1
ALEX SOUZA MORAES;RAFAELA JULIA DE LIRA GOUVEIA;1;1
ALEXANDRE RAMALHO ALBERTI;ADIEL TEIXEIRA DE ALMEIDA;1;1
ALEXANDRE RAMALHO ALBERTI;AUGUSTO CESAR DE JESUS SANTOS;1;1
ALEXANDRE RAMALHO ALBERTI;CRISTIANO ALEXANDRE VIRGINIO CAVALCANTE;1;1
ALEXANDRE RAMALHO ALBERTI;EDUARDA ASFORA FREJ;1;1
ALEXANDRE RAMALHO ALBERTI;EVONIO DE BARROS CAMPELO JUNIOR;1;1
ALEXANDRE RAMALHO ALBERTI;L R P ROSELLI;1;1
ALEXANDRE RAMALHO ALBERTI;MURILO CARLOS AMORIM DE BRITTO;1;1
ALEXANDRE RAMALHO ALBERTI;RODRIGO JOSE PIRES FERREIRA;1;1
ALEXANDRE RAMALHO ALBERTI;WALDOMIRO ALVES FERREIRA NETO;1;1
ALUISIO ALVES CABRAL JUNIOR;GLAUBER CRUZ;1;1
ALUISIO ALVES CABRAL JUNIOR;GLAUCO VINICIUS PALHANO BEZERRA;1;1
ALUISIO ALVES CABRAL JUNIOR;JOSE MANUEL RIVAS MERCURY;1;1
ALUISIO ALVES CABRAL JUNIOR;JOSE RENATO MATOS SUCUPIRA CUNHA;1;1
ALUISIO MARQUES DA FONSECA;ANTONIO CARLOS NOGUEIRA SOBRINHO;1;1
ALUISIO MARQUES DA FONSECA;JOSE CLEITON SOUSA DOS SANTOS;1;1
ALUISIO MARQUES DA FONSECA;NEIDELENIO BALTAZAR SOARES;1;1
ALUISIO MARQUES DA FONSECA;REGILANY PAULO COLARES;1;1
ALVARO ANTONIO OCHOA VILLA;ROSA MARIA OLIVEIRA TEIXEIRA DE VASCONCELOS;1;1
ALVARO SILVA LIMA;BRUNO SALES DE OLIVEIRA;1;1
ALVARO SILVA LIMA;KATHARINA BICA;1;1
ALVARO SILVA LIMA;MAFALDA R ALMEIDA;1;1
ALVARO SILVA LIMA;MARA GUADALUPE FREIRE;1;1
ALVARO SILVA LIMA;SELESA VANESSA SHABUDIN;1;1
ANASTACIO PINTO GONCALVES FILHO;ADONIAS MAGDIEL SILVA FERREIRA;1;1
ANDERSON LUCAS CARNEIRO DE LIMA DA SILVA;ADIEL TEIXEIRA DE ALMEIDA;2;2
ANDERSON LUCAS CARNEIRO DE LIMA DA SILVA;ANA PAULA CABRAL SEIXAS COSTA;2;2
ANDERSON LUIZ RIBEIRO DE PAIVA;ALESSANDRO RODRIGUES DE AMORIM;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;ARIVANIA BANDEIRA RODRIGUES;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;CAROLINE CIBELLE CORREIA CLEMENTE;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;EDIVALDO LIMA GOMES JUNIOR;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;FABRICIO MOTTERAN;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;HEDMUN MATIAS DA CRUZ;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;JAIME JOAQUIM DA SILVA PEREIRA CABRAL;4;4
ANDERSON LUIZ RIBEIRO DE PAIVA;JONATHAS BARBOSA DE ARAUJO FREITAS;3;3
ANDERSON LUIZ RIBEIRO DE PAIVA;JOSE ADSON ANDRADE DE CARVALHO FILHO;2;2
ANDERSON LUIZ RIBEIRO DE PAIVA;LEIDJANE MARIA MACIEL DE OLIVEIRA;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;PAULO JORGE PARREIRA DOS SANTOS;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;ROBERTO LIMA BARCELLOS;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;SUELEN NASCIMENTO DOS SANTOS;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;SUZANA MARIA GICO LIMA MONTENEGRO;2;2
ANDERSON LUIZ RIBEIRO DE PAIVA;SYLVANA MELO DOS SANTOS;1;1
ANDERSON LUIZ RIBEIRO DE PAIVA;TATIANE BARBOSA VERAS DE ALBUQUERQUE;2;2
ANDRE MACIEL NETTO;ADEMIR DE JESUS AMARAL;1;1
ANDRE MACIEL NETTO;SUZANA MARIA GICO LIMA MONTENEGRO;1;1
ANISIO BRASILEIRO DE FREITAS DOURADO;DEBORA GONCALVES VASCONCELOS;1;1
ANISIO BRASILEIRO DE FREITAS DOURADO;LEONARDO HERSZON MEIRA;1;1
ANISIO BRASILEIRO DE FREITAS DOURADO;MAURICIO OLIVEIRA DE ANDRADE;1;1
ANSELMO CARDOSO DE PAIVA;ARISTOFANES CORREA SILVA;1;1
ANTONIO CELSO DANTAS ANTONINO;ROMULO SIMOES CEZAR MENEZES;1;1
ANTONIO GILSON BARBOSA DE LIMA;JOSIVANDA PALMEIRA GOMES;1;1
ANTONIO GILSON BARBOSA DE LIMA;WILTON PEREIRA DA SILVA;1;1
ARNALDO MANOEL PEREIRA CARNEIRO;ROMILDE ALMEIDA DE OLIVEIRA;3;3
ARTUR PAIVA COUTINHO;ANTONIO CELSO DANTAS ANTONINO;6;6
ARTUR PAIVA COUTINHO;EDIPO TENORIO HOLANDA DIAS;1;1
ARTUR PAIVA COUTINHO;IALY RAYANE DE AGUIAR COSTA;2;2
ARTUR PAIVA COUTINHO;JOSE ARAUJO DOS SANTOS JUNIOR;1;1
ARTUR PAIVA COUTINHO;LAURENT LASSABATERE;1;1
ARTUR PAIVA COUTINHO;MARCIO MICELI MACIEL DE SOUSA;1;1
ARTUR PAIVA COUTINHO;MARIANA BRAYNER CAVALCANTI FREIRE BEZERRA;1;1
ARTUR PAIVA COUTINHO;RAFAELA MINELLI DA SILVA;1;1
ARTUR PAIVA COUTINHO;ROMILTON DOS SANTOS AMARAL;1;1
ARTUR PAIVA COUTINHO;ROMULO SIMOES CEZAR MENEZES;1;1
ARTUR PAIVA COUTINHO;SEVERINO MARTINS DOS SANTOS NETO;5;5
ARTUR PAIVA COUTINHO;SUZANA MARIA GICO LIMA MONTENEGRO;2;2
ARTUR PAIVA COUTINHO;TASSIA DOS ANJOS TENORIO DE MELO;2;2
ARTUR PAIVA COUTINHO;ZAHILY HERRERO FERNANDEZ;1;1
BISMARK CLAURE TORRICO;ANDRESA KELLY RIBEIRO SOMBRA;1;1
BISMARK CLAURE TORRICO;FABRICIO GONZALEZ NOGUEIRA;1;1
BISMARK CLAURE TORRICO;RENE DESCARTES OLIMPIO PEREIRA;1;1
BRAULIO SILVA BARROS;JOANNA ELZBIETA KULESZA;1;1
BRUNO SANTOS SOUZA;ANDREA NOVELLI;1;1
BRUNO SANTOS SOUZA;CAMILA SILVEIRA DE ANDRADE AMAZONAS;1;1
BRUNO SANTOS SOUZA;FRANCISCO LUCAS CAMPOS PRADO;1;1
BRUNO SANTOS SOUZA;JORGE LEONARDO FONTES SANTOS;1;1
BRUNO SANTOS SOUZA;LUANA FARIA SILVEIRA;1;1
BRUNO SANTOS SOUZA;LUCAS LOPES CALDAS;1;1
BRUNO SANTOS SOUZA;LUIZ FERNANDO ROMANHOLO FERREIRA;1;1
BRUNO SANTOS SOUZA;LUKAS GOMES GADELHA VIEIRA SANTOS;1;1
BRUNO SANTOS SOUZA;MARCELO DA ROSA ALEXANDRE;1;1
BRUNO SANTOS SOUZA;NADIA HORTENSE TORRES ROMANHOLO FERREIRA;1;1
BRUNO SANTOS SOUZA;PEDRO HENRIQUE CARVALHO DE AZEVEDO;1;1
BRUNO VIEIRA BERTONCINI;DEMOSTENIS RAMOS CASSIANO;1;1
BRUNO VIEIRA BERTONCINI;JEFFERSON PEREIRA RIBEIRO;1;1
BRUNO VIEIRA BERTONCINI;LEONARDO ARAUJO RODRIGUES;1;1
BRUNO VIEIRA BERTONCINI;RIVELINO MARTINS CAVALCANTE;1;1
BRUNO VIEIRA BERTONCINI;WENDY FERNANDES LAVIGNE QUINTANILHA;1;1
CAIO BEZERRA SOUTO MAIOR;ALICE VALENCA ARAUJO;1;1
CAIO BEZERRA SOUTO MAIOR;ANA LISA DO VALE GOMES;1;1
CAIO BEZERRA SOUTO MAIOR;FELIPE CAVALCANTI DE BARROS FELIPE;1;1
CAIO BEZERRA SOUTO MAIOR;ISIS DIDIER LINS;3;3
CAIO BEZERRA SOUTO MAIOR;JOAO MATEUS MARQUES DE SANTANA;3;3
CAIO BEZERRA SOUTO MAIOR;JULY BIAS MACEDO;1;1
CAIO BEZERRA SOUTO MAIOR;LEONARDO STRECK RAUPP;1;1
CAIO BEZERRA SOUTO MAIOR;MANOEL FELICIANO DA SILVA JUNIOR;1;1
CAIO BEZERRA SOUTO MAIOR;MARCIO JOSE DAS CHAGAS MOURA;3;3
CAIO BEZERRA SOUTO MAIOR;MARCUS VC MAGALHÃES;1;1
CAIO BEZERRA SOUTO MAIOR;MARIANA PINHEIRO FERNANDES;1;1
CAIO BEZERRA SOUTO MAIOR;RAFAEL VALENCA AZEVEDO;1;1
CARLOS ALBERTO BRAYNER DE OLIVEIRA LIRA;CELSO MARCELO FRANKLIN LAPA;1;1
CARLOS ALBERTO BRAYNER DE OLIVEIRA LIRA;MARIO AUGUSTO BEZERRA DA SILVA;1;1
CARLOS ALBERTO MARTINEZ HUITLE;ELISAMA VIEIRA DOS SANTOS;1;1
CARLOS ALBERTO MARTINEZ HUITLE;JOSE EUDES LIMA SANTOS;1;1
CARLOS ALEXANDRE BORGES GARCIA;ADNIVIA SANTOS COSTA MONTEIRO;1;1
CARLOS ALEXANDRE BORGES GARCIA;ERICA ALVES DE OLIVEIRA SANTOS;1;1
CARLOS ALEXANDRE BORGES GARCIA;HELENICE LEITE GARCIA;1;1
CARLOS ALEXANDRE BORGES GARCIA;IRAMAIA CORRÊA BELLIN;1;1
CARLOS ALEXANDRE BORGES GARCIA;JOSE DO PATROCINIO HORA ALVES;2;2
CARLOS ALEXANDRE BORGES GARCIA;MARCOS SANTIAGO SANTOS;1;1
CARLOS ALEXANDRE BORGES GARCIA;MARIA DE LARA PALMEIRA DE MACEDO ARGUELHO;2;2
CARLOS ALEXANDRE BORGES GARCIA;MARIA EULALIA ROCHA CARNEIRO;2;2
CARLOS ALEXANDRE BORGES GARCIA;RENNAN GEOVANNY OLIVEIRA ARAUJO;2;2
CARLOS ALEXANDRE BORGES GARCIA;SILVANIO SILVERIO LOPES DA COSTA;3;3
CARLOS ALEXANDRE ROLIM FERNANDES;AUZUIR RIPARDO DE ALEXANDRIA;1;1
CARLOS ALEXANDRE ROLIM FERNANDES;DANILO SOUSA ROCHA;1;1
CARLOS ALEXANDRE ROLIM FERNANDES;GLENDO DE FREITAS GUIMARAES;1;1
CARLOS ALEXANDRE ROLIM FERNANDES;MANOEL E N DE OLIVEIRA;1;1
CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA;CEZAR HENRIQUE GONZALEZ;1;1
CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA;OSCAR OLIMPIO DE ARAUJO FILHO;1;1
CARLOS AUGUSTO DO NASCIMENTO OLIVEIRA;ROGERIO PONTES DE ARAUJO;1;1
CARLOS DE OLIVEIRA GALVAO;BERVYLLY LIANNE DE FARIAS SANTOS;1;1
CARLOS DE OLIVEIRA GALVAO;DEMOSTENES ANDRADE DE MORAES;1;1
CARLOS DE OLIVEIRA GALVAO;ELDSON FERNANDES DE OLIVEIRA;1;1
CARLOS EDUARDO TRABUCO DOREA;SILVIU IULIAN NICULESCU;1;1
CARLOS EDUARDO TRABUCO DOREA;SORIN OLARU;2;2
CARLOS JOSE DE ARAUJO;ANTONIO GILSON BARBOSA DE LIMA;1;1
CARLOS JOSE DE ARAUJO;HORTENCIA LUMA FERNANDES MAGALHAES;1;1
CARLOS JOSE DE ARAUJO;JOÃO MANUEL DO PAÇO QUESADO DELGADO;1;1
CARLOS JOSE DE ARAUJO;JULIANA ANDREZA FIGUEIROA;1;1
CARLOS JOSE DE ARAUJO;LEONARDO PEREIRA DE LUCENA SILVA;1;1
CARLOS JOSE DE ARAUJO;MARIA JOSE DE FIGUEIREDO;1;1
CARLOS JOSE DE ARAUJO;RICARDO SOARES GOMEZ;1;1
CELSO AUGUSTO GUIMARAES SANTOS;RICHARDE MARQUES DA SILVA;1;1
CELSO AUGUSTO GUIMARAES SANTOS;THIAGO VICTOR MEDEIROS DO NASCIMENTO;1;1
CLAYTON MOURA DE CARVALHO;ALBANISE BARBOSA MARINHO;1;1
CLAYTON MOURA DE CARVALHO;BENITO MOREIRA DE AZEVEDO;1;1
CLAYTON MOURA DE CARVALHO;KARINA GUEDES CORREIA;1;1
CLAYTON MOURA DE CARVALHO;LEONARIA LUNA SILVA DE CARVALHO;1;1
CLAYTON MOURA DE CARVALHO;MANOEL VALNIR JUNIOR;1;1
CLAYTON MOURA DE CARVALHO;RAIMUNDO RODRIGUES GOMES FILHO;1;1
CLAYTON MOURA DE CARVALHO;RODRIGO COUTO SANTOS;1;1
CLAYTON MOURA DE CARVALHO;RYCHARDSON ROCHA DE ARAUJO;1;1
