Source;Target;Weight;Label
ANGSULA GHOSH;PUSPITAPALLAB CHAUDHURI;1;1
DARCICLEA FERREIRA SANTOS;JOAO BATISTA CORREA DA SILVA;1;1
DARCICLEA FERREIRA SANTOS;JOZINEI FERREIRA LOPES;1;1
GLEICE LORENA GONCALVES TAVARES BOTELHO;CAMILA CRISTINA DE FOGGI;1;1
GLEICE LORENA GONCALVES TAVARES BOTELHO;CARLOS EDUARDO SOUTO DE OLIVEIRA;1;1
GLEICE LORENA GONCALVES TAVARES BOTELHO;ELSON LONGO DA SILVA;1;1
GLEICE LORENA GONCALVES TAVARES BOTELHO;RICARDO KAMINISHI DOS SANTOS JUNIOR;1;1
GLEICE LORENA GONCALVES TAVARES BOTELHO;WYLLAMANNEY DA SILVA PEREIRA;1;1
GRASIELE SOARES CAVALLINI;RODRIGO RIBEIRO FIDELIS;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;ARTUR LUIZ DA COSTA DA SILVA;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;HORACIO SCHNEIDER;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;IZENI PIRES FARIAS;2;2
MARIA IRACILDA DA CUNHA SAMPAIO;JEAN PHILIPPE BOUBLI;2;2
MARIA IRACILDA DA CUNHA SAMPAIO;JEFERSON COSTA CARNEIRO;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;RICHARD CARL VOGT;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;ROGERIO VIEIRA ROSSI;1;1
MARIA IRACILDA DA CUNHA SAMPAIO;TOMAS HRBEK;2;2
MIRCEA DANIEL GALICEANU;CARLOS FABIO DE OLIVEIRA MENDES;1;1
MIRCEA DANIEL GALICEANU;CASSIO MACEDO MACIEL;1;1
MIRCEA DANIEL GALICEANU;MARCUS WERNER BEIMS;1;1
RUBIA GONCALVES NASCIMENTO;GELSON CONCEICAO GONCALVES DOS SANTOS;1;1
RUBIA GONCALVES NASCIMENTO;LAILA CONCEICAO FONTINELE;1;1
RUBIA GONCALVES NASCIMENTO;SUELLEN CRISTINA QUEIROZ ARRUDA;1;1
SIMONI SANTOS DA SILVA;LUIZ ALBERTO OLIVEIRA ROCHA;1;1
SIMONI SANTOS DA SILVA;SERGIO RICARDO FLOETER;1;1
SIMONI SANTOS DA SILVA;YRLENE DO SOCORRO SILVA FERREIRA;1;1
