Source;Target;Weight;Label
LUIZA CARLA GIRARD MENDES TEIXEIRA;ANANDA LIMA SANSON;1;1
LUIZA CARLA GIRARD MENDES TEIXEIRA;DEBORA PRISSILA REIS SANDIM;1;1
LUIZA CARLA GIRARD MENDES TEIXEIRA;IAN ROCHA DE ALMEIDA;1;1
LUIZA CARLA GIRARD MENDES TEIXEIRA;NEYSON MARTINS MENDONCA;1;1
MAISA SALES GAMA TOBIAS;MARCUS PINTO DA COSTA DA ROCHA;1;1
MAISA SALES GAMA TOBIAS;PAULO SERGIO LIMA PEREIRA AFONSO;1;1
MARCELE FONSECA PASSOS;LUIS ADRIANO SANTOS DO NASCIMENTO;1;1
MARIA ADRINA PAIXAO DE SOUZA DA SILVA;TAMIRES ISABELA MESQUITA BOTELHO;2;2
MARIA ADRINA PAIXAO DE SOUZA DA SILVA;WELLINGTON BRUNO SILVA DE JESUS;1;1
MARIA EMILIA DE LIMA TOSTES;ANDREIA PALHETA FERREIRA DE SOUZA;1;1
MARIA EMILIA DE LIMA TOSTES;JONATHAN MUNOZ TABORA;1;1
MARIA EMILIA DE LIMA TOSTES;MARIA DO SOCORRO PALHETA SILVA;1;1
MARIANE FURTADO GONCALVES;CLAUDIO JOSE CAVALCANTE BLANCO;1;1
ROBERTA MARA DE OLIVEIRA VERGARA;FERNAN ENRIQUE VERGARA FIGUEROA;1;1
ROBERTA MARA DE OLIVEIRA VERGARA;RODOLFO ALVES DA LUZ;1;1
