Source;Target;Weight;Label
ALDEMIR BRANCO DE OLIVEIRA FILHO;ANTONIO CARLOS ROSARIO VALLINOTO;1;1
ALDEMIR BRANCO DE OLIVEIRA FILHO;BENEDIKT FISCHER;1;1
ALDEMIR BRANCO DE OLIVEIRA FILHO;EMIL KUPEK;1;1
ALDEMIR BRANCO DE OLIVEIRA FILHO;JOSE ALEXANDRE RODRIGUES DE LEMOS;1;1
ALDEMIR BRANCO DE OLIVEIRA FILHO;LEILA SAWADA;1;1
ALDEMIR BRANCO DE OLIVEIRA FILHO;PAULA CRISTINA RODRIGUES FRADE;4;4
ALDEMIR BRANCO DE OLIVEIRA FILHO;RICARDO ISHAK;3;3
ANDERSON DAVID DE SOUZA CAMPELO;ABDELAZIZ SOUFYANE;1;1
ANDERSON DAVID DE SOUZA CAMPELO;ANDERSON DE JESUS ARAUJO RAMOS;2;2
ANDERSON DAVID DE SOUZA CAMPELO;CARLOS ALBERTO DA SILVA NONATO;1;1
ANDERSON DAVID DE SOUZA CAMPELO;D W G SILVA;1;1
ANDERSON DAVID DE SOUZA CAMPELO;DILBERTO DA SILVA ALMEIDA JUNIOR;1;1
ANDERSON DAVID DE SOUZA CAMPELO;MARCOS LIMA CARDOSO;1;1
ANDERSON DAVID DE SOUZA CAMPELO;MIRELSON MARTINS FREITAS;2;2
ANDERSON DE JESUS ARAUJO RAMOS;AHMET OZKAN OZER;3;3
ANDERSON DE JESUS ARAUJO RAMOS;ANDERSON DAVID DE SOUZA CAMPELO;1;1
ANDERSON DE JESUS ARAUJO RAMOS;ANDERSON LUIS ALBUQUERQUE DE ARAUJO;1;1
ANDERSON DE JESUS ARAUJO RAMOS;BAOWEI FENG;2;2
ANDERSON DE JESUS ARAUJO RAMOS;CARLOS ALBERTO DA SILVA NONATO;3;3
ANDERSON DE JESUS ARAUJO RAMOS;CARLOS ALBERTO RAPOSO DA CUNHA;3;3
ANDERSON DE JESUS ARAUJO RAMOS;DILBERTO DA SILVA ALMEIDA JUNIOR;2;2
ANDERSON DE JESUS ARAUJO RAMOS;ERALDO RODOLFO DO NASCIMENTO DA FONSECA;1;1
ANDERSON DE JESUS ARAUJO RAMOS;GONGWEI LIU;1;1
ANDERSON DE JESUS ARAUJO RAMOS;JOELSON D MARTINS;1;1
ANDERSON DE JESUS ARAUJO RAMOS;LEOMAR DOS SANTOS VERAS;1;1
ANDERSON DE JESUS ARAUJO RAMOS;MATHEUS LIMA DE ARAUJO;2;2
ANDERSON DE JESUS ARAUJO RAMOS;MAURO ANTONIO RINCON;1;1
ANDERSON DE JESUS ARAUJO RAMOS;MIRELSON MARTINS FREITAS;10;10
ANDERSON DE JESUS ARAUJO RAMOS;MONCEF AOUADI;1;1
ANDERSON DE JESUS ARAUJO RAMOS;O P V VILLAGRAN;1;1
ANDERSON DE JESUS ARAUJO RAMOS;RAFAEL SANTOS DA COSTA;1;1
ANDERSON DE JESUS ARAUJO RAMOS;RENHAI WANG;1;1
ANDERSON DE JESUS ARAUJO RAMOS;TEÓFANES MÉNDEZ QUISPE;2;2
ANDERSON DE JESUS ARAUJO RAMOS;TIJANI A APALARAB;2;2
ANDERSON DE JESUS ARAUJO RAMOS;VICTOR Z CABANILLAS;2;2
ANDREY MOACIR DO ROSARIO MARINHO;CLAUDIA MARIA DA SILVA COSTA;1;1
ANDREY MOACIR DO ROSARIO MARINHO;EMMANOEL VILACA COSTA;1;1
ANDREY MOACIR DO ROSARIO MARINHO;JESSICA FERNANDES AUZIER;1;1
ANDREY MOACIR DO ROSARIO MARINHO;JOSE EDSON DE SOUSA SIQUEIRA;1;1
ANDREY MOACIR DO ROSARIO MARINHO;LIVIA SOMAN DE MEDEIROS;1;1
ANDREY MOACIR DO ROSARIO MARINHO;LIVIANE DO NASCIMENTO SOARES;1;1
ANDREY MOACIR DO ROSARIO MARINHO;LUANA CARDOSO DE OLIVEIRA;1;1
