Source;Target;Weight;Label
ADONIS FERREIRA RAIOL LEAL;ALLAN RA MANITO;1;1
ADONIS FERREIRA RAIOL LEAL;ANDRE MELO DE MORAIS;1;1
ADONIS FERREIRA RAIOL LEAL;BRIGIDA RAMATI PEREIRA DA ROCHA;1;1
ADONIS FERREIRA RAIOL LEAL;EDUARDO RIBEIRO FERREIRA;1;1
ADONIS FERREIRA RAIOL LEAL;GABRIEL FARIAS FERREIRA;1;1
ADONIS FERREIRA RAIOL LEAL;JEFF LAPIERRE;1;1
ADONIS FERREIRA RAIOL LEAL;NATHAN M LOPES;1;1
ADONIS FERREIRA RAIOL LEAL;NILTON RODOLFO NASCIMENTO MELO RODRIGUES;1;1
ADONIS FERREIRA RAIOL LEAL;RODRIGO MELO E SILVA DE OLIVEIRA;1;1
ADONIS FERREIRA RAIOL LEAL;THIAGO S DE LIMA;1;1
ADONIS FERREIRA RAIOL LEAL;VLADIMIR A RAKOV;2;2
ADONIS FERREIRA RAIOL LEAL;WENDLER LUIS NOGUEIRA MATOS;1;1
ALCEBIADES NEGRAO MACEDO;ANDRE AUGUSTO AZEVEDO MONTENEGRO DUARTE;1;1
ALCEBIADES NEGRAO MACEDO;JOSE ANTONIO DA SILVA SOUZA;1;1
ANTONIO LUCIANO SEABRA MOREIRA;OTAVIO FERNANDES LIMA DA ROCHA;1;1
ANTONIO MAIA DE JESUS CHAVES NETO;ABEL FERREIRA GOMES NETO;1;1
ARMANDO ARAUJO DE SOUZA JUNIOR;JO DA CUNHA FONSECA;1;1
ARMANDO ARAUJO DE SOUZA JUNIOR;JOSE LUIZ DE SOUZA PIO;1;1
ARMANDO ARAUJO DE SOUZA JUNIOR;MARCELO ALBUQUERQUE DE OLIVEIRA;1;1
ARMANDO ARAUJO DE SOUZA JUNIOR;OTAVIO CESAR DE PAIVA VALADARES;1;1
ARMANDO ARAUJO DE SOUZA JUNIOR;PEDRO HENRIQUE SOUZA DA SILVA;1;1
CARLOS ALBERTO BRITO DA SILVA JUNIOR;JORDAN DEL NERO;3;3
CELSO BARBOSA CARVALHO;ANDRÉ MACHADO;1;1
CLAUDERINO DA SILVA BATISTA;EMANUEL NEGRAO MACEDO;1;1
CLAUDERINO DA SILVA BATISTA;HELCIO RANGEL BARRETO ORLANDE;1;1
CLAUDERINO DA SILVA BATISTA;HELDER KIYOSHI MIYAGAWA;1;1
CLAUDERINO DA SILVA BATISTA;JOAO NAZARENO NONATO QUARESMA;1;1
CLAUDIO JOSE CAVALCANTE BLANCO;ADAYANA MARIA QUEIROZ DE MELO;1;1
CLAUDIO JOSE CAVALCANTE BLANCO;AMANDA DE CASSIA LOBATO SOARES;1;1
CLAUDIO JOSE CAVALCANTE BLANCO;CARLOS EDUARDO AGUIAR DE SOUZA COSTA;1;1
CLAUDIO JOSE CAVALCANTE BLANCO;JOSIAS DA SILVA CRUZ;1;1
