Source;Target;Weight;Label
ABIGAIL SILVA DUARTE FOLHA;ADY CAMBRAIA JR;1;1
ABIGAIL SILVA DUARTE FOLHA;CARLOS DIOSDADO ESPINOZA PENAFIEL;1;1
ABIGAIL SILVA DUARTE FOLHA;HAROLD WILLIAM ROSENBERG;1;1
ADRIANA ALVES;FERNANDO PRADO ARAUJO;1;1
ADRIANA ALVES;GIOVANNA DE SOUZA PEREIRA;1;1
ADRIANA ALVES;PATRICIO RODRIGO MONTECINOS MUNOZ;1;1
ADRIANA ALVES;VALDECIR DE ASSIS JANASI;1;1
ADRIANA BENETTI MARQUES VALIO;ALEXANDRE ARAUJO DE SOUZA;1;1
ADRIANA CRISTINA CHERRI NICOLA;JOSÉ FERNANDO OLIVEIRA;1;1
ADRIANA CRISTINA CHERRI NICOLA;LUIZ HENRIQUE CHERRI;1;1
ADRIANA CRISTINA CHERRI NICOLA;MARIA ANTONIA DA SILVA LOPES DE CARRAVILLA;1;1
ADRIANA CRISTINA CHERRI NICOLA;MARIA BEATRIZ BRITO OLIVEIRA;1;1
ADRIANA NORI DE MACEDO;GISELE ANDRE BAPTISTA CANUTO;1;1
AGMA JUCI MACHADO TRAINA;CAETANO TRAINA JUNIOR;1;1
AGMA JUCI MACHADO TRAINA;MARCO ANTONIO GUTIERREZ;1;1
AGMA JUCI MACHADO TRAINA;MIRELA TEIXEIRA CAZZOLATO;1;1
ALESSANDRA FERRAZ DA SILVA FERREIRA;ANTONIO FERNANDO BERTACHINI DE ALMEIDA PRADO;2;2
ALESSANDRA FERRAZ DA SILVA FERREIRA;OTHON CABO WINTER;1;1
ALESSANDRA FERRAZ DA SILVA FERREIRA;RODOLPHO VILHENA DE MORAES;1;1
ALESSANDRA FERRAZ DA SILVA FERREIRA;VIVIAN MARTINS GOMES;1;1
ALESSANDRA LEDA VALVERDE;ROBERTO CARLOS CAMPOS MARTINS;1;1
ALESSANDRA LEDA VALVERDE;SAMANTA CARDOZO MOURAO;1;1
ALESSANDRA LEDA VALVERDE;SELMA RIBEIRO DE PAIVA;2;2
ALESSANDRA MARIELI VACARI;BRUNO GOMES DAMI;1;1
ALESSANDRA MARIELI VACARI;CESAR RODRIGUEZ SAONA;1;1
ALESSANDRA MARIELI VACARI;EDER DE OLIVEIRA CABRAL;1;1
ALESSANDRA MARIELI VACARI;FELIPE DAMATO;1;1
ALESSANDRA MARIELI VACARI;GUSTAVO PINCERATO FIGUEIREDO;1;1
ALESSANDRA MARIELI VACARI;LUCAS STEFENS MARTINS UBIALI DE LIMA;1;1
ALESSANDRA MARIELI VACARI;MATEUS LEVI FELIX DE LIMA;1;1
ALESSANDRA TOMAL;ANTONIO SARNO;1;1
ALESSANDRA TOMAL;CHIARA VALERO;1;1
ALESSANDRA TOMAL;CHOONSIK LEE;1;1
ALESSANDRA TOMAL;DENISE YANIKIAN NERSISSIAN;1;1
ALESSANDRA TOMAL;GABRIEL FERRAUCHE;1;1
ALESSANDRA TOMAL;GIOVANNA TRAMONTIN CARNEIRO;1;1
ALESSANDRA TOMAL;HILTON LEÃO FILHO;1;1
ALESSANDRA TOMAL;ISABELLA PAZIAM FERNANDES NUNES;1;1
ALESSANDRA TOMAL;JULLIANNA CRISTINA DE OLIVEIRA CASTRO;1;1
ALESSANDRA TOMAL;MÁRCIO VALENTE YAMADA SAWAMURA;1;1
ALESSANDRA TOMAL;NIKOLAY DUKOV;1;1
ALESSANDRA TOMAL;PAULO ROBERTO COSTA;2;2
ALESSANDRA TOMAL;RAFFAELE M TUCCIARIELLO;1;1
ALESSANDRA TOMAL;RODRIGO TREVISAN MASSERA;1;1
ALICE KIMIE MIWA LIBARDI;CARLOS BIASI;1;1
ALICE KIMIE MIWA LIBARDI;DENISE DE MATTOS;1;1
ALICE KIMIE MIWA LIBARDI;DENISE MATTOS;1;1
ALICE KIMIE MIWA LIBARDI;EDIVALDO LOPES DOS SANTOS;1;1
ALICE KIMIE MIWA LIBARDI;ELIRIS CRISTINA RIZZIOLLI;2;2
ALICE KIMIE MIWA LIBARDI;JEAN PAUL BRASSELET;2;2
ALICE KIMIE MIWA LIBARDI;MARCELO JOSE SAIA;1;1
ALICE KIMIE MIWA LIBARDI;MARCELO JOSÉ SAIA;1;1
ALICE KIMIE MIWA LIBARDI;SERGIO TSUYOSHI URA;1;1
ALINE KLASSEN;ALESSANDRA SUSSULINI;1;1
ALINE KLASSEN;ALINE SORIANO LOPES;1;1
ALINE KLASSEN;ANDREA TEDESCO FACCIO;1;1
ALINE KLASSEN;ANTONIO MARTINS FIGUEIREDO NETO;1;1
ALINE KLASSEN;CARLOS EDUARDO DOS SANTOS FERREIRA;1;1
ALINE KLASSEN;CAROLINA RAISSA COSTA PICOSSI;1;1
ALINE KLASSEN;DEBORA CRISTINA DE OLIVEIRA;1;1
ALINE KLASSEN;ELISA CASTAÑEDA SANTA CRUZ;1;1
ALINE KLASSEN;FRANCISCO ANTONIO HELFENSTEIN FONSECA;1;1
ALINE KLASSEN;KEYLLER BASTOS BORGES;1;1
ALINE KLASSEN;LEANDRO AUGUSTO CALIXTO;1;1
ALINE KLASSEN;MARCELLA MATOS CORDEIRO LOPES;1;1
ALINE KLASSEN;MARCONE AUGUSTO LEAL DE OLIVEIRA;1;1
ALINE KLASSEN;MARIA CRISTINA DE OLIVEIRA IZAR;1;1
ALINE KLASSEN;MARICA PATRICIA DO NASCIMENTO;1;1
ALINE KLASSEN;MARINA FRANCO MAGGI TAVARES;1;1
ALINE KLASSEN;PRISCILLA BENTO MATOS CRUZ DEROGIS;1;1
ALINE KLASSEN;RAFAEL FERREIRA FERNANDES;1;1
ALINE KLASSEN;RAFAELA TUDELA BASTOS;1;1
ALINE KLASSEN;STEFANIE CAROLINE FONTOURA;1;1
ALINE THAIS BRUNI;CAIO HENRIQUE PINKE RODRIGUES;1;1
ALINE THAIS BRUNI;CHRISTIANO DOS SANTOS;1;1
ALINE THAIS BRUNI;JADE SIMOES DE CASTRO;1;1
ALINE THAIS BRUNI;JESUS ANTONIO VELHO;1;1
ALINE THAIS BRUNI;LIVIA SALVIANO MARIOTTO;1;1
ALINE THAIS BRUNI;LUIZ FELIPE COLLI SINHORINI;1;1
AMANDA PORTO NEVES;ARTHUR EUGEN KUMMERLE;1;1
AMANDA PORTO NEVES;FELIPE VITORIO RIBEIRO;1;1
AMANDA PORTO NEVES;GLEYTON LEONEL SILVA SOUSA;1;1
AMANDA PORTO NEVES;GUILHERME PEREIRA GUEDES;1;1
AMANDA PORTO NEVES;HENRIQUE JEFFERSON DE ARRUDA;1;1
AMANDA PORTO NEVES;PATRICIA SARAIVA VILAS BOAS DE ALMEIDA;1;1
AMANDA SILVA DE MIRANDA;FYAZ MAHMOOD DAUD ISMAIL;1;1
AMANDA SILVA DE MIRANDA;LUIZ CLAUDIO DE ALMEIDA BARBOSA;1;1
ANA CAROLINA LORENA;PEDRO YURI ARBS PAIVA;1;1
ANA CRISTINA VIEIRA;DAFNE CAMPOS LIMA BESSADES;2;2
ANA CRISTINA VIEIRA;JUAN ANTONIO PACHECO CRUZ;1;1
ANA CRISTINA VIEIRA;LORENA MARA COSTA OLIVEIRA;1;1
ANA CRISTINA VIEIRA;MARALICE ASSIS DE OLIVEIRA;2;2
ANA CRISTINA VIEIRA;MARIA LUIZA OLIVEIRA SANTOS;1;1
ANA CRISTINA VIEIRA;RAFAEL BEZERRA DOS SANTOS;5;5
ANA MARIA BUENO NUNES;RENATA LIBONATI DOS SANTOS;1;1
ANA MARIA DA COSTA FERREIRA;ADELINO VIEIRA DE GODOY NETTO;1;1
ANA MARIA DA COSTA FERREIRA;ANA LUCIA TASCA GOIS RUIZ;2;2
ANA MARIA DA COSTA FERREIRA;BERNARDO LAGES RODRIGUES;1;1
ANA MARIA DA COSTA FERREIRA;CAMILA ANCHAU WEGERMANN;2;2
ANA MARIA DA COSTA FERREIRA;DANIEL DE OLIVEIRA TAVARES ALVES MARTINS;1;1
ANA MARIA DA COSTA FERREIRA;EDUARDO GUIMARAES VIEIRA;7;7
ANA MARIA DA COSTA FERREIRA;ELENE CRISTINA PEREIRA MAIA;2;2
ANA MARIA DA COSTA FERREIRA;ESTENIO AUGUSTO DE OLIVEIRA MARCONDES FILHO;1;1
ANA MARIA DA COSTA FERREIRA;GUSTAVO LEVENDOSKI SABINO;1;1
ANA MARIA DA COSTA FERREIRA;JANAINA DANTAS VILCACHAGUA;1;1
ANA MARIA DA COSTA FERREIRA;JESSICA LUIZA CAPPELLETTI MENDONCA;1;1
ANA MARIA DA COSTA FERREIRA;JOAO ERNESTO DE CARVALHO;2;2
ANA MARIA DA COSTA FERREIRA;KOITI ARAKI;1;1
ANA MARIA DA COSTA FERREIRA;LEDA QUERCIA VIEIRA;1;1
ANA MARIA DA COSTA FERREIRA;LUIGI CASTELLA;1;1
ANA MARIA DA COSTA FERREIRA;LUIS FERNANDO BARBISAN;1;1
ANA MARIA DA COSTA FERREIRA;LUIZ ANTONIO SODRE COSTA;2;2
ANA MARIA DA COSTA FERREIRA;MARCELO CECCONI PORTES;5;5
ANA MARIA DA COSTA FERREIRA;MARCIA LAUDELINA ARRUDA TEMPERINI;1;1
ANA MARIA DA COSTA FERREIRA;MARIA JULIA MANSO ALVES;1;1
ANA MARIA DA COSTA FERREIRA;MARIA TERESA MACHINI;1;1
