Source;Target;Weight;Label
ADRIANA BENETTI MARQUES VALIO;ALEXANDRE ARAUJO DE SOUZA;1;1
ADRIANA DE SOUZA MEDEIROS BATISTA;CRISSIA CAREM PAIVA FONTAINHA;1;1
ADRIANA DE SOUZA MEDEIROS BATISTA;LUCIANA BATISTA NOGUEIRA;1;1
ADRIANA DE SOUZA MEDEIROS BATISTA;MARLON SANTOS SILVA;1;1
ADRIANA DE SOUZA MEDEIROS BATISTA;PRISCILA DO CARMO SANTANA;1;1
ADRIANA DE SOUZA MEDEIROS BATISTA;TALITA DE OLIVEIRA SANTOS;1;1
ADRIANA LEIRAS;HUGO TSUGUNOBU YOSHIDA YOSHIZAKI;2;2
ADRIANA LEIRAS;IRINEU DE BRITO JUNIOR;2;2
ADRIANA LEIRAS;PAULO MARCIO GONCALVES;2;2
ADRIANA SARMENTO DE OLIVEIRA CRUZ;ALINE VILLA NOVA BACURAU;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;BARBARA MARIA IANNI;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;CARLOS EDUARDO NEGRAO;2;2
ADRIANA SARMENTO DE OLIVEIRA CRUZ;CHARLES MADY;2;2
ADRIANA SARMENTO DE OLIVEIRA CRUZ;DENISE MOREIRA LIMA LOBO;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;EDUARDO RONDON;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;FELIX JOSE ALVAREZ RAMIRES;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;FERNANDA GALLINARO PESSOA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;IVANI CREDIDIO TROMBETTA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;KEILA CARDOSO BARBOSA FONSECA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;LEILA DAL POGGETTO MOREIRA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;LIGIA DE MORAES ANTUNES CORREA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;MARCELO LUIZ CAMPOS VIEIRA;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;MARIA DO SOCORRO BRASILEIRO;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;MARIA JANIEIRE DE NAZARE NUNES ALVES;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;MARIA URBANA PINTO BRANDAO RONDON;1;1
ADRIANA SARMENTO DE OLIVEIRA CRUZ;PATRICIA CHAKUR BRUM;1;1
ADRIANA SILVA FRANCA;LEANDRO SOARES DE OLIVEIRA;1;1
ADRIANE MARA DE SOUZA MUNIZ;FELIPE COSTA ALVIM;1;1
ADRIANE MARA DE SOUZA MUNIZ;GABRIEL GOLLNER ZEITOUNE;1;1
ADRIANE MARA DE SOUZA MUNIZ;HENRIQUE LELIS CLEMENTE DE OLIVEIRA;1;1
ADRIANE MARA DE SOUZA MUNIZ;JURANDIR NADAL;1;1
ADRIANE MARA DE SOUZA MUNIZ;LUCIANO LUPORINI MENEGALDO;2;2
ADRIANE MARA DE SOUZA MUNIZ;LUIS AURELIANO IMBIRIBA SILVA;1;1
ADRIANE MARA DE SOUZA MUNIZ;RUDNEI PALHANO;2;2
ADRIELLE DE CARVALHO SANTANA;ADRIANO V BARBOSA;1;1
ADRIELLE DE CARVALHO SANTANA;HANI CAMILLE YEHIA;1;1
ADRIELLE DE CARVALHO SANTANA;RAFAEL LABOISSIÈRE;1;1
ALENA TORRES NETTO;ELENICE RACHID DA SILVA;1;1
ALENA TORRES NETTO;JOSIMAR RIBEIRO DE ALMEIDA;2;2
ALICE MEDEIROS DE LIMA;ADILSON JOSE DE ASSIS;1;1
ALICE MEDEIROS DE LIMA;CARLA EPONINA HORI;1;1
ALICE MEDEIROS DE LIMA;SANDRA CRISTINA DANTAS;1;1
AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;EVANDRO MATEUS MORETTO;1;1
AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;JOSIANNE CLÁUDIA SALES ROSA;1;1
AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;LUIS ENRIQUE SANCHEZ;1;1
AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;MARCELO MONTANO;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;EDUARDO DE MORAES REGO FAIRBAIRN;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;FABIOLA DA SILVEIRA MARANHAO;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;FERNANDO GOMES DE SOUZA JR;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;JOAO HUMBERTO GUANDALINI BATISTA;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;MARIANE RODRIGUES RITA;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;OSCAR AURELIO MENDOZA REALES;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;ROMILDO DIAS TOLEDO FILHO;1;1
ANA BEATRIZ DE CARVALHO GONZAGA E SILVA;THIAGO MONTEIRO MELLO E ALVIM;1;1
ANA CAROLINA FERNANDES MACIEL;BRUNO BARZELLAY FERREIRA DA COSTA;1;1
ANA CAROLINA FERNANDES MACIEL;DOGMAR ANTONIO DE SOUZA JUNIOR;1;1
ANA CAROLINA FERNANDES MACIEL;PEDRO HENRIQUE DE OLIVEIRA;1;1
ANA CAROLINA LORENA;JOAO LUIZ JUNHO PEREIRA;1;1
ANA CAROLINA LORENA;KATE SMITH MILES;1;1
ANA CAROLINA LORENA;MARIO ANDRE MUNOZ;1;1
ANA CAROLINA LORENA;PEDRO YURI ARBS PAIVA;2;2
ANA CAROLINA LORENA;RICARDO B C PRUDÊNCIO;2;2
ANA ELISABETE PAGANELLI GUIMARAES DE AVILA JACINTHO;LIA LORENA PIMENTEL;1;1
ANA ELISABETE PAGANELLI GUIMARAES DE AVILA JACINTHO;PATRICIA STELLA PUCHARELLI FONTANINI;1;1
ANA GHISLANE HENRIQUES PEREIRA VAN ELK;LETICIA FIGUEIREDO SILVA;2;2
ANA GHISLANE HENRIQUES PEREIRA VAN ELK;MARCELO OBRACZKA;2;2
ANA LAURA MARTINS DE ANDRADE;ALEXANDRA P MARQUES;1;1
ANA LAURA MARTINS DE ANDRADE;LUCILIA PEREIRA SILVA;1;1
ANA LAURA MARTINS DE ANDRADE;NIVALDO ANTONIO PARIZOTTO;1;1
ANA LAURA MARTINS DE ANDRADE;PATRICIA BRASSOLATTI;1;1
ANA LAURA MARTINS DE ANDRADE;RICHARD ELOIN LIEBANO;1;1
ANA LUCIA FERREIRA DE BARROS;ALESSANDRA RICCA;2;2
ANA LUCIA FERREIRA DE BARROS;ALEXANDRE BERGANTINI DE SOUZA;1;1
ANA LUCIA FERREIRA DE BARROS;ALICJA DOMARACKA;3;3
ANA LUCIA FERREIRA DE BARROS;ANDREW MATIODDA;2;2
ANA LUCIA FERREIRA DE BARROS;CHRISTIAN FERNANDO MEJIA GUAMAN;2;2
ANA LUCIA FERREIRA DE BARROS;EDUARDO SEPERUELO DUARTE;3;3
ANA LUCIA FERREIRA DE BARROS;ENIO FROTA DA SILVEIRA;5;5
ANA LUCIA FERREIRA DE BARROS;HERMANN ROTHARD;5;5
ANA LUCIA FERREIRA DE BARROS;PHILIPPE BOUDUCH;5;5
ANA LUCIA FERREIRA DE BARROS;RODRIGO COELHO PEREIRA;1;1
ANA LUCIA FIGUEIREDO FACIN;ANA FLAVIA SAFADY DA GAMA CRUZ;1;1
ANA LUCIA FIGUEIREDO FACIN;ANA PAULA FRANCO PAES LEME BARBOSA;1;1
ANA LUCIA FIGUEIREDO FACIN;CRISTIANE MATSUMOTO;1;1
ANA LUCIA FIGUEIREDO FACIN;MARIO SERGIO SALERNO;1;1
ANA PAULA DA LUZ;CHRISTOPHER PARR;1;1
ANA PAULA DA LUZ;MARIANA DE ALBUQUERQUE LIMA BRAULIO;2;2
ANA PAULA DA LUZ;MURILO HENRIQUE MOREIRA;2;2
ANA PAULA DA LUZ;RAFAEL SALOMAO;1;1
ANA PAULA DA LUZ;VICTOR CARLOS PANDOLFELLI;2;2
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;CAROLINA LOBREGATI LOPES;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;CLECIA DOS SANTOS SOUSA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;DIEGO DE MELO CONTI;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;GIOVANNE SOARES SILVEIRA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;GUILHERME LEITE GAUDERETO;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;JOAO VITOR DE SOUZA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;NEIVA VIRIATO VIANA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;NESTOR KENJI YOSHIKAWA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;RAFAEL FRANKLIN DA SILVA FERREIRA;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;SILVIA ROSANA DOS SANTOS;1;1
ANA PAULA DO NASCIMENTO LAMANO FERREIRA;THIAGO CAIRES TABOADA DA SILVA;1;1
ANA PAULA FURLAN;ANDRY RAZAKAMANANTSOA;1;1
ANA PAULA FURLAN;DANIEL LEVACHER;1;1
ANA PAULA FURLAN;DIMITRI DENEELE;1;1
ANA PAULA FURLAN;HARIFIDY RANAIVOMANANA;1;1
ANA PAULA FURLAN;OUALI AMIRI;1;1
ANA PAULA KOURY;BRUNO SANTANA DE OLIVEIRA;1;1
ANA PAULA KOURY;FILIPE ANTONIO MARQUES FALCETTA;1;1
ANA PAULA KOURY;MARI ANNA DE CAMARGO FIRMINO;1;1
ANA PAULA KOURY;NESTOR KENJI YOSHIKAWA;1;1
ANA PAULA KOURY;PEDRO HENRIQUE HERCULANO CORREIA;1;1
ANA PAULA KOURY;RAFAEL SANCHES PIMENTEL;1;1
ANA PAULA MONI SILVA;ADRIELE MARIA DE CASSIA CRISPIM;1;1
ANA PAULA MONI SILVA;ELECTO EDUARDO SILVA LORA;1;1
ANA PAULA MONI SILVA;IVAN FELIPE SILVA DOS SANTOS;1;1
ANA PAULA MONI SILVA;MARIA LUIZA GRILLO RENO;1;1
ANA PAULA MONI SILVA;REGINA MAMBELI BARROS;1;1
ANA SILVIA PEREIRA SANTOS;BRUNA MAGALHAES DE ARAUJO;1;1
ANA SILVIA PEREIRA SANTOS;JOSÉ MANUEL PEREIRA VIEIRA;2;2
ANA SILVIA PEREIRA SANTOS;LUIS CARLOS SOARES DA SILVA JUNIOR;1;1
ANA SILVIA PEREIRA SANTOS;MAIRA ARAUJO DE MENDONCA LIMA;2;2
ANA SILVIA PEREIRA SANTOS;MARILIA CARVALHO DE MELO;1;1
ANA SILVIA PEREIRA SANTOS;PABLO DA SILVA AVELAR;1;1
ANA SILVIA PEREIRA SANTOS;RICARDO FRANCI GONCALVES;1;1
ANDREA GOMES CAMPOS BIANCHI;CLAUDIA MARTINS CARNEIRO;2;2
ANDREA GOMES CAMPOS BIANCHI;DANIELA MAYUMI USHIZIMA;2;2
ANDREA GOMES CAMPOS BIANCHI;DEBORA NASSER DINIZ;2;2
ANDREA GOMES CAMPOS BIANCHI;EDUARDO JOSE DA SILVA LUZ;1;1
ANDREA GOMES CAMPOS BIANCHI;FATIMA NELSIZEUMA SOMBRA DE MEDEIROS;2;2
ANDREA GOMES CAMPOS BIANCHI;GLADSTON JULIANO PRATES MOREIRA;1;1
ANDREA GOMES CAMPOS BIANCHI;MARCONE JAMILSON FREITAS SOUZA;2;2
ANDREA GOMES CAMPOS BIANCHI;MARIANA TREVISAN REZENDE;2;2
ANDREIA DE ARAUJO MORANDIM GIANNETTI;JOSE CARLOS DE ANDRADE NETO;1;1
ANDREIA DE ARAUJO MORANDIM GIANNETTI;PATRICIA ALESSANDRA BERSANETTI;1;1
ANDREIA DE ARAUJO MORANDIM GIANNETTI;TALEESA SOUZA CARVALHO;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;AP SOUZA;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;CAUE DE SOUZA COUTINHO NOGUEIRA;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;JAVIER ALEJANDRO CARRENO VELASCO;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;JORGE LUIZ CARDOSO;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;JUAN MANUEL PARDAL;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;MARCELO JOSE GOMES DA SILVA;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;SERGIO SOUTO MAIOR TAVARES;1;1
ANDREIA DE SOUZA MARTINS CARDOSO;YUTAO XING;1;1
ANDREIA GUERRA DE MORAES;CRISTIANO BARBOSA DE MOURA;1;1
ANNA VIRGINIA MUNIZ MACHADO;ANA SILVIA PEREIRA SANTOS;1;1
ANNA VIRGINIA MUNIZ MACHADO;PATRICK GONCALVES MATOS;2;2
ANNA VIRGINIA MUNIZ MACHADO;PEDRO AUGUSTO DIAS DE OLIVEIRA;2;2
ANTONELLA LOMBARDI COSTA;CLAUBIA PEREIRA BEZERRA LIMA;1;1
ANTONELLA LOMBARDI COSTA;JOAO GABRIEL DE OLIVEIRA MARQUES;1;1
ANTONELLA LOMBARDI COSTA;JOSÉ EDUARDO MAUTONE;1;1
ANTONELLA LOMBARDI COSTA;PEDRO AUGUSTO REZENDE;1;1
ANTONIA SONIA ALVES CARDOSO DINIZ;DANIEL SENA BRAGA;1;1
ANTONIA SONIA ALVES CARDOSO DINIZ;LAWRENCE LARRY KAZMERSKI;1;1
ANTONIA SONIA ALVES CARDOSO DINIZ;TULIO PINHEIRO DUARTE;1;1
ANTONIA SONIA ALVES CARDOSO DINIZ;VINICIUS AUGUSTO CAMATTA SANTANA;1;1
ARIANA MARIA DA CONCEICAO LACORTE CANIATO SERRANO;GUSTAVO ADOLFO PALOMINO MARCELO;1;1
ARIANA MARIA DA CONCEICAO LACORTE CANIATO SERRANO;GUSTAVO MARCATI ALEXANDRINO ALVES;1;1
ARIANA MARIA DA CONCEICAO LACORTE CANIATO SERRANO;GUSTAVO PAMPLONA REHDER;1;1
ARIANA MARIA DA CONCEICAO LACORTE CANIATO SERRANO;IGOR YAMAMOTO ABE;1;1
ARIELA VELOSO DE PAULA;FERNANDO LUCAS PRIMO;1;1
BARBARA PACI MAZZILLI;DEBORAH INES TEIXEIRA FAVARO;2;2
BARBARA PACI MAZZILLI;FLAVIO R ROCHA;1;1
BARBARA PACI MAZZILLI;FLAVIO ROBERTO ROCHA;1;1
BARBARA PACI MAZZILLI;JOSIANE SIRQUEIRA SOARES;2;2
BARBARA PACI MAZZILLI;LETICIA GOMES SANTANA LAVIERI;2;2
BARBARA PACI MAZZILLI;MATHEUS ANGELINI;2;2
BLUMA GUENTHER SOARES;ADRIANA DOS ANJOS SILVA;1;1
BLUMA GUENTHER SOARES;DEBORAH NETTO DE BARROS;1;1
BLUMA GUENTHER SOARES;GUILHERME MARIZ DE OLIVEIRA BARRA;1;1
BLUMA GUENTHER SOARES;SEBASTIEN LIVI;1;1
BLUMA GUENTHER SOARES;TAMARA INDRUSIAK SILVA;1;1
BRUNA CRISTINE SCARDUELLI PACHECO;ANDRE CAPALDO AMARAL;1;1
BRUNA CRISTINE SCARDUELLI PACHECO;CLAUDIO LUIS PIRATELLI;1;1
BRUNA CRISTINE SCARDUELLI PACHECO;MISCHEL CARMEN NEYRA BELDERRAIN;1;1
BRUNA CRISTINE SCARDUELLI PACHECO;RAFAEL VERAO FRANCOZO;1;1
BRUNA PRATTO;ANTONIO JOSE GONCALVES DA CRUZ;1;1
BRUNA PRATTO;CARLOS ALBERTO GALEANO SUAREZ;1;1
BRUNA PRATTO;GUSTAVO BATISTA;1;1
BRUNA PRATTO;INTI DORACI CAVALCANTI MONTANO;1;1
BRUNA PRATTO;MARTHA SUZANA RODRIGUES DOS SANTOS ROCHA;1;1
BRUNA PRATTO;RUY DE SOUSA JUNIOR;1;1
CALI LAGUNA ACHON;AMANDA DUARTE ESCOBAL MAZZU;1;1
CALI LAGUNA ACHON;BRUNA CAROLINE MAROLA;1;1
CALI LAGUNA ACHON;GUSTAVO SMIDT OLIVEIRA;1;1
CAMILA SOARES FONSECA;GUSTAVO HENRIQUE DENZIN TONOLI;1;1
CAMILA SOARES FONSECA;LUIZ EDUARDO SILVA;1;1
CAMILA SOARES FONSECA;MARIA ALICE MARTINS;1;1
CAMILA SOARES FONSECA;MARIO GUIMARAES JUNIOR;1;1
CAMILA SOARES FONSECA;MARIO VANOLI SCATOLINO;1;1
CAMILLE FERREIRA MANNARINO;MARIZE PEREIRA MIAGOSTOVICH;1;1
CAMILLE FERREIRA MANNARINO;TATIANA PRADO;1;1
CAMILLE FERREIRA MANNARINO;TULIO MACHADO FUMIAN;1;1
CARIN VON MUHLEN;LUCIANA NASCIMENTO ROCHA MANGELLI;2;2
CARIN VON MUHLEN;PHILIP JOHN MARRIOTT;2;2
CARINA ULSEN;HENRIQUE KAHN;1;1
CARINA ULSEN;MARCO TIMICH;1;1
CARINA ULSEN;RAFAEL DOS SANTOS GIORIA;1;1
CARINA ULSEN;RENATO CONTESSOTTO;2;2
CARLA ROBERTA TIM;ANA CLAUDIA MUNIZ RENNO;2;2
CARLA ROBERTA TIM;ANA LAURA MARTINS DE ANDRADE;2;2
CARLA ROBERTA TIM;CINTIA CRISTINA SANTI MARTIGNAGO;2;2
CARLA ROBERTA TIM;KARINA NOGUEIRA ZAMBONE PINTO ROSSI;2;2
CARLA ROBERTA TIM;LIA MARA GROSSO NEVES;2;2
CARLA ROBERTA TIM;LIVIA ASSIS GARCIA;2;2
CARLA ROBERTA TIM;NALDIANA CERQUEIRA SILVA;2;2
CARLA ROBERTA TIM;NIVALDO ANTONIO PARIZOTTO;2;2
CARMEN CECILIA TADINI;JORGE ANDREY WILHELMS GUT;1;1
CAROLINA PALMA NAVEIRA COTTA;ANDRE LEIBSOHN MARTINS;1;1
CAROLINA PALMA NAVEIRA COTTA;FERNANDO PEREIRA DUDA;1;1
CAROLINA PALMA NAVEIRA COTTA;GABRIEL CAETANO GR SILVA;1;1
CAROLINA PALMA NAVEIRA COTTA;PAULO L K PAES;1;1
CAROLINA PALMA NAVEIRA COTTA;PHILIPPE ROLLEMBERG D EGMONT;2;2
CAROLINA PALMA NAVEIRA COTTA;RODRIGO P M MOREIRA;1;1
CAROLINA PALMA NAVEIRA COTTA;SU JIAN;3;3
CAROLINA PALMA NAVEIRA COTTA;TIAGO ALBERTINI BALBINO;1;1
CECILIA CHAVES GUEDES E SILVA;ANTONIO AUGUSTO COUTO;1;1
CECILIA CHAVES GUEDES E SILVA;DOLORES RIBEIRO RICCI LAZAR;1;1
