Source;Target;Weight;Label
ABILIO LEMOS CARDOSO JUNIOR;ALLAN DE OLIVEIRA MOURA;1;1
ABILIO LEMOS CARDOSO JUNIOR;ANDERSON TIAGO DA SILVA;1;1
ABILIO LEMOS CARDOSO JUNIOR;BHAVINKUMAR KISHOR SINH MORIYA;1;1
ABNER DE SIERVO;A R VAZ;1;1
ABNER DE SIERVO;ALEJANDRO PÉREZ PAZ;1;1
ABNER DE SIERVO;ALEX SANDRE KILIAN;2;2
ABNER DE SIERVO;ALEXANDRE PANCOTTI;2;2
ABNER DE SIERVO;ARLAN S GONÇALVES;1;1
ABNER DE SIERVO;D AMARANATHA REDDY;1;1
ABNER DE SIERVO;DANIEL FERNANDES CIPRIANO;1;1
ABNER DE SIERVO;DAVID L O RAMOS;1;1
ABNER DE SIERVO;DEVULAPALLI AMARANATHA REDDY;1;1
ABNER DE SIERVO;DIEGO PESSOA ROCHA;1;1
ABNER DE SIERVO;DUNCAN JOHN MOWBRAY;1;1
ABNER DE SIERVO;EDUARDO MATHIAS RICHTER;1;1
ABNER DE SIERVO;EDUARDO RIBEIRO DE AZEVEDO;1;1
ABNER DE SIERVO;EMILIE GAUDRY;1;1
ABNER DE SIERVO;G L FERNANDES;1;1
ABNER DE SIERVO;GABRIEL MAX DIAS FERREIRA;1;1
ABNER DE SIERVO;GILMAR PATROCINIO THIM;2;2
ABNER DE SIERVO;GUILHERME JEAN PEREIRA DE ABREU;2;2
ABNER DE SIERVO;GUSTAVO R GONÇALVES;1;1
ABNER DE SIERVO;HELTON P NOGUEIRA;1;1
ABNER DE SIERVO;I V AOKI;1;1
ABNER DE SIERVO;IAGO AEDON SILVA PRIOR;1;1
ABNER DE SIERVO;J P L NASCIMENTO;1;1
ABNER DE SIERVO;JAIR C C FREITAS;1;1
ABNER DE SIERVO;JASON GUY TAYLOR;1;1
ABNER DE SIERVO;JC LOURENÇO;1;1
ABNER DE SIERVO;JEFERSON APARECIDO MORETO;1;1
ABNER DE SIERVO;JUAN CARLOS MONTERO GARCIA;1;1
ABNER DE SIERVO;JULIAN LEDIEU;1;1
ABNER DE SIERVO;LEANDRO VINICIUS ALVES GURGEL;1;1
ABNER DE SIERVO;LHONIDAS DE SENNA JUNIOR;1;1
ABNER DE SIERVO;LIANA ALVARES RODRIGUES;4;4
ABNER DE SIERVO;LILIANE CATONE SOARES;1;1
ABNER DE SIERVO;LUCAS V FARIA;1;1
ABNER DE SIERVO;LUCIO ANGNES;1;1
ABNER DE SIERVO;LUIS CARLOS TREVELIN;1;1
ABNER DE SIERVO;LUIS HENRIQUE DE LIMA;1;1
ABNER DE SIERVO;LUIS HENRIQUE MENDES DA SILVA;1;1
ABNER DE SIERVO;LUISA CARDOSO MAIA;1;1
ABNER DE SIERVO;M O A FERREIRA;1;1
ABNER DE SIERVO;MAIRA ELIZABETH VICENTE GOUVÊA;1;1
ABNER DE SIERVO;MARCOS ROBERTO DE VASCONCELOS LANZA;4;4
ABNER DE SIERVO;MARIANA A VIEIRA;1;1
ABNER DE SIERVO;MARIE CÉCILE DE WEERD;1;1
ABNER DE SIERVO;MAYRON S CASTRO;1;1
ABNER DE SIERVO;MEGG MADONYK COTA ELIAS CARVALHO;1;1
ABNER DE SIERVO;NATALIA BUENO LEITE SLADE;1;1
ABNER DE SIERVO;NICOLAS PERCIANI DE MORAES;4;4
ABNER DE SIERVO;OSCAR FERNANDO HERRERA ADARME;1;1
ABNER DE SIERVO;PEDRO SCHIO DE NORONHA MUNIZ;1;1
ABNER DE SIERVO;RAFAELA DIAS MOREIRA DOS SANTOS;1;1
ABNER DE SIERVO;RENEE D DIEHL;1;1
ABNER DE SIERVO;RICARDO BERTHOLO VALIM;1;1
ABNER DE SIERVO;RICARDO VENTURA SANTOS;1;1
ABNER DE SIERVO;RICHARD LANDERS;2;2
ABNER DE SIERVO;ROBSON DA SILVA ROCHA;3;3
ABNER DE SIERVO;RODRIGO ALEJANDRO ABARZA MUNOZ;2;2
ABNER DE SIERVO;RODRIGO C C FERREIRA;1;1
ABNER DE SIERVO;ROGERIO VALENTIM GELAMO;1;1
ABNER DE SIERVO;TAINARA L G COSTA;1;1
ABNER DE SIERVO;TAYNARA OLIVEIRA SILVA;1;1
ABNER DE SIERVO;THIAGO REGIS LONGO CESAR DA PAIXAO;1;1
ABNER DE SIERVO;THOMAS PICHLER;1;1
ABNER DE SIERVO;TIAGO A MATIAS;1;1
ABNER DE SIERVO;TIAGO MOREIRA BASTOS CAMPOS;2;2
ABNER DE SIERVO;TYSON BACK;1;1
ABNER DE SIERVO;VALERIA MILOTTI;1;1
ABNER DE SIERVO;VANESSA N ATAIDE;1;1
ABNER DE SIERVO;VINCENT FOURNÉE;1;1
ABNER DE SIERVO;WANDERLÃ L SCOPEL;1;1
ABNER DE SIERVO;WENDELL SIMOES E SILVA;2;2
ABNER DE SIERVO;WILLIAM BARROS VELOSO;1;1
ABNER DE SIERVO;YU LIANQING;2;2
ABRAHAM HIRSZ ZIMERMAN;GABRIEL VIEIRA LOBO;2;2
ABRAHAM HIRSZ ZIMERMAN;HENRIK ARATYN;1;1
ABRAHAM HIRSZ ZIMERMAN;JOGEAN MATHEUS CARVALHO FERREIRA;2;2
ABRAHAM HIRSZ ZIMERMAN;JOSE FRANCISCO GOMES;3;3
ABRAHAM HIRSZ ZIMERMAN;VICTOR CESAR COSTA ALVES;1;1
ABRAMO HEFEZ;EDISON M N GUZMÁN;1;1
ADALBERTO PANOBIANCO BERGAMASCO;MARCELO MOREIRA CAVALCANTI;1;1
ADALBERTO PANOBIANCO BERGAMASCO;RAFAEL BORRO GONZALEZ;1;1
ADENILSON JOSE CHIQUITO;ARIANO DE GIOVANNI RODRIGUES;1;1
ADENILSON JOSE CHIQUITO;ELSON LONGO DA SILVA;1;1
ADENILSON JOSE CHIQUITO;MARCIO DALDIN TEODORO;1;1
ADILSON DAVID DA SILVA;ELAINE MARIA DE SOUZA FAGUNDES;1;1
ADILSON DAVID DA SILVA;NICOLAS GLANZMANN;1;1
ADOLFO HENRIQUE DE MORAES SILVA;ANA PAULA CANEDO VALENTE;1;1
ADOLFO HENRIQUE DE MORAES SILVA;FLAVIO GUIMARAES DA FONSECA;1;1
ADOLFO HENRIQUE DE MORAES SILVA;MARCELO ANDRADE CHAGAS;1;1
ADOLFO HENRIQUE DE MORAES SILVA;PHILIPE DE OLIVEIRA FERNANDES;1;1
