Source;Target;Weight;Label
ADAIR ROBERTO AGUIAR;ALAN BOURSCHEIDT SEITENFUSS;1;1
ADAIR ROBERTO AGUIAR;GABRIEL LOPES DA ROCHA;1;1
ADAIR ROBERTO AGUIAR;IGOR SEVOSTIANOV;1;1
ADAIR ROBERTO AGUIAR;JULIAN BRAVO CASTILLERO;1;1
ADAIR ROBERTO AGUIAR;LUCAS ALMEIDA ROCHA;3;3
ADAIR ROBERTO AGUIAR;TULIO VINICIUS BERBERT PATRIOTA;1;1
ADEMAR BENEVOLO LUGAO;JOAO ALBERTO OSSO JUNIOR;1;1
ADERVAL SEVERINO LUNA;ALEXANDRE RODRIGUES TORRES;1;1
ADERVAL SEVERINO LUNA;CAMILLA LIMA CUNHA;1;1
ADERVAL SEVERINO LUNA;IGOR CAMPOS DE ALMEIDA LIMA;1;1
ADERVAL SEVERINO LUNA;LUIS GUSTAVO NONATO;1;1
ADILSON JOSE DA SILVA;HELOISA SOBREIRO SELISTRE DE ARAUJO;1;1
ADILSON JOSE DA SILVA;JOSIVAN DE SOUSA CUNHA;1;1
ADILSON JOSE DA SILVA;KELLI CRISTINA MICOCCI;1;1
ADIMIR DOS SANTOS;DIOGO FELICIANO DOS SANTOS;1;1
ADIMIR DOS SANTOS;RICARDO DINIZ;1;1
ADRIANO ALVES PEREIRA;ADRIANO DE OLIVEIRA ANDRADE;2;2
ADRIANO ALVES PEREIRA;ANGELICA DE ANDRADE PALIS;1;1
ADRIANO ALVES PEREIRA;ARIANA MOURA CABRAL;1;1
ADRIANO ALVES PEREIRA;CASSIANA GABRIELA LIMA BARRETO;2;2
ADRIANO ALVES PEREIRA;DANIEL BALDOINO DE SOUZA;2;2
ADRIANO ALVES PEREIRA;FERNANDA DE PAULA SILVA;2;2
ADRIANO ALVES PEREIRA;FERNANDO PASQUINI SANTOS;1;1
ADRIANO ALVES PEREIRA;GABRIELLA LELIS SILVA;2;2
ADRIANO ALVES PEREIRA;JOSE FLAVIO VIANA GUIMARAES;1;1
ADRIANO ALVES PEREIRA;LAUREANE ALMEIDA SANTIAGO DE ARAUJO;1;1
ADRIANO ALVES PEREIRA;LIGIA REIS NOBREGA;2;2
ADRIANO ALVES PEREIRA;LUANNE CARDOSO MENDES;1;1
ADRIANO ALVES PEREIRA;MARIANA RIBEIRO BRANDAO;1;1
ADRIANO ALVES PEREIRA;SELMA TEREZINHA MILAGRE;2;2
ADRIANO ALVES PEREIRA;VERONICA DE LIMA GONCALVES;2;2
ADRIANO ALVES PEREIRA;VICTOR HUGO DE FREITAS MORALES;1;1
ADRIANO ALVES PEREIRA;VIVIANE DA CONCEICAO LIMA;1;1
ADRIANO BRESSANE;ABAYOMI OLUWATOBILOBA BANKOLE;1;1
ADRIANO BRESSANE;ADMILSON IRIO RIBEIRO;1;1
ADRIANO BRESSANE;ADRIANO GONCALVES DOS REIS;1;1
ADRIANO BRESSANE;ALEXANDRE SIMINSKI;2;2
ADRIANO BRESSANE;AMANDA LOUISI DOS SANTOS GALVAO;2;2
ADRIANO BRESSANE;ANNA ISABEL SILVA LOUREIRO;3;3
ADRIANO BRESSANE;CARRIE PERES MELO;1;1
ADRIANO BRESSANE;DANIEL ZWIRN;1;1
ADRIANO BRESSANE;GRAZIELE CORALINE SCOFANO DA ROSA;3;3
ADRIANO BRESSANE;GUSTAVO HENRIQUE RIBEIRO DA SILVA;1;1
ADRIANO BRESSANE;IRINEU DE BRITO JUNIOR;2;2
ADRIANO BRESSANE;ISADORA GURJON GOMES;2;2
ADRIANO BRESSANE;JORGE KENNETY SILVA FORMIGA;2;2
ADRIANO BRESSANE;LILIAM CESAR DE CASTRO MEDEIROS;4;4
ADRIANO BRESSANE;LUANA ALBERTANI PAMPUCH;1;1
ADRIANO BRESSANE;MARIANNE SPALDING;2;2
ADRIANO BRESSANE;MIRELA BEATRIZ SILVA;4;4
ADRIANO BRESSANE;RAISSA CAROLINE GOMES;1;1
ADRIANO BRESSANE;REGINA MARCIA LONGO;1;1
ADRIANO BRESSANE;RICARDO FERNANDES THOME;1;1
ADRIANO BRESSANE;RODRIGO BRAGA MORUZZI;2;2
ADRIANO BRESSANE;ROGERIO GALANTE NEGRI;7;7
ADRIANO BRESSANE;VIVIAN SILVEIRA DOS SANTOS BARDINI;1;1
ADRIANO DE OLIVEIRA ANDRADE;ADRIANO ALVES PEREIRA;2;2
ADRIANO DE OLIVEIRA ANDRADE;CASSIANA GABRIELA LIMA BARRETO;1;1
ADRIANO DE OLIVEIRA ANDRADE;DANIEL BALDOINO DE SOUZA;1;1
ADRIANO DE OLIVEIRA ANDRADE;FERNANDA DE PAULA SILVA;1;1
ADRIANO DE OLIVEIRA ANDRADE;GABRIELLA LELIS SILVA;1;1
ADRIANO DE OLIVEIRA ANDRADE;GERALDO ANDRADE DE OLIVEIRA;1;1
ADRIANO DE OLIVEIRA ANDRADE;LEANDRO RODRIGUES DA SILVA SOUZA;1;1
ADRIANO DE OLIVEIRA ANDRADE;LEONARDO GARCIA MARQUES;1;1
ADRIANO DE OLIVEIRA ANDRADE;LIGIA REIS NOBREGA;1;1
ADRIANO DE OLIVEIRA ANDRADE;LUIZA MAIRE DAVID LUIZ;1;1
ADRIANO DE OLIVEIRA ANDRADE;OSVALDO RESENDE;1;1
ADRIANO DE OLIVEIRA ANDRADE;SELMA TEREZINHA MILAGRE;1;1
ADRIANO DE OLIVEIRA ANDRADE;VERONICA DE LIMA GONCALVES;1;1
ADRIANO LUIZ TONETTI;ARIANE BIZE;1;1
ADRIANO LUIZ TONETTI;BIANCA GRAZIELLA LENTO ARAUJO GOMES;1;1
ADRIANO LUIZ TONETTI;CAROLINE KIMIE MIYAZAKI;1;1
ADRIANO LUIZ TONETTI;CÉDRIC MIDOUX;1;1
ADRIANO LUIZ TONETTI;DANIELLA GONCALVES PORTELA;1;1
ADRIANO LUIZ TONETTI;FRANCISCO JOSE PENA Y LILLO MADRID;1;1
ADRIANO LUIZ TONETTI;G B VALE;1;1
ADRIANO LUIZ TONETTI;HELIO GRASSI FILHO;1;1
ADRIANO LUIZ TONETTI;HUMBERTO CARLOS RUGGERI JUNIOR;1;1
ADRIANO LUIZ TONETTI;ISABEL CAMPOS SALLES FIGUEIREDO;4;4
ADRIANO LUIZ TONETTI;JERUSA SCHNEIDER;1;1
ADRIANO LUIZ TONETTI;JOÃO BATISTA FERRAZ GARCIA;1;1
ADRIANO LUIZ TONETTI;JOAO PAULO BORGES PEDRO;1;1
ADRIANO LUIZ TONETTI;JOÃO PAULO BORGES PEDRO;1;1
ADRIANO LUIZ TONETTI;LAYS PAULINO LEONEL;2;2
ADRIANO LUIZ TONETTI;LEANDRO CARDOSO DE MORAIS;1;1
ADRIANO LUIZ TONETTI;LUANA MATTOS DE OLIVEIRA CRUZ;1;1
ADRIANO LUIZ TONETTI;MAHENDRA MARIADASSOU;1;1
ADRIANO LUIZ TONETTI;MARIA CECILIA ROSINSKI LIMA GOMES;1;1
ADRIANO LUIZ TONETTI;MARIA EDUARDA PEREIRA DE ALMEIDA;2;2
ADRIANO LUIZ TONETTI;NATALIA CANGUSSU DUARTE;1;1
ADRIANO LUIZ TONETTI;PAULO SERGIO SCALIZE;1;1
ADRIANO LUIZ TONETTI;RAFAEL DOS SANTOS LIMA;1;1
ADRIANO LUIZ TONETTI;TAINA MARTINS MAGALHAES;2;2
ADRIANO LUIZ TONETTI;VALÉRIA SANTOS CAVALCANTE;1;1
ADRIANO PINTO MARIANO;RUBENS MACIEL FILHO;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;DAIANE CECCHIN;2;2
AFONSO RANGEL GARCEZ DE AZEVEDO;DIRLANE DE FATIMA DO CARMO;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;FABIO DA COSTA GARCIA FILHO;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;GUSTAVO DE CASTRO XAVIER;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;HIGOR AZEVEDO ROCHA;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;JONAS ALEXANDRE;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;JORGE MANUEL CALIÇO LOPES DE BRITO;2;2
AFONSO RANGEL GARCEZ DE AZEVEDO;MARKSSUEL TEIXEIRA MARVILA;2;2
AFONSO RANGEL GARCEZ DE AZEVEDO;NOAN TONINI SIMONASSI;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;SERGIO NEVES MONTEIRO;1;1
AFONSO RANGEL GARCEZ DE AZEVEDO;THUANY ESPIRITO SANTO DE LIMA;1;1
ALAN CONCI KUBRUSLY;IURY SABOIA MARTINS;1;1
ALAN CONCI KUBRUSLY;LEI KANG;6;6
ALAN CONCI KUBRUSLY;LUCAS MONTEIRO MARTINHO;1;1
ALAN CONCI KUBRUSLY;STEVE DIXON;7;7
ALAN KARDEK REGO SEGUNDO;ERICA SILVA PINTO;1;1
ALAN KARDEK REGO SEGUNDO;GABRIEL ALMEIDA SANTOS;1;1
ALAN KARDEK REGO SEGUNDO;PAULO MARCOS DE BARROS MONTEIRO;1;1
