Source;Target;Weight;Label
ADRIANA CASTRO PINHEIRO;ANGELA MARIA CASARIL;1;1
ADRIANA CASTRO PINHEIRO;BRUNA T SCHAEFER;1;1
ADRIANA CASTRO PINHEIRO;DANIELA HARTWIG DE OLIVEIRA;1;1
ADRIANA CASTRO PINHEIRO;FRANCIELE FACCIO BUSATTO;1;1
ADRIANA CASTRO PINHEIRO;IANKA JACONDINO NUNES;1;1
ADRIANA CASTRO PINHEIRO;JENIFER SAFFI;1;1
ADRIANA CASTRO PINHEIRO;KETHLIN DE Q FERREIRA;1;1
ADRIANA CASTRO PINHEIRO;LUCIELLI SAVEGNAGO;1;1
ADRIANA CASTRO PINHEIRO;PAULA PELLENZ TOMASINI;1;1
ADRIANA CASTRO PINHEIRO;RAQUEL GUIMARAES JACOB;1;1
ADRIANA CASTRO PINHEIRO;ROBERTA CARGNELUTTI;1;1
ADRIANA CASTRO PINHEIRO;TAMARA DOS SANTOS MACHADO;1;1
ADRIANA CASTRO PINHEIRO;THALITA FERNANDA BORGES DE AQUINO;1;1
ADRIANA NEUMANN DE OLIVEIRA;ANA PATRICIA CARVALHO GONCALVES;1;1
ADRIANA NEUMANN DE OLIVEIRA;RENATO RICARDO DE PAULA;1;1
AGUEDA MARIA TURATTI;JORGE LUIZ PIMENTEL JUNIOR;1;1
AILIN RUIZ DE ZARATE FABREGAS;DANIEL GREGORIO ALFARO VIGO;1;1
AILIN RUIZ DE ZARATE FABREGAS;NELSON LUIS DA COSTA DIAS;1;1
ALEJANDRA DANIELA ROMERO;A G ISTRATE;1;1
ALEJANDRA DANIELA ROMERO;G R LAUFFER;1;1
ALEJANDRA DANIELA ROMERO;KEPLER DE SOUZA OLIVEIRA FILHO;4;4
ALEJANDRA DANIELA ROMERO;S G PARSONS;1;1
ALESSANDRA DE SOUZA BARBOSA;MARCIO HENRIQUE FRANCO BETTEGA;1;1
ALESSANDRA DE SOUZA BARBOSA;MICHAEL J BRUNGER;1;1
ALESSANDRA DE SOUZA BARBOSA;MONICA MENDES;1;1
ALESSANDRA DE SOUZA BARBOSA;NYKOLA JONES;1;1
ALESSANDRA DE SOUZA BARBOSA;PAULO MANOEL ASSIS LOUREIRO LIMÃO VIEIRA;1;1
ALESSANDRA DE SOUZA BARBOSA;SOREN VRONNING HOFFMANN;1;1
ANA LUCIA BERTARELLO ZENI;OTTO RODOLFO SASSE;1;1
ANA LUCIA CETERTICH BAZZAN;MONIREH ABDOOS;1;1
ANA LUCIA CETERTICH BAZZAN;VICENTE NEJAR DE ALMEIDA;1;1
ANDREA PAESANO JUNIOR;DEISE SCHAFER;2;2
ANDREA PAESANO JUNIOR;FLAVIO FRANCISCO IVASHITA;2;2
ANDREA PAESANO JUNIOR;JULIANA FORTUNATO;1;1
ANDREA PAESANO JUNIOR;RAFAEL FRANCO FERREIRA;2;2
ANDREA PAESANO JUNIOR;REGINALDO BARCO;1;1
ANDREA PAESANO JUNIOR;TAYLA JAQUELINE BARRAGAN ALVES;2;2
ANDREIA GERNISKI MACEDO;CESAR AUGUSTO DARTORA;1;1
ANDRESSA NOVATSKI;PAULO VITOR FARAGO;2;2
ANITA MARIA DA ROCHA FERNANDES;ANDRE FILIPE SPINDOLA;1;1
ANITA MARIA DA ROCHA FERNANDES;CHRISTIANE HEEMANN;1;1
ANITA MARIA DA ROCHA FERNANDES;MARCELLO THIRY COMICHOLI DA COSTA;1;1
ANNA LUIZA METIDIERI CRUZ MALTHEZ;ELISABETH MATEUS YOSHIMURA;1;1
CARLA DE ANDRADE HARTWIG;HENRIQUE RODRIGUES DOS SANTOS;1;1
CELENE BURIOL;DC SOARES;1;1
CELENE BURIOL;EHG TAVARES;1;1
CELENE BURIOL;LG DELATORRE;1;1
CELENE BURIOL;VH GONZALEZ MARTINEZ;1;1
CLAUDIA ROBBI SLUTER;ANDREA FLÁVIA TENORIO CARNEIRO;1;1
CLAUDIA ROBBI SLUTER;ANDREA LOPES IESCHECK;1;1
CLAUDIA ROBBI SLUTER;DANIELE REGINA PONTES;1;1
CLAUDIA ROBBI SLUTER;JOSE ANTONIO PERES GEDIEL;1;1
DAMARIS KIRSCH PINHEIRO;GABRIELA CACILDA GODINHO DOS REIS;1;1
DAMARIS KIRSCH PINHEIRO;HASSAN BENCHERIF;1;1
DAMARIS KIRSCH PINHEIRO;LUCAS VAZ PERES;1;1
DAMARIS KIRSCH PINHEIRO;MARCO ANTONIO GODINHO DOS REIS;1;1
DAMARIS KIRSCH PINHEIRO;RODRIGO DA SILVA;1;1
DAMARIS KIRSCH PINHEIRO;THIERRY PORTAFAIX;1;1
DANIELA HARTWIG DE OLIVEIRA;ANGELA MARIA CASARIL;1;1
DANIELA HARTWIG DE OLIVEIRA;CESAR AUGUSTO BRUNING;1;1
DANIELA HARTWIG DE OLIVEIRA;FABIANA KOMMLING SEIXAS;1;1
DANIELA HARTWIG DE OLIVEIRA;FERNANDA SEVERO SABEDRA SOUSA;1;1
DANIELA HARTWIG DE OLIVEIRA;GABRIELA GONCALVES ACOSTA;1;1
DANIELA HARTWIG DE OLIVEIRA;GIULIANA PETIZ ZUGNO;1;1
DANIELA HARTWIG DE OLIVEIRA;LUCIELLI SAVEGNAGO;1;1
DANIELA HARTWIG DE OLIVEIRA;PALOMA TABORDA BIRMANN;1;1
DANIELA HARTWIG DE OLIVEIRA;RAQUEL GUIMARAES JACOB;1;1
DANIELA HARTWIG DE OLIVEIRA;TIAGO VEIRAS COLLARES;1;1
DYANA CRISTINE DUARTE;KIE SANG JEONG;1;1
DYANA CRISTINE DUARTE;LARRY D MCLERRAN;1;1
DYANA CRISTINE DUARTE;SAUL HERNANDEZ ORTIZ;1;1
ELAINE REGINA LOPES TIBURTIUS;CHRISTIANA ANDRADE PESSOA;1;1
GLAUCIA PANTANO;ANTONIO APARECIDO MOZETO;1;1
GLAUCIA PANTANO;DANIA ELISA CHRISTOFOLETTI MAZZEO MORALES;1;1
GLAUCIA PANTANO;MARIA APARECIDA MARIN MORALES;1;1
GLAUCIA PANTANO;PEDRO SERGIO FADINI;1;1
GLAUCIA PANTANO;THAIS HELENA ROCHA BOMBONATO;1;1
GRACALIZ PEREIRA DIMURO;NICANOR HUMBERTO BUSTINCE SOLA;1;1
GRACALIZ PEREIRA DIMURO;TOMASA CALVO;1;1
IVONETE OLIVEIRA BARCELLOS;DIETER WALTER HEIN;1;1
IVONETE OLIVEIRA BARCELLOS;EDUARDO GUILHERME CIVIDINI NEIVA;1;1
