Source;Target;Weight;Label
ALESSANDRA MACHADO BARON;ALESANDRO BAIL;1;1
ALESSANDRA MACHADO BARON;JOCACIA MURIELI DE OLIVEIRA MIRANDA KISTER;1;1
ALESSANDRA MACHADO BARON;LUIS GUILHERME GIANNINA SANTE;1;1
ALESSANDRA MACHADO BARON;RICARDO DE SOUSA RODRIGUES;1;1
ALESSANDRA MACHADO BARON;VALERIA MARTA GOMES DO NASCIMENTO;1;1
ALICE MARLENE GRIMM;LUANA APARECIDA SCHEIBE;1;1
ANA JULIA DAL FORNO;ANTONIO AUGUSTO ULSON DE SOUZA;3;3
ANA JULIA DAL FORNO;FERNANDA STEFFENS;3;3
ANA JULIA DAL FORNO;WALAKIS VIEIRA BATAGLINI;3;3
ANA LUCIA BECKER ROHLFES;LILIANE MARQUARDT;1;1
ANA LUCIA BECKER ROHLFES;MONICA RUHOFF CARVALHO;1;1
ANA LUCIA BECKER ROHLFES;NADIA DE MONTE BACCAR;1;1
ANA LUIZA DE OLIVEIRA BORGES;ADRIANO ROESSLER VIANA;1;1
ANA LUIZA DE OLIVEIRA BORGES;CAROLINA HOLZ BOFFO;1;1
ANA LUIZA DE OLIVEIRA BORGES;DANIEL BAYER DA SILVA;1;1
ANA LUIZA DE OLIVEIRA BORGES;RAFAEL MANICA;1;1
ANA MARGARITA LARRANAGA URIARTE;BARBARA JANSSON ALMEIDA;1;1
ANA MARGARITA LARRANAGA URIARTE;JULIAN ARELLANA;2;2
ANA MARGARITA LARRANAGA URIARTE;LUIZ AFONSO DOS SANTOS SENNA;1;1
ANA MARGARITA LARRANAGA URIARTE;SHANNA TRICHES LUCCHESI;1;1
ANA PAULA KIRCHHEIM;JARDEL PEREIRA GONCALVES;1;1
ANALUCIA SCHIAFFINO MORALES;IWENS GERVASIO SENE JUNIOR;1;1
ANALUCIA SCHIAFFINO MORALES;SILVIO CESAR CAZELLA;2;2
ANDREA PARISI KERN;EDUARDO PIZONI;1;1
ANDREA PARISI KERN;EDUARDO REUTER SCHNECK;1;1
ANDREA PARISI KERN;FABIANA PIRES ROSA;1;1
ANDREA PARISI KERN;JOANA MICHELON MORESCO;1;1
ANDREA PARISI KERN;JOSIANE RESCHKE PIRES;1;1
ANDREA PARISI KERN;JULIA CANTARINO;1;1
ANDREA PARISI KERN;LUÍS MANUEL BRAGANÇA DE MIRANDA E LOPES;1;1
ANDREA PARISI KERN;MARCO AURELIO STUMPF GONZALEZ;2;2
ANDREA PARISI KERN;MIRELLA FURTADO DE MENDONÇA;1;1
ANDREA PARISI KERN;VINICIUS DE MORAES NETTO;1;1
ANDREZA KALBUSCH;ELISA HENNING;1;1
ANDREZA KALBUSCH;JESSICA DAIANE CUNHA SCHULTT;1;1
ANGELA DE MOURA FERREIRA DANILEVICZ;LUIZ CARLOS PINTO DA SILVA FILHO;1;1
BARBARA ESTEVAO CLASEN;CAMILA REBELLATTO MURUSSI;1;1
BARBARA ESTEVAO CLASEN;JORGE DOMÍNGUEZ MARTÍN;1;1
BARBARA ESTEVAO CLASEN;JOSSIELE WESZ LEITEMPERGER;1;1
BARBARA ESTEVAO CLASEN;NATIELO ALMEIDA SANTANA;1;1
BARBARA ESTEVAO CLASEN;RODRIGO JOSEMAR SEMINOTI JACQUES;1;1
BARBARA ESTEVAO CLASEN;SILVANA ISABEL SCHNEIDER;1;1
BARBARA ESTEVAO CLASEN;TADEU LUIS TIECHER;3;3
BARBARA ESTEVAO CLASEN;TALITA FERREIRA;1;1
BARBARA ESTEVAO CLASEN;TAMIRIS ROSSO STORCK;3;3
BARBARA ESTEVAO CLASEN;VALERIA ORTACA PORTELA;1;1
BARBARA ESTEVAO CLASEN;VANIA LUCIA LORO;1;1
BARBARA ESTEVAO CLASEN;ZAIDA INES ANTONIOLLI;1;1
BERENICE MARTINS TORALLES;LISIANE ILHA LIBRELOTTO;1;1
BERENICE MARTINS TORALLES;LIVIA FERNANDA SILVA;1;1
BERENICE MARTINS TORALLES;LUANA TORALLES CARBONARI;1;1
BERENICE MARTINS TORALLES;THALITA GORBAN FERREIRA GIGLIO;1;1
CAMILA DA SILVA;CAROLINE PORTILHO TRENTINI;1;1
CAMILA DA SILVA;DENISE APARECIDA ZEMPULSKI;1;1
CAMILA DA SILVA;EDSON ANTONIO DA SILVA;1;1
CAMILA DA SILVA;LUCIO CARDOZO FILHO;1;1
CAMILA DA SILVA;NAJLA POSTAUE;1;1
CAMILA DA SILVA;TALITA AMABILE DA SILVA COLONELLI;1;1
CARLA SCHWENGBER TEN CATEN;DIEGO AUGUSTO DE JESUS PACHECO;1;1
CARLA SCHWENGBER TEN CATEN;ISTEFANI CARISIO DE PAULA;1;1
CARLA SCHWENGBER TEN CATEN;LUCAS LOUZADA PEREIRA;1;1
CARMEN BRUM ROSA;ALVARO LUIZ NEUENFELDT JUNIOR;1;1
CARMEN BRUM ROSA;ANA PAULA MOCCELLIN;1;1
CARMEN BRUM ROSA;DANIEL PINHEIRO BERNARDON;1;1
CARMEN BRUM ROSA;GRACIELE REDISKE;1;1
CARMEN BRUM ROSA;JULIO CEZAR MAIRESSE SILUK;1;1
CARMEN BRUM ROSA;LAURA LISIANE CALLAI DOS SANTOS;1;1
CARMEN BRUM ROSA;LEANDRO MICHELS;1;1
CARMEN BRUM ROSA;MATHEUS BINOTTO FRANCESCATTO;1;1
CARMEN BRUM ROSA;PAULA DONADUZZI RIGO;1;1
CAROLINA KREBS DE SOUZA;BETINA LOUISE ANGIOLETTI DECKER;2;2
CAROLINA KREBS DE SOUZA;MERCEDES GABRIELA RATTO REITER;1;1
CAROLINA KREBS DE SOUZA;SAVIO LEANDRO BERTOLI;1;1
CAROLINA KREBS DE SOUZA;TUANY GABRIELA HOFFMANN;1;1
CAROLINE BORGES AGUSTINI;JOAO HENRIQUE ZIMNOCH DOS SANTOS;1;1
CAROLINE BORGES AGUSTINI;MARILIZ GUTTERRES SOARES;1;1
CAROLINE WAGNER;JENEFFER DE CASTRO BRANCO;1;1
CAROLINE WAGNER;THIAGO HENRIQUE LUGOKENSKI;1;1
CASSIA MARIA LIE UGAYA;ALEXANDRE MONTEIRO SOUZA;1;1
CASSIA MARIA LIE UGAYA;BRENO BARROS TELLES DO CARMO;1;1
CASSIA MARIA LIE UGAYA;JAYLTON BONACINA DE ARAUJO;1;1
CASSIA MARIA LIE UGAYA;VINICIUS GONCALVES MACIEL;1;1
CLAUDIA TANIA PICININ;BRUNO PEDROSO;2;2
CLAUDIA TANIA PICININ;GUILHERME MOREIRA CAETANO PINTO;2;2
CLAUDIA TANIA PICININ;JESSYCA MORAES;1;1
CLAUDIA TANIA PICININ;MAIK ARNOLD;1;1
