Source;Target;Weight;Label
ABRAAO JESSE CAPISTRANO DE SOUZA;CARLOS HENRIQUE COIMBRA ARAUJO;2;2
ABRAAO JESSE CAPISTRANO DE SOUZA;HEMERSON RIBEIRO DUARTE;1;1
ABRAAO JESSE CAPISTRANO DE SOUZA;MONICA CRISTINA KALB;1;1
ABRAAO JESSE CAPISTRANO DE SOUZA;PAOLA TEREZINHA ZANOLLA SEIDEL;1;1
ADEMIR ALVES RIBEIRO;ARIEL ROGELIO VELAZCO CARDENAS;1;1
ADEMIR ALVES RIBEIRO;EVELIN HERINGER MANOEL KRULIKOVSKI;1;1
ADEMIR ALVES RIBEIRO;JOSE ALBERTO RAMOS FLOR;1;1
ADEMIR ALVES RIBEIRO;JOSE RENATO RAMOS BARBOSA;1;1
ADEMIR ALVES RIBEIRO;LEONARDO DELARMELINA SECCHIN;1;1
ADEMIR ALVES RIBEIRO;MAEL SACHINE;3;3
ADEMIR ALVES RIBEIRO;ROBERTO ANDREANI;1;1
ALEXANDRE JOSE TUOTO SILVEIRA MELLO;ELDER OROSKI;1;1
ALEXANDRE KIRILOV;MICHAEL RUZHANSKY;2;2
ALEXANDRE KIRILOV;RICARDO PALEARI DA SILVA;1;1
ALEXANDRE KIRILOV;WAGNER AUGUSTO ALMEIDA DE MORAES;3;3
ALEXANDRE L ERARIO;ALESSANDRO SILVEIRA DUARTE;1;1
ALEXANDRE L ERARIO;THIAGO ARAHN DETONI;1;1
ALEXANDRE TAVARES BARAVIERA;DANIEL GONÇALVES;1;1
ALEXANDRE TAVARES BARAVIERA;DANILO ROYER;1;1
ALEXANDRE TAVARES BARAVIERA;FAGNER BERNARDINI RODRIGUES;1;1
ALEXANDRE TAVARES BARAVIERA;MARIA JOANA TORRES;1;1
ALEXANDRE TAVARES BARAVIERA;PEDRO DUARTE;1;1
ALEXANDRE TAVARES BARAVIERA;RUY EXEL FILHO;1;1
ALUIZIO HAENDCHEN FILHO;ANGELICA KARIZE VIECELLI;1;1
ALUIZIO HAENDCHEN FILHO;ANITA MARIA DA ROCHA FERNANDES;1;1
ALUIZIO HAENDCHEN FILHO;EDILSON FERNEDA;1;1
ALUIZIO HAENDCHEN FILHO;HERCULES ANTONIO DO PRADO;1;1
ALUIZIO HAENDCHEN FILHO;JEFERSON MIGUEL THALHEIMER;1;1
ALVARO LUIZ DE BORTOLI;MARCELO MARASCHIN DE SOUZA;1;1
ALVERI ALVES SANT ANA;DIRCEU BAGIO;1;1
ALVERI ALVES SANT ANA;THAISA RAUPP TAMUSIUNAS;1;1
ANDERSSON BARISON;ANDRE SIMPSON;1;1
ANDERSSON BARISON;FLAVIO VINICIUS CRIZOSTOMO KOCK;1;1
ANDERSSON BARISON;LUCIANO MORAIS LIAO;1;1
ANDERSSON BARISON;MARIA CAROLINA BEZERRA DI MEDEIROS LEAL;1;1
ANDERSSON BARISON;PARIS NING;1;1
ANDERSSON BARISON;RAJSHREE GHOSH BISWAS;1;1
ANDERSSON BARISON;RONALD SOONG;1;1
ANDRE FABIANO STEKLAIN LISBOA;FRANCISCO ITAMARATI SECOLO GANACIM;1;1
ANDRE FABIANO STEKLAIN LISBOA;MARCELO ANTONIASSI;2;2
ANDRE FABIANO STEKLAIN LISBOA;MARLOS DE OLIVEIRA RIBAS;3;3
ANTONIO AUGUSTO MEDEIROS FROHLICH;JOSE LUIS CONRADI HOFFMANN;1;1
ANTONIO AUGUSTO MEDEIROS FROHLICH;LEONARDO PASSIG HORSTMANN;1;1
ANTONIO CARLOS AMARO DE FARIA JUNIOR;ALVARO DE SOUZA DUTRA;1;1
ANTONIO CARLOS AMARO DE FARIA JUNIOR;JONATA EDUARDO DRESSENO ABILINO;1;1
ANTONIO CARLOS AMARO DE FARIA JUNIOR;ROGER EDUARDO LOURENCO;1;1
ANTONIO CARLOS BENTO;ANTONIO MEDINA NETO;1;1
ANTONIO CARLOS BENTO;FRANCIELLE SATO;1;1
ANTONIO CARLOS BENTO;GILSON JUNIOR SCHIAVON;1;1
ANTONIO CARLOS BENTO;HELION VARGAS;1;1
ANTONIO CARLOS BENTO;JHONATAN WILLIAN BERRAR;1;1
ANTONIO CARLOS BENTO;JUN SHEN;1;1
ANTONIO CARLOS BENTO;JUNIOR REIS SILVA;1;1
ANTONIO CARLOS BENTO;JURANDIR HILLMANN ROHLING;1;1
ANTONIO CARLOS BENTO;LUIS CARLOS MALACARNE;1;1
ANTONIO CARLOS BENTO;LUIS HUMBERTO DA CUNHA ANDRADE;1;1
ANTONIO CARLOS BENTO;LUIZ ANTONIO DE OLIVEIRA NUNES;1;1
ANTONIO CARLOS BENTO;LUIZ CARLOS MOURA MIRANDA;1;1
ANTONIO CARLOS BENTO;MARCOS PAULO BELANCON;1;1
ANTONIO CARLOS BENTO;MAURO LUCIANO BAESSO;1;1
ANTONIO CARLOS BENTO;NORBERTO CELLA;1;1
ANTONIO CARLOS BENTO;ROBSON FERRARI MUNIZ;1;1
ANTONIO CARLOS BENTO;SANDRO MARCIO LIMA;1;1
ANTONIO CARLOS BENTO;TOMAZ CATUNDA;1;1
ANTONIO CARLOS BENTO;VITOR SANTAELLA ZANUTO;1;1
ANTONIO CARLOS BENTO;WILSON RICARDO WEINAND;1;1
ARTUR HARRES DE OLIVEIRA;ALEXANDRE DA CAS VIEGAS;1;1
ARTUR HARRES DE OLIVEIRA;ANGELICA DAIANE SCHNEIDER;1;1
ARTUR HARRES DE OLIVEIRA;CRB RHODEN;1;1
ARTUR HARRES DE OLIVEIRA;FS BRUCKMANN;1;1
ARTUR HARRES DE OLIVEIRA;JHONATAN BRUNO SULZENCO;1;1
ARTUR HARRES DE OLIVEIRA;MARCIO ASSOLIN CORREA;1;1
ARTUR HARRES DE OLIVEIRA;MATHEUS GAMINO GOMES;1;1
ARTUR HARRES DE OLIVEIRA;RICARDO BARRETO DA SILVA;1;1
ARTUR HARRES DE OLIVEIRA;TASSIA ADRIANE MALLMANN;1;1
ARTUR HARRES DE OLIVEIRA;TR SALLES;1;1
ARTUR HARRES DE OLIVEIRA;WAGNER JESUS DA SILVA GARCIA;1;1
ARTUR OSCAR LOPES;ALI MESSAOUDI;1;1
ARTUR OSCAR LOPES;JAIRO KRAS MENGUE;1;1
ARTUR OSCAR LOPES;MANUEL STADLBAUER;1;1
ARTUR OSCAR LOPES;RAFAEL OSWALDO RUGGIERO RODRIGUEZ;1;1
ARTUR OSCAR LOPES;VICTOR ANDRES VARGAS CUBIDES;2;2
BERNARDO ALMEIDA IGLESIAS;ANDRE PASSAGLIA SCHUCH;1;1
BERNARDO ALMEIDA IGLESIAS;DAVI FERNANDO BACK;1;1
BERNARDO ALMEIDA IGLESIAS;JULIANA FELIPETTO CARGNELUTTI;1;1
BERNARDO ALMEIDA IGLESIAS;OTAVIO AUGUSTO CHAVES;2;2
BERNARDO ALMEIDA IGLESIAS;THIAGO AUGUSTO DE LIMA BURGO;1;1
BOGDAN TOMOYUKI NASSU;MARCO AURELIO WEHRMEISTER;1;1
BRENO FERRAZ DE OLIVEIRA;ATTILA SZOLNOKI;2;2
BRENO FERRAZ DE OLIVEIRA;DIONISIO BAZEIA FILHO;1;1
BRENO FERRAZ DE OLIVEIRA;MARCOS VINICIUS DE MORAES;1;1
BRUNO LOPES DALMAZO;ALBERTO EGON SCHAEFFER FILHO;1;1
BRUNO LOPES DALMAZO;ANDERSON SANTOS DA SILVA;1;1
BRUNO LOPES DALMAZO;EDUARDO ADILIO PELINSON ALCHIERI;1;1
BRUNO LOPES DALMAZO;JACIR LUIZ BORDIM;1;1
BRUNO LOPES DALMAZO;JONATAS ADILSON MARQUES;1;1
BRUNO LOPES DALMAZO;LUCAS RODRIGUES COSTA;1;1
BRUNO LOPES DALMAZO;LUCIANO PASCHOAL GASPARY;1;1
BRUNO LOPES DALMAZO;MICHEL SALES BONFIM;1;1
BRUNO LOPES DALMAZO;RANYELSON NERES CARVALHO;1;1
BRUNO LOPES DALMAZO;STENIO FLAVIO DE LACERDA FERNANDES;1;1
BRUNO LOPES DALMAZO;WEVERTON LUIS DA COSTA CORDEIRO;1;1
CARLOS ALBERTO EIRAS GARCIA;HEITOR EVANGELISTA DA SILVA;1;1
CARLOS ALBERTO EIRAS GARCIA;OSMAR OLINTO MOLLER JUNIOR;1;1
CARLOS EDUARDO FIORE DOS SANTOS;CARLOS ERNESTO FERNANDEZ NOA;1;1
CARLOS EDUARDO FIORE DOS SANTOS;GABRIEL TEIXEIRA LANDI;1;1
CARLOS EDUARDO FIORE DOS SANTOS;PEDRO EDUARDO HARUNARI;1;1
CARLOS FELIPE LARDIZABAL RODRIGUES;L VELÁZQUEZ;1;1
CARLOS FELIPE LARDIZABAL RODRIGUES;LUIZ FELIPE LICKS PEREIRA;1;1
CARLOS FELIPE LARDIZABAL RODRIGUES;NEWTON LOEBENS;1;1
CARLOS FELIPE LARDIZABAL RODRIGUES;THOMAS SOLER JACQ;1;1
CARLOS HOPPEN;ANDY OERTEL;1;1
CARLOS HOPPEN;ANTONIO JOSEFRAN DE OLIVEIRA BASTOS;1;1
CARLOS HOPPEN;DENILSON AMARAL NOLIBOS;1;1
CARLOS HOPPEN;DIONATAN RICARDO SCHMIDT;1;1
CARLOS HOPPEN;FABRICIO SIQUEIRA BENEVIDES;1;1
CARLOS HOPPEN;GIOVANE MANSAN;2;2
CARLOS HOPPEN;HANNO LEFMANN;6;6
CARLOS HOPPEN;HENRIQUE STAGNI;1;1
CARLOS HOPPEN;KNUT ODERMANN;3;3
CARLOS HOPPEN;LUCAS DE OLIVEIRA CONTIERO;2;2
CARLOS HOPPEN;LUCIANO GARIM GARCIA;1;1
CARLOS HOPPEN;RICHARD LANG;1;1
CARLOS HOPPEN;YOSHIHARU KOHAYAKAWA;1;1
CARLOS RAFAEL BORGES MENDES;AFONSO FERREIRA;1;1
CARLOS RAFAEL BORGES MENDES;ANDREA DE OLIVEIRA DA ROCHA FRANCO;1;1
CARLOS RAFAEL BORGES MENDES;BRUNO JESUS;1;1
CARLOS RAFAEL BORGES MENDES;CARLOS ALBERTO EIRAS GARCIA;1;1
CARLOS RAFAEL BORGES MENDES;CAROLINA ANTUARTE ISLABAO;1;1
CARLOS RAFAEL BORGES MENDES;EDUARDO RESENDE SECCHI;1;1
CARLOS RAFAEL BORGES MENDES;MAURICIO MAGALHAES MATA;1;1
CARLOS RAFAEL BORGES MENDES;MIGUEL ALBUQUERQUE DA COSTA LEAL;1;1
CARLOS RAFAEL BORGES MENDES;RAUL RODRIGO COSTA;1;1
CARLOS RAFAEL BORGES MENDES;RODRIGO KERR DUARTE PEREIRA;1;1
CARLOS RAFAEL BORGES MENDES;TIAGO SEGABINAZZI DOTTO;1;1
CARLOS RAFAEL BORGES MENDES;VIRGINIA MARIA TAVANO;1;1
CESAR MANCHEIN;BIANCA FUSINATO;1;1
CESAR MANCHEIN;HELENA FURTADO BERGER;1;1
CESAR MANCHEIN;HOLOKX ABREU ALBUQUERQUE;2;2
CESAR MANCHEIN;HUGNE SOARES CHAGAS;1;1
CESAR MANCHEIN;LUANA SANTANA;1;1
CESAR MANCHEIN;LUIS FERNANDO DE OSORIO MELLO;1;1
CESAR MANCHEIN;MARCUS WERNER BEIMS;2;2
CESAR MANCHEIN;RAFAEL MARQUES DA SILVA;2;2
CESAR MANCHEIN;TULIO MENEGHELLI DE OLIVEIRA;1;1
CESAR RICARDO TEIXEIRA TARLEY;AFFONSO CELSO GONCALVES JUNIOR;1;1
CESAR RICARDO TEIXEIRA TARLEY;CLESIA CRISTINA NASCENTES;1;1
CESAR RICARDO TEIXEIRA TARLEY;FABIO ANTONIO CAJAMARCA SUQUILA;1;1
CESAR RICARDO TEIXEIRA TARLEY;FELIPE AUGUSTO GORLA;1;1
CESAR RICARDO TEIXEIRA TARLEY;FERNANDA MIDORI DE OLIVEIRA;1;1
CESAR RICARDO TEIXEIRA TARLEY;JULIANA CASARIN;1;1
CESAR RICARDO TEIXEIRA TARLEY;MARCELLO FERREIRA DA COSTA;1;1
CESAR RICARDO TEIXEIRA TARLEY;MARIANA GAVA SEGATELLI;2;2
CESAR RICARDO TEIXEIRA TARLEY;MILENA DO PRADO FERREIRA;1;1
CEZAR AUGUSTO BIZZI;ERICO MARLON DE MORAES FLORES;1;1
CEZAR AUGUSTO BIZZI;PAOLA DE AZEVEDO MELLO;1;1
CLAUDIO WILSON MENDES JUNIOR;FERNANDO LUIS HILLEBRAND;2;2
CLAUDIO WILSON MENDES JUNIOR;JEFFERSON CARDIA SIMOES;2;2
CLAUDIO WILSON MENDES JUNIOR;JORGE ANTONIO VIEL;2;2
CLAUDIO WILSON MENDES JUNIOR;JULIANA COSTI;2;2
CLAUDIO WILSON MENDES JUNIOR;MARCOS WELLAUSEN DIAS DE FREITAS;2;2
DANIEL CAPELLA ZANOTTA;ADEMIR MARQUES JUNIOR;1;1
DANIEL CAPELLA ZANOTTA;CAROLINE LESSIO CAZARIN;1;1
DANIEL CAPELLA ZANOTTA;FABIANE BORDIN;1;1
DANIEL CAPELLA ZANOTTA;GRACIELA ELIANE DOS REIS RACOLTE;1;1
DANIEL CAPELLA ZANOTTA;JOAO GABRIEL MOTTA;1;1
DANIEL CAPELLA ZANOTTA;LUCAS SILVEIRA KUPSSINSKU;1;1
DANIEL CAPELLA ZANOTTA;LUIZ GONZAGA DA SILVEIRA JUNIOR;1;1
DANIEL CAPELLA ZANOTTA;MAURICIO ROBERTO VERONEZ;1;1
DANIEL CAPELLA ZANOTTA;TAINA THOMASSIM GUIMARAES;1;1
DANIEL CAPELLA ZANOTTA;VINICIUS FERREIRA SALES;1;1
DANIEL DA SILVEIRA RAMPON;ALLYA LARROZA MUHAMMAD EID;1;1
DANIEL DA SILVEIRA RAMPON;BREIDI ALBACH;1;1
DANIEL DA SILVEIRA RAMPON;DAVID BORBA LIMA;1;1
DANIEL DA SILVEIRA RAMPON;DIEGO DA SILVA ALVES;1;1
DANIEL DA SILVEIRA RAMPON;DIEGO EDUARDO LIMA SECKLER;2;2
DANIEL DA SILVEIRA RAMPON;DOUGLAS BERNARDO PAIXAO;1;1
DANIEL DA SILVEIRA RAMPON;EDUARDO QUADROS DA LUZ;2;2
DANIEL DA SILVEIRA RAMPON;EMERSON AUGUSTO ABREU;1;1
DANIEL DA SILVEIRA RAMPON;GABRIEL LUCIO SILVERIO;1;1
DANIEL DA SILVEIRA RAMPON;GUL BADSHAH;1;1
DANIEL DA SILVEIRA RAMPON;PAULO HENRIQUE SCHNEIDER;1;1
DANIEL DA SILVEIRA RAMPON;RONNY ROCHA RIBEIRO;1;1
DANIEL FERNANDO TELLO GAMARRA;MARCO ANTONIO DE SOUZA LEITE CUADROS;2;2
DANTE HOMERO MOSCA JUNIOR;CESAR AUGUSTO DARTORA;1;1
DANTE HOMERO MOSCA JUNIOR;JOSE VARALDA;1;1
DAVI FERNANDO BACK;BERNARDO ALMEIDA IGLESIAS;1;1
DAVI FERNANDO BACK;CRISTINA WAYNE NOGUEIRA;1;1
DAVI FERNANDO BACK;GILSON ROGERIO ZENI;1;1
DAVI FERNANDO BACK;MARCIO PERES DE ARAUJO;1;1
DIEGO ECKHARD;EMERSON CHRIST BOEIRA;1;1
DIEGO GUEDES SOBRINHO;CELSO RICARDO CALDEIRA REGO;1;1
DIEGO GUEDES SOBRINHO;DANILO NEVES SILVEIRA;1;1
DIEGO GUEDES SOBRINHO;GLAUCIO REGIS NAGURNIAK;1;1
DIEGO GUEDES SOBRINHO;JONATAS FAVOTTO DALMEDICO;1;1
DIEGO GUEDES SOBRINHO;LUIS OCTAVIO DE ARAUJO;1;1
DIEGO GUEDES SOBRINHO;MAURICIO JEOMAR PIOTROWSKI;2;2
DIEGO GUEDES SOBRINHO;RENATO LUIS TAME PARREIRA;1;1
DIEGO GUEDES SOBRINHO;RENATO PEREIRA ORENHA;1;1
DIEGO GUEDES SOBRINHO;W WENZEL;1;1
DIEGO GUEDES SOBRINHO;Y PRAMUDYA;1;1
DIOGO LA ROSA NOVO;FRANK FRANÇOIS VANHAECKE;1;1
DIOGO LA ROSA NOVO;JOKE BELZA;1;1
DIOGO LA ROSA NOVO;MARCIA FOSTER MESKO;1;1
DIOGO LA ROSA NOVO;THIBAUT VAN ACKER;1;1
DIOMAR CRISTINA MISTRO;FRANK HILKER;1;1
DIOMAR CRISTINA MISTRO;LUIZ ALBERTO DIAZ RODRIGUES;1;1
DIOMAR CRISTINA MISTRO;MARCELO CARGNELUTTI ROSSATO;1;1
DIOMAR CRISTINA MISTRO;PHILIP KUMAR MAINI;1;1
DOUGLAS JOSE COUTINHO;BRUNO BASSI MILLAN TORRES;1;1
DOUGLAS JOSE COUTINHO;GREGORIO COUTO FARIA;1;1
EDER CARLOS FERREIRA DE SOUZA;FRANCISCO CARLOS SERBENA;1;1
EDER CARLOS FERREIRA DE SOUZA;GELSON BISCAIA DE SOUZA;1;1
EDER CARLOS FERREIRA DE SOUZA;MARILENA VALADARES FOLGUERAS;1;1
EDER CARLOS FERREIRA DE SOUZA;OSVALDO MITSUYUKI CINTHO;1;1
EDER CARLOS FERREIRA DE SOUZA;RODRIGO BRACKMANN;1;1
EDER JOAO LENARDAO;ADRIANO CESAR DE MORAIS BARONI;1;1
EDER JOAO LENARDAO;CRISTIANE YURIKO KAWASOKO SHIGUEMOTO;1;1
EDER JOAO LENARDAO;JOAO MARCOS ANGHINONI;1;1
EDER JOAO LENARDAO;MARINA CARDOSO DILELIO;1;1
EDER JOAO LENARDAO;RICARDO FREDERICO SCHUMACHER;1;1
EDSON RIBEIRO ALVARES;DIANE CASTONGUAY;1;1
EDSON RIBEIRO ALVARES;PATRICK LE MEUR;1;1
EDSON RIBEIRO ALVARES;TANISE CARNIERI PIERIN;1;1
EDUARD WESTPHAL;ALANA CAROLINA WINDISCH;1;1
EDUARD WESTPHAL;DANIELA ZAMBELLI MEZALIRA;1;1
EDUARD WESTPHAL;HUGO ALEJANDRO GALLARDO OLMEDO;1;1
EDUARDO GUILHERME CIVIDINI NEIVA;ALDO JOSE GORGATTI ZARBIN;1;1
EDUARDO KUGLER VIEGAS;ALTAIR OLIVO SANTIN;2;2
EDUARDO KUGLER VIEGAS;PIETRO TEDESCHI;1;1
EDUARDO KUGLER VIEGAS;VILMAR ABREU JUNIOR;1;1
ELIAS ALFREDO GUDINO ROJAS;CASSIO MACHIAVELI OISHI;1;1
ELIAS ALFREDO GUDINO ROJAS;MAURICIO MAIA;1;1
ELIAS ALFREDO GUDINO ROJAS;MB GONÇALVES;1;1
ELISMAR DA ROSA OLIVEIRA;FILIP STROBIN;1;1
ELISMAR DA ROSA OLIVEIRA;RUDNEI DIAS DA CUNHA;2;2
ELISMAR DA ROSA OLIVEIRA;VICTOR SCHVOLLNER;1;1
ELISMAR DA ROSA OLIVEIRA;VILMAR TREVISAN;4;4
ELOI DA SILVA FEITOSA;CARLOS JOSE LEOPOLDO CONSTANTINO;1;1
ELOI DA SILVA FEITOSA;PEDRO HENRIQUE BENITES AOKI;1;1
ELOI DA SILVA FEITOSA;RENATA DANIELLE ADATI;1;1
EMILSON RIBEIRO VIANA JUNIOR;JUAN CARLOS GONZALEZ PEREZ;1;1
EMILSON RIBEIRO VIANA JUNIOR;MILTON BORSATO;1;1
EMILSON RIBEIRO VIANA JUNIOR;NESTOR CIFUENTES TABORDA;1;1
ERICO MARLON DE MORAES FLORES;FABIO ANDREI DUARTE;1;1
ERVIN KAMINSKI LENZI;ALOISI SOMER;1;1
ERVIN KAMINSKI LENZI;ANA PAULA DA SILVA KOLTUN;1;1
ERVIN KAMINSKI LENZI;ANTONIO MARCOS BATISTA;1;1
ERVIN KAMINSKI LENZI;ANTONIO SERGIO MAGALHAES DE CASTRO;1;1
ERVIN KAMINSKI LENZI;ELAHEH SAYARI;1;1
ERVIN KAMINSKI LENZI;ENRIQUE CHIPICOSKI GABRICK;1;1
ERVIN KAMINSKI LENZI;HAROLDO VALENTIN RIBEIRO;1;1
ERVIN KAMINSKI LENZI;IRINA PETRESKA;1;1
ERVIN KAMINSKI LENZI;JOSE TROBIA;1;1
ERVIN KAMINSKI LENZI;LUIZ ROBERTO EVANGELISTA;5;5
ERVIN KAMINSKI LENZI;MARCELO KAMINSKI LENZI;1;1
ERVIN KAMINSKI LENZI;RAFAEL SOARES ZOLA;4;4
ERVIN KAMINSKI LENZI;TRIFCE SANDEV;1;1
ESEQUIA SAUTER;FABIO SOUTO DE AZEVEDO;1;1
ESEQUIA SAUTER;LUANA LAZZARI;1;1
FABIO ANDRE SANGIOGO;FLAVIA MOURA DE FREITAS;1;1
FABIO ANDRE SANGIOGO;JHONATAS DA SILVA NUNES;1;1
FABIO ANDRE SANGIOGO;MARCELO MOLLER ALVES;1;1
FABIO ANDRE SANGIOGO;MATHEUS DE LIMA RUFINO;1;1
FABIO ANDRE SANGIOGO;PAOLA BORK ABIB;1;1
FABIO ANDRE SANGIOGO;THEO LAHORGUE ROSCOFF;1;1
FABIO ANDREI DUARTE;ERICO MARLON DE MORAES FLORES;1;1
FABIO ANDREI DUARTE;PAOLA DE AZEVEDO MELLO;1;1
FABIO ANDREI DUARTE;VALDERI LUIZ DRESSLER;1;1
FABIO FERREIRA GONCALVES;GABRIELA BOHM MILANI;1;1
FABIO FERREIRA GONCALVES;JULIANE BUHLER;1;1
