Source;Target;Weight;Label
ABEL ANDRE CANDIDO RECCO;JULIO CESAR SAGAS;1;1
ABEL ANDRE CANDIDO RECCO;PAULO CESAR RECH;1;1
ADILSON BEN DA COSTA;GILSON AUGUSTO HELFER;2;2
ADILSON BEN DA COSTA;IBERE DAME TEIXEIRA;2;2
ADILSON BEN DA COSTA;JORGE LUIS VICTORIA BARBOSA;2;2
ADILSON BEN DA COSTA;JULIANO SMANIOTO BARIN;2;2
ADILSON BEN DA COSTA;MONICA VOSS;2;2
ADILSON BEN DA COSTA;ROBERTA OLIVEIRA SANTOS;2;2
ADILSON BEN DA COSTA;RONALDO BASTOS DOS SANTOS;2;2
ADILSON BEN DA COSTA;SANDRA KUNDE SCHLESNER;2;2
ADMILSON TEIXEIRA FRANCO;JOSE LUIS LAGE;1;1
ADMILSON TEIXEIRA FRANCO;LEONARDO TERRA LOYOLA;1;1
ADMILSON TEIXEIRA FRANCO;MARCELO MOREIRA GANZAROLLI;1;1
ADMILSON TEIXEIRA FRANCO;SILVIO LUIZ DE MELLO JUNQUEIRA;1;1
ADMIR CRESO DE LIMA TARGINO;EVA MARIA MOLLINEDO VENEROS;1;1
ADMIR CRESO DE LIMA TARGINO;FABIAN LEONARDO MORENO CAMACHO;2;2
ADMIR CRESO DE LIMA TARGINO;GABRIEL YOSHIKAZU CORTEZ OUKAWA;2;2
ADMIR CRESO DE LIMA TARGINO;JOAO EDSON DANZIGER FILHO;1;1
ADMIR CRESO DE LIMA TARGINO;JOAO VITOR BARREIROS CARDOSO;1;1
ADMIR CRESO DE LIMA TARGINO;MARCUS VINICIUS BATISTA OLIVEIRA;1;1
ADMIR CRESO DE LIMA TARGINO;PATRICIA KRECL ABAD;4;4
ADMIR CRESO DE LIMA TARGINO;PETER BRIMBLECOMBE;1;1
ADRIANO FAGALI DE SOUZA;FELIPE MARIN;1;1
ADRIANO FAGALI DE SOUZA;NICOLAS DE LIMA ROSSINI SEVERINO;2;2
ADRIANO FAGALI DE SOUZA;RODRIGO BERRETTA KASEMODEL;2;2
ALEJANDRO GERMAN FRANK;GLAUCO HENRIQUE DE SOUSA MENDES;1;1
ALEJANDRO GERMAN FRANK;GUILHERME BRITTES BENITEZ;4;4
ALEJANDRO GERMAN FRANK;MATEUS JOSE DO REGO FERREIRA LIMA;2;2
ALEJANDRO GERMAN FRANK;NESTOR FABIAN AYALA;2;2
ALESSANDRO DO NASCIMENTO VARGAS;ALDEMIR APARECIDO CAVALINI JUNIOR;2;2
ALESSANDRO DO NASCIMENTO VARGAS;ALEXANDER MAIER;2;2
ALESSANDRO DO NASCIMENTO VARGAS;ARMAND ANTHELME NANHA DJANAN;2;2
ALESSANDRO DO NASCIMENTO VARGAS;CONSTANTIN FLORIN CARUNTU;6;6
ALESSANDRO DO NASCIMENTO VARGAS;CRISTIANO MARCOS AGULHARI;2;2
ALESSANDRO DO NASCIMENTO VARGAS;GABRIEL ROSSATO FRANCISCO;1;1
ALESSANDRO DO NASCIMENTO VARGAS;HASSANE BOUZAHIR;2;2
ALESSANDRO DO NASCIMENTO VARGAS;JOAO GUILHERME RAMINELLI;2;2
ALESSANDRO DO NASCIMENTO VARGAS;JOAO YOSHIYUKI ISHIHARA;4;4
ALESSANDRO DO NASCIMENTO VARGAS;JUAN M BANDA;2;2
ALESSANDRO DO NASCIMENTO VARGAS;LEONARDO ACHO ZUPPA;3;3
ALESSANDRO DO NASCIMENTO VARGAS;LEONARDO POLTRONIERI SAMPAIO;1;1
ALESSANDRO DO NASCIMENTO VARGAS;LIXIAN ZHANG;2;2
ALESSANDRO DO NASCIMENTO VARGAS;MARCIO AURELIO FURTADO MONTEZUMA;3;3
ALESSANDRO DO NASCIMENTO VARGAS;MARCOS BANHETI RABELLO VALLIM;2;2
ALESSANDRO DO NASCIMENTO VARGAS;RICARDO BREGANON;2;2
ALESSANDRO DO NASCIMENTO VARGAS;RICARDO CORACAO DE LEAO FONTOURA DE OLIVEIRA;2;2
ALESSANDRO DO NASCIMENTO VARGAS;VICTOR M PRECIADO;4;4
ALESSANDRO GONCALVES GIRARDI;LUCAS COMPASSI SEVERO;2;2
ALESSANDRO GONCALVES GIRARDI;PAULO CESAR COMASSETTO DE AGUIRRE;2;2
ALESSANDRO GONCALVES GIRARDI;TAILIZE CORDEIRO DE OLIVEIRA;1;1
ALEXANDRE FERREIRA SANTOS;MARC DELGADO AGUILAR;2;2
ALEXANDRE FERREIRA SANTOS;MARCOS LUCIO CORAZZA;1;1
ALEXANDRE MAGNUS GOMES CARVALHO;VLADIMIR I ZVEREV;1;1
ALEXANDRE MAGNUS GOMES CARVALHO;WILLIAM IMAMURA;1;1
ALISSON ROCHA MACHADO;CASSIO LUIZ FRANCISCO DE ANDRADE;1;1
ALISSON ROCHA MACHADO;ERICA CRISTINA ALMEIDA;1;1
ALISSON ROCHA MACHADO;JOSE CARLOS DE CAMARGO;1;1
ALISSON ROCHA MACHADO;LEONARDO ROSA RIBEIRO DA SILVA;2;2
ALISSON ROCHA MACHADO;PEDRO HENRIQUE PIRES FRANCA;1;1
ALISSON ROCHA MACHADO;ROGERIO VALENTIM GELAMO;1;1
ALISSON ROCHA MACHADO;ROSEMAR BATISTA DA SILVA;1;1
ALISSON ROCHA MACHADO;VICTOR HUGO MARTINS DE ALMEIDA;1;1
ALISSON ROCHA MACHADO;VITOR BALDIN;1;1
ALISSON ROCHA MACHADO;WILSON LUIZ GUESSER;1;1
ALISSON SIMONETTI MILANI;ALMIR BARROS DA SILVA SANTOS NETO;2;2
ALISSON SIMONETTI MILANI;ANDRE LUBECK;3;3
ALISSON SIMONETTI MILANI;GIHAD MOHAMAD;3;3
ALISSON SIMONETTI MILANI;JAELSON BUDNY;2;2
ALISSON SIMONETTI MILANI;LUIS EDUARDO KOSTESKI;2;2
ALISSON SIMONETTI MILANI;RENE QUISPE RODRIGUEZ;1;1
ALVARO LUIZ DE BORTOLI;FELIPE NORTE PEREIRA;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;BRUNA RIGON DE OLIVEIRA;3;3
ALVARO LUIZ NEUENFELDT JUNIOR;CARMEN BRUM ROSA;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;DAVID TRINDADE DISCONSI;2;2
ALVARO LUIZ NEUENFELDT JUNIOR;ELSA MARÍLIA DA COSTA E SILVA;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;FLAVIO ISSAO KUBOTA;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;GABRIEL CARGNIN STIELER;3;3
ALVARO LUIZ NEUENFELDT JUNIOR;GIL EDUARDO GUIMARAES;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;JULIO CEZAR MAIRESSE SILUK;3;3
ALVARO LUIZ NEUENFELDT JUNIOR;MATHEUS BINOTTO FRANCESCATTO;5;5
ALVARO LUIZ NEUENFELDT JUNIOR;OLINTO CESAR BASSI DE ARAUJO;1;1
ALVARO LUIZ NEUENFELDT JUNIOR;VANESSA TEREZINHA ALVES TENTES;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;FRANCISCO CARLOS SERBENA;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;GELSON BISCAIA DE SOUZA;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;IRENE GARCIA CANO;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;RODOLPHO FERNANDO VAZ;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;SERGI DOSTA;1;1
ANDERSON GERALDO MARENDA PUKASIEWICZ;WILLIAN RAFAEL DE OLIVEIRA;1;1
ANDERSON LUIS RUHOFF;ADALBERTO MELLER;1;1
ANDERSON LUIS RUHOFF;ALECSANDER MERGEN;1;1
ANDERSON LUIS RUHOFF;ALEXANDRE ABDALLA ARAUJO;1;1
ANDERSON LUIS RUHOFF;ALEXANDRE DE AMORIM TEIXEIRA;1;1
ANDERSON LUIS RUHOFF;BRUNO CESAR COMINI DE ANDRADE;1;1
ANDERSON LUIS RUHOFF;CHRISTOPHER NEALE;1;1
ANDERSON LUIS RUHOFF;DEBORA REGINA ROBERTI;2;2
ANDERSON LUIS RUHOFF;ELISA DE MELLO KICH;1;1
ANDERSON LUIS RUHOFF;GISELE CRISTINA DOTTO RUBERT;2;2
ANDERSON LUIS RUHOFF;GUSTAVO PUJOL VEECK;1;1
ANDERSON LUIS RUHOFF;LEONARDO LAIPELT DOS SANTOS;2;2
ANDERSON LUIS RUHOFF;LUIS GUSTAVO GONCALVES DE GONCALVES;1;1
ANDERSON LUIS RUHOFF;MARCUS ANDRE FUCKNER;1;1
ANDERSON LUIS RUHOFF;RAFAEL BARBEDO FONTANA;1;1
ANDERSON LUIS RUHOFF;RAFAEL HENRIQUE BLOEDOW KAYSER;1;1
ANDERSON LUIS RUHOFF;RODRIGO CAUDURO DIAS DE PAIVA;1;1
ANDERSON LUIS RUHOFF;TAMIRES ZIMMER;1;1
ANDERSON LUIS RUHOFF;TIAGO BREMM;1;1
ANDERSON LUIS RUHOFF;VANESSA DE ARRUDA SOUZA;2;2
ANDERSON LUIS RUHOFF;WALTER COLLISCHONN;1;1
ANDRE JACOMEL TORII;HENRIQUE MACHADO KROETZ;1;1
ANDRE JACOMEL TORII;LEANDRO FLECK FADEL MIGUEL;2;2
ANDRE JACOMEL TORII;OMAR MOHAMAD ISMAIL MATAR;1;1
ANDRE JACOMEL TORII;PAULA MARIA AIRES GRACITE;1;1
ANDRE JACOMEL TORII;RAFAEL HOLDORF LOPEZ;2;2
ANDRE JACOMEL TORII;RICCELLI BEGNINI;1;1
ANDRE LUIS KORZENOWSKI;FELIPE KIRSCH HOERBE;1;1
ANDRE LUIS KORZENOWSKI;LUCAS SCHMIDT GOECKS;1;1
