Source;Target;Weight;Label;Type
A_NATALIA HAUSER;V_0895-9811;9;9;Undirected
A_LILIANE DE ALMEIDA MAIA;V_0951-7715;4;4;Undirected
A_MARIANA PENNA LIMA VITENTI;V_1432-0746;4;4;Undirected
A_LILIANE DE ALMEIDA MAIA;V_0308-2105;3;3;Undirected
A_KETI TENENBLAT;V_0373-3114;3;3;Undirected
A_LILIANE DE ALMEIDA MAIA;V_1536-1365;3;3;Undirected
A_HERMINIA VERIDIANA DOS SANTOS PESSONI E SILVA;V_0925-8388;3;3;Undirected
A_HELENA DE SOUZA BRAGANCA ROCHA;V_2469-9950;3;3;Undirected
A_SUMBAL SABA;V_1144-0546;3;3;Undirected
A_HERMINIA VERIDIANA DOS SANTOS PESSONI E SILVA;V_0272-8842;3;3;Undirected
A_ANDREA RODRIGUES CHAVES;V_1535-3893;2;2;Undirected
A_ANDREA RODRIGUES CHAVES;V_0103-5053;2;2;Undirected
A_CIRA ETHEOWALDA GUEVARA OTINIANO;V_1099-4300;2;2;Undirected
A_NATALIA HAUSER;V_1086-9379;2;2;Undirected
A_EDNA DIAS CANEDO;V_0947-3602;2;2;Undirected
A_CLAUDIA CRISTINA GATTO;V_1422-0067;2;2;Undirected
A_REJANE ENNES CICERELLI;V_1866-6280;2;2;Undirected
A_ELAINE VENSON;V_0164-1212;2;2;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_0260-437X;1;1;Undirected
A_MARIANA PENNA LIMA VITENTI;V_2470-0010;1;1;Undirected
A_ANNA MARIA CANAVARRO BENITE;V_2179-426X;1;1;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_0103-5053;1;1;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_1436-6207;1;1;Undirected
A_CARIDAD NODA PEREZ;V_1144-0546;1;1;Undirected
A_GRACE FERREIRA GHESTI;V_0360-3199;1;1;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_0048-9697;1;1;Undirected
A_SUMBAL SABA;V_2373-8227;1;1;Undirected
A_JAQUELINE GODOY MESQUITA;V_0002-9939;1;1;Undirected
A_VANESSA GISELE PASQUALOTTO SEVERINO;V_0731-7085;1;1;Undirected
A_GRACE FERREIRA GHESTI;V_0960-1481;1;1;Undirected
A_ADRIANA MARIA COIMBRA HORBE;V_0895-9811;1;1;Undirected
A_SUMBAL SABA;V_1386-1425;1;1;Undirected
A_GRACE FERREIRA GHESTI;V_0956-053X;1;1;Undirected
A_DANIELLE CANGUSSU DE CASTRO GOMES;V_0020-1669;1;1;Undirected
A_MARIANA PENNA LIMA VITENTI;V_1365-2966;1;1;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_1660-4601;1;1;Undirected
A_ALINE LIMA DE OLIVEIRA PATERNO;V_0026-265X;1;1;Undirected
A_ADRIANA MARIA COIMBRA HORBE;V_2296-6463;1;1;Undirected
A_CLAUDIA ANDREA LIMA CARDOSO;V_0049-4747;1;1;Undirected
A_TATIANE MORAES ARANTES;V_0927-7765;1;1;Undirected
