Id;Label;Tipo;Categoria
A_ADRIANA MARIA COIMBRA HORBE;ADRIANA MARIA COIMBRA HORBE;AUTOR_DOCENTE;AUTOR
A_ALINE LIMA DE OLIVEIRA PATERNO;ALINE LIMA DE OLIVEIRA PATERNO;AUTOR_DOCENTE;AUTOR
A_ANDREA RODRIGUES CHAVES;ANDREA RODRIGUES CHAVES;AUTOR_DOCENTE;AUTOR
A_ANNA MARIA CANAVARRO BENITE;ANNA MARIA CANAVARRO BENITE;AUTOR_DOCENTE;AUTOR
A_CARIDAD NODA PEREZ;CARIDAD NODA PEREZ;AUTOR_DOCENTE;AUTOR
A_CIRA ETHEOWALDA GUEVARA OTINIANO;CIRA ETHEOWALDA GUEVARA OTINIANO;AUTOR_DOCENTE;AUTOR
A_CLAUDIA ANDREA LIMA CARDOSO;CLAUDIA ANDREA LIMA CARDOSO;AUTOR_DOCENTE;AUTOR
A_CLAUDIA CRISTINA GATTO;CLAUDIA CRISTINA GATTO;AUTOR_DOCENTE;AUTOR
A_DANIELLE CANGUSSU DE CASTRO GOMES;DANIELLE CANGUSSU DE CASTRO GOMES;AUTOR_DOCENTE;AUTOR
A_EDNA DIAS CANEDO;EDNA DIAS CANEDO;AUTOR_DOCENTE;AUTOR
A_ELAINE VENSON;ELAINE VENSON;AUTOR_DOCENTE;AUTOR
A_GRACE FERREIRA GHESTI;GRACE FERREIRA GHESTI;AUTOR_DOCENTE;AUTOR
A_HELENA DE SOUZA BRAGANCA ROCHA;HELENA DE SOUZA BRAGANCA ROCHA;AUTOR_DOCENTE;AUTOR
A_HERMINIA VERIDIANA DOS SANTOS PESSONI E SILVA;HERMINIA VERIDIANA DOS SANTOS PESSONI E SILVA;AUTOR_DOCENTE;AUTOR
A_JAQUELINE GODOY MESQUITA;JAQUELINE GODOY MESQUITA;AUTOR_DOCENTE;AUTOR
A_KETI TENENBLAT;KETI TENENBLAT;AUTOR_DOCENTE;AUTOR
A_LILIANE DE ALMEIDA MAIA;LILIANE DE ALMEIDA MAIA;AUTOR_DOCENTE;AUTOR
A_MARIANA PENNA LIMA VITENTI;MARIANA PENNA LIMA VITENTI;AUTOR_DOCENTE;AUTOR
A_NATALIA HAUSER;NATALIA HAUSER;AUTOR_DOCENTE;AUTOR
A_REJANE ENNES CICERELLI;REJANE ENNES CICERELLI;AUTOR_DOCENTE;AUTOR
A_SUMBAL SABA;SUMBAL SABA;AUTOR_DOCENTE;AUTOR
A_TATIANE MORAES ARANTES;TATIANE MORAES ARANTES;AUTOR_DOCENTE;AUTOR
A_VANESSA GISELE PASQUALOTTO SEVERINO;VANESSA GISELE PASQUALOTTO SEVERINO;AUTOR_DOCENTE;AUTOR
V_0002-9939;0002-9939;VEICULO;A2
V_0020-1669;0020-1669;VEICULO;A1
V_0026-265X;0026-265X;VEICULO;A2
V_0048-9697;0048-9697;VEICULO;A1
V_0049-4747;0049-4747;VEICULO;A2
V_0103-5053;0103-5053;VEICULO;A2
V_0164-1212;0164-1212;VEICULO;A1
V_0260-437X;0260-437X;VEICULO;A2
V_0272-8842;0272-8842;VEICULO;A1
V_0308-2105;0308-2105;VEICULO;A2
V_0360-3199;0360-3199;VEICULO;A1
V_0373-3114;0373-3114;VEICULO;A2
V_0731-7085;0731-7085;VEICULO;A2
V_0895-9811;0895-9811;VEICULO;A2
V_0925-8388;0925-8388;VEICULO;A1
V_0927-7765;0927-7765;VEICULO;A2
V_0947-3602;0947-3602;VEICULO;A2
V_0951-7715;0951-7715;VEICULO;A2
V_0956-053X;0956-053X;VEICULO;A1
V_0960-1481;0960-1481;VEICULO;A1
V_1086-9379;1086-9379;VEICULO;A2
V_1099-4300;1099-4300;VEICULO;A2
V_1144-0546;1144-0546;VEICULO;A2
V_1365-2966;1365-2966;VEICULO;A1
V_1386-1425;1386-1425;VEICULO;A1
V_1422-0067;1422-0067;VEICULO;A2
V_1432-0746;1432-0746;VEICULO;A1
V_1436-6207;1436-6207;VEICULO;A1
V_1535-3893;1535-3893;VEICULO;A2
V_1536-1365;1536-1365;VEICULO;A1
V_1660-4601;1660-4601;VEICULO;A1
V_1866-6280;1866-6280;VEICULO;A2
V_2179-426X;2179-426X;VEICULO;A2
V_2296-6463;2296-6463;VEICULO;A2
V_2373-8227;2373-8227;VEICULO;A1
V_2469-9950;2469-9950;VEICULO;A1
V_2470-0010;2470-0010;VEICULO;A1
