Source;Target;Weight;Label;Type
A_REINHARDT ADOLFO FUCK;V_0895-9811;14;14;Undirected
A_PAVEL SHUMYATSKY;V_0021-8693;9;9;Undirected
A_MILORAD MILOSEVIC;V_2469-9950;8;8;Undirected
A_ORIZON PEREIRA FERREIRA;V_0926-6003;7;7;Undirected
A_MAURICIO AYALA RINCON;V_0168-7433;7;7;Undirected
A_PAVEL SHUMYATSKY;V_0021-2172;7;7;Undirected
A_EDUARDO YOSHIO NAKANO;V_2072-6643;6;6;Undirected
A_JOSE JOAQUIN LINARES LEON;V_1388-2481;5;5;Undirected
A_VIKTOR DODONOV;V_1099-4300;5;5;Undirected
A_HELTON SAULO BEZERRA DOS SANTOS;V_1436-3240;5;5;Undirected
A_ERIK ALEX PAPA QUIROZ;V_0254-5330;4;4;Undirected
A_BRENNO AMARO DA SILVEIRA NETO;V_0103-5053;4;4;Undirected
A_SEBASTIAO WILLIAM DA SILVA;V_0024-4937;4;4;Undirected
A_SEBASTIAO WILLIAM DA SILVA;V_0026-265X;4;4;Undirected
A_MAX LEANDRO NOBRE GONCALVES;V_0926-6003;4;4;Undirected
A_TARCISIO MARCIANO DA ROCHA FILHO;V_0960-0779;4;4;Undirected
A_MAX LEANDRO NOBRE GONCALVES;V_1017-1398;4;4;Undirected
A_MAURICIO AYALA RINCON;V_0960-1295;4;4;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_0308-8146;4;4;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_0884-2914;4;4;Undirected
A_RAUL YUKIHIRO MATSUSHITA;V_1007-5704;4;4;Undirected
A_PABLO JOSE GONCALVES;V_1010-6030;4;4;Undirected
A_BRENNO AMARO DA SILVEIRA NETO;V_1420-3049;4;4;Undirected
A_CARLOS JOSE SOUZA DE ALVARENGA;V_0016-7649;4;4;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_1435-604X;4;4;Undirected
A_ALEKSANDR NIKOLAIEVICH PINZUL;V_2470-0010;4;4;Undirected
A_LUIZ ANTONIO RIBEIRO JUNIOR;V_1463-9076;4;4;Undirected
A_JOSE ANTONIO HUAMANI COAQUIRA;V_0925-8388;4;4;Undirected
A_JEAN MICHEL MARCEL MARTINEZ;V_2072-4292;4;4;Undirected
A_BRENNO AMARO DA SILVEIRA NETO;V_1521-3765;4;4;Undirected
A_TARCISIO MARCIANO DA ROCHA FILHO;V_1932-6203;4;4;Undirected
A_PAULO CESAR DE MORAIS;V_0957-4484;3;3;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_2452-2627;3;3;Undirected
A_FABIO LUIS BRAGHIN;V_2470-0010;3;3;Undirected
A_JORLANDIO FRANCISCO FELIX;V_0022-3093;3;3;Undirected
A_WESLEY BUENO CARDOSO;V_0924-090X;3;3;Undirected
A_JORLANDIO FRANCISCO FELIX;V_0378-5173;3;3;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_0024-3205;3;3;Undirected
A_ELTON LUIZ DANTAS;V_0020-6814;3;3;Undirected
A_ORIZON PEREIRA FERREIRA;V_0377-0427;3;3;Undirected
A_KAYE OLIVEIRA DA SILVA;V_1007-5704;3;3;Undirected
A_WENDER ALVES DA SILVA;V_2037-4631;3;3;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_1999-4923;3;3;Undirected
A_RAIMUNDO DE ARAUJO BASTOS JUNIOR;V_0021-8693;3;3;Undirected
A_PAVEL SHUMYATSKY;V_0373-3114;3;3;Undirected
A_ORIZON PEREIRA FERREIRA;V_0925-5001;3;3;Undirected
A_KAYE OLIVEIRA DA SILVA;V_0044-2275;3;3;Undirected
A_PAULO EDUARDO NARCIZO DE SOUZA;V_0268-8921;3;3;Undirected
A_KAYE OLIVEIRA DA SILVA;V_0021-2172;3;3;Undirected
A_WESLEY NUNES GONCALVES;V_2072-4292;3;3;Undirected
A_MARCELO FERNANDES FURTADO;V_0219-1997;3;3;Undirected
A_JORLANDIO FRANCISCO FELIX;V_1463-9076;3;3;Undirected
A_YURI DUMARESQ SOBRAL;V_0022-1120;3;3;Undirected
A_ALEX FABIANO CORTEZ CAMPOS;V_1463-9076;3;3;Undirected
A_BONIEK GONTIJO VAZ;V_0103-5053;3;3;Undirected
A_ELTON LUIZ DANTAS;V_0301-9268;3;3;Undirected
