Source;Target;Weight;Label;Type
A_UGO SILVA DIAS;V_2162-2337;12;12;Undirected
A_HUGERLES SALES SILVA;V_2162-2337;12;12;Undirected
A_FELIPE VIGOLVINO LOPES;V_0378-7796;9;9;Undirected
A_MOACYR AURELIANO GOMES DE BRITO;V_1424-8220;7;7;Undirected
A_KLEBER MELO E SILVA;V_0885-8977;6;6;Undirected
A_AMAURI GUTIERREZ MARTINS BRITTO;V_0378-7796;6;6;Undirected
A_AMAURI GUTIERREZ MARTINS BRITTO;V_0018-9375;6;6;Undirected
A_WANDERLEI MALAQUIAS PEREIRA JUNIOR;V_2193-567X;6;6;Undirected
A_LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES;V_1996-1073;5;5;Undirected
A_JOSE ALFREDO RUIZ VARGAS;V_1007-5704;4;4;Undirected
A_JOAO YOSHIYUKI ISHIHARA;V_0019-0578;4;4;Undirected
A_EDUARDO STOCKLER TOGNETTI;V_0019-0578;4;4;Undirected
A_VINICIUS PEREIRA GONCALVES;V_1996-1073;4;4;Undirected
A_FRANCISCO DAMASCENO FREITAS;V_0142-0615;4;4;Undirected
A_ROBERTO DE SOUZA BAPTISTA;V_1743-0003;3;3;Undirected
A_KLEBER MELO E SILVA;V_0378-7796;3;3;Undirected
A_CAUE ALVES MARTINS;V_1944-8244;3;3;Undirected
A_GUILHERME SALES SOARES DE AZEVEDO MELO;V_0889-3241;3;3;Undirected
A_JOSE ALFREDO RUIZ VARGAS;V_0029-8018;3;3;Undirected
A_RENATO PINTO DA CUNHA;V_1364-0321;3;3;Undirected
A_RAFAEL TIMOTEO DE SOUSA JUNIOR;V_2040-3372;3;3;Undirected
A_ENNIO MARQUES PALMEIRA;V_1751-7613;3;3;Undirected
A_LUCIANO MENDES BEZERRA;V_0143-974X;3;3;Undirected
A_WANDERLEI MALAQUIAS PEREIRA JUNIOR;V_1432-7643;3;3;Undirected
A_EDUARDO STOCKLER TOGNETTI;V_0005-1098;3;3;Undirected
A_RICARDO LUIZ MACHADO;V_2071-1050;3;3;Undirected
A_EDUARDO STOCKLER TOGNETTI;V_1063-6706;3;3;Undirected
A_ENNIO MARQUES PALMEIRA;V_2071-1050;3;3;Undirected
A_RAFAEL TIMOTEO DE SOUSA JUNIOR;V_0008-6223;3;3;Undirected
A_JOAO YOSHIYUKI ISHIHARA;V_0005-1098;3;3;Undirected
A_ELTON BAUER;V_0950-0618;3;3;Undirected
A_GINO BERTOLLUCCI COLHERINHAS;V_0219-4554;3;3;Undirected
A_FRANCISCO DAMASCENO FREITAS;V_0378-7796;2;2;Undirected
A_RAFAEL GABLER GONTIJO;V_0304-8853;2;2;Undirected
A_DANIEL SOUZA;V_2075-4701;2;2;Undirected
A_FABRICIO MACHADO SILVA;V_1759-9962;2;2;Undirected
A_JORGE LUIZ DE ALMEIDA FERREIRA;V_0142-1123;2;2;Undirected
A_OSWALDO CASCUDO MATOS;V_2075-5309;2;2;Undirected
A_RAFAEL TIMOTEO DE SOUSA JUNIOR;V_1420-3049;2;2;Undirected
A_OSWALDO CASCUDO MATOS;V_0958-9465;2;2;Undirected
A_RENATO ALVES BORGES;V_1270-9638;2;2;Undirected
A_RICARDO RIBEIRO DOS SANTOS;V_1996-1073;2;2;Undirected
A_RAUL DARIO DURAND FARFAN;V_0376-9429;2;2;Undirected
A_FRANCISCO EVANGELISTA JUNIOR;V_0013-7944;2;2;Undirected
A_GREGORIO LUIS SILVA ARAUJO;V_0950-0618;2;2;Undirected
A_VINICIUS PEREIRA GONCALVES;V_1389-1286;2;2;Undirected
A_DANIEL DE LIMA ARAUJO;V_0141-0296;2;2;Undirected
