Id;Label;Tipo;Categoria
A_ABIEL COSTA MACEDO;ABIEL COSTA MACEDO;AUTOR_DOCENTE;AUTOR
A_ADEMIR EUGENIO DE SANTANA;ADEMIR EUGENIO DE SANTANA;AUTOR_DOCENTE;AUTOR
A_ALAN RICARDO DA SILVA;ALAN RICARDO DA SILVA;AUTOR_DOCENTE;AUTOR
A_ALBERTO MASAYOSHI FARIA OHASHI;ALBERTO MASAYOSHI FARIA OHASHI;AUTOR_DOCENTE;AUTOR
A_ALEKSANDR NIKOLAIEVICH PINZUL;ALEKSANDR NIKOLAIEVICH PINZUL;AUTOR_DOCENTE;AUTOR
A_ALESANDRO FERREIRA DOS SANTOS;ALESANDRO FERREIRA DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_ALEX FABIANO CORTEZ CAMPOS;ALEX FABIANO CORTEZ CAMPOS;AUTOR_DOCENTE;AUTOR
A_ALYSSON MARTINS ALMEIDA SILVA;ALYSSON MARTINS ALMEIDA SILVA;AUTOR_DOCENTE;AUTOR
A_ALYSSON TOBIAS RIBEIRO DA CUNHA;ALYSSON TOBIAS RIBEIRO DA CUNHA;AUTOR_DOCENTE;AUTOR
A_ANGELO HENRIQUE DE LIRA MACHADO;ANGELO HENRIQUE DE LIRA MACHADO;AUTOR_DOCENTE;AUTOR
A_ANNIBAL DIAS DE FIGUEIREDO NETO;ANNIBAL DIAS DE FIGUEIREDO NETO;AUTOR_DOCENTE;AUTOR
A_BENEDITO LEANDRO NETO;BENEDITO LEANDRO NETO;AUTOR_DOCENTE;AUTOR
A_BONIEK GONTIJO VAZ;BONIEK GONTIJO VAZ;AUTOR_DOCENTE;AUTOR
A_BRENNO AMARO DA SILVEIRA NETO;BRENNO AMARO DA SILVEIRA NETO;AUTOR_DOCENTE;AUTOR
A_BRUNO RODRIGUES DE FREITAS;BRUNO RODRIGUES DE FREITAS;AUTOR_DOCENTE;AUTOR
A_CARLOS ALBERTO PEREIRA DOS SANTOS;CARLOS ALBERTO PEREIRA DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_CARLOS JOSE SOUZA DE ALVARENGA;CARLOS JOSE SOUZA DE ALVARENGA;AUTOR_DOCENTE;AUTOR
A_CESAR FONSECA FERREIRA FILHO;CESAR FONSECA FERREIRA FILHO;AUTOR_DOCENTE;AUTOR
A_CHRISTIAN GONCALVES ALONSO;CHRISTIAN GONCALVES ALONSO;AUTOR_DOCENTE;AUTOR
A_CLAUDIO RODRIGO NOGUEIRA;CLAUDIO RODRIGO NOGUEIRA;AUTOR_DOCENTE;AUTOR
A_DAVID LIMA AZEVEDO;DAVID LIMA AZEVEDO;AUTOR_DOCENTE;AUTOR
A_DEMETRIO ANTONIO DA SILVA FILHO;DEMETRIO ANTONIO DA SILVA FILHO;AUTOR_DOCENTE;AUTOR
A_DURVAL JOSE TONON;DURVAL JOSE TONON;AUTOR_DOCENTE;AUTOR
A_EDCARLOS DOMINGOS DA SILVA;EDCARLOS DOMINGOS DA SILVA;AUTOR_DOCENTE;AUTOR
A_EDSON EYJI SANO;EDSON EYJI SANO;AUTOR_DOCENTE;AUTOR
A_EDSON TAKASHI MATSUBARA;EDSON TAKASHI MATSUBARA;AUTOR_DOCENTE;AUTOR
A_EDUARDO JOSE DE ARRUDA;EDUARDO JOSE DE ARRUDA;AUTOR_DOCENTE;AUTOR
A_EDUARDO YOSHIO NAKANO;EDUARDO YOSHIO NAKANO;AUTOR_DOCENTE;AUTOR
A_ELTON LUIZ DANTAS;ELTON LUIZ DANTAS;AUTOR_DOCENTE;AUTOR
A_ERIK ALEX PAPA QUIROZ;ERIK ALEX PAPA QUIROZ;AUTOR_DOCENTE;AUTOR
A_FABIO LUIS BRAGHIN;FABIO LUIS BRAGHIN;AUTOR_DOCENTE;AUTOR
A_FABRICIO MACHADO SILVA;FABRICIO MACHADO SILVA;AUTOR_DOCENTE;AUTOR
A_FELIPE LANGE COELHO;FELIPE LANGE COELHO;AUTOR_DOCENTE;AUTOR
A_FERNANDO ALBUQUERQUE DE OLIVEIRA;FERNANDO ALBUQUERQUE DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_FERNANDO FABRIZ SODRE;FERNANDO FABRIZ SODRE;AUTOR_DOCENTE;AUTOR
A_GABRIEL LUIZ CRUZ DE SOUZA;GABRIEL LUIZ CRUZ DE SOUZA;AUTOR_DOCENTE;AUTOR
A_GERALDO RESENDE BOAVENTURA;GERALDO RESENDE BOAVENTURA;AUTOR_DOCENTE;AUTOR
A_GLAYDSTON DE CARVALHO BENTO;GLAYDSTON DE CARVALHO BENTO;AUTOR_DOCENTE;AUTOR
A_GUILHERME COLHERINHAS DE OLIVEIRA;GUILHERME COLHERINHAS DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_GUILHERME DE OLIVEIRA GONCALVES;GUILHERME DE OLIVEIRA GONCALVES;AUTOR_DOCENTE;AUTOR
A_HELTON SAULO BEZERRA DOS SANTOS;HELTON SAULO BEZERRA DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_HENRIQUE LLACER ROIG;HENRIQUE LLACER ROIG;AUTOR_DOCENTE;AUTOR
A_JAMAL RAFIQUE KHAN;JAMAL RAFIQUE KHAN;AUTOR_DOCENTE;AUTOR
A_JEAN MICHEL MARCEL MARTINEZ;JEAN MICHEL MARCEL MARTINEZ;AUTOR_DOCENTE;AUTOR
A_JEFFERSON DIVINO GONCALVES DE MELO;JEFFERSON DIVINO GONCALVES DE MELO;AUTOR_DOCENTE;AUTOR
A_JEREMIE GARNIER;JEREMIE GARNIER;AUTOR_DOCENTE;AUTOR
A_JESIEL FREITAS CARVALHO;JESIEL FREITAS CARVALHO;AUTOR_DOCENTE;AUTOR
A_JOAO BATISTA LOPES MARTINS;JOAO BATISTA LOPES MARTINS;AUTOR_DOCENTE;AUTOR
A_JOAO GABRIEL DE MORAES SOUZA;JOAO GABRIEL DE MORAES SOUZA;AUTOR_DOCENTE;AUTOR
A_JORLANDIO FRANCISCO FELIX;JORLANDIO FRANCISCO FELIX;AUTOR_DOCENTE;AUTOR
A_JOSE ANTONIO HUAMANI COAQUIRA;JOSE ANTONIO HUAMANI COAQUIRA;AUTOR_DOCENTE;AUTOR
A_JOSE AUGUSTO FIORUCCI;JOSE AUGUSTO FIORUCCI;AUTOR_DOCENTE;AUTOR
A_JOSE ELOI GUIMARAES CAMPOS;JOSE ELOI GUIMARAES CAMPOS;AUTOR_DOCENTE;AUTOR
A_JOSE JOAQUIN LINARES LEON;JOSE JOAQUIN LINARES LEON;AUTOR_DOCENTE;AUTOR
A_JOSE RICARDO DE SOUSA;JOSE RICARDO DE SOUSA;AUTOR_DOCENTE;AUTOR
A_JOSE ROBERTO DOS SANTOS POLITI;JOSE ROBERTO DOS SANTOS POLITI;AUTOR_DOCENTE;AUTOR
A_KAYE OLIVEIRA DA SILVA;KAYE OLIVEIRA DA SILVA;AUTOR_DOCENTE;AUTOR
A_LEANDRO DA FONSECA PRUDENTE;LEANDRO DA FONSECA PRUDENTE;AUTOR_DOCENTE;AUTOR
A_LEANDRO MARTINS CIOLETTI;LEANDRO MARTINS CIOLETTI;AUTOR_DOCENTE;AUTOR
A_LUCAS BONDAN;LUCAS BONDAN;AUTOR_DOCENTE;AUTOR
A_LUCIANO MORAIS LIAO;LUCIANO MORAIS LIAO;AUTOR_DOCENTE;AUTOR
A_LUIS CRACO;LUIS CRACO;AUTOR_DOCENTE;AUTOR
A_LUIS GUSTAVO FERREIRA VIEGAS;LUIS GUSTAVO FERREIRA VIEGAS;AUTOR_DOCENTE;AUTOR
A_LUIZ ANTONIO RIBEIRO JUNIOR;LUIZ ANTONIO RIBEIRO JUNIOR;AUTOR_DOCENTE;AUTOR
A_MAGNO APARECIDO GONCALVES TRINDADE;MAGNO APARECIDO GONCALVES TRINDADE;AUTOR_DOCENTE;AUTOR
A_MARCELO FERNANDES FURTADO;MARCELO FERNANDES FURTADO;AUTOR_DOCENTE;AUTOR
A_MARCELO OLIVEIRA RODRIGUES;MARCELO OLIVEIRA RODRIGUES;AUTOR_DOCENTE;AUTOR
A_MARCOS LEANDRO MENDES CARVALHO;MARCOS LEANDRO MENDES CARVALHO;AUTOR_DOCENTE;AUTOR
A_MARCOS ROBERTO DE OLIVEIRA;MARCOS ROBERTO DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_MARTIN BERNARD RODDAZ;MARTIN BERNARD RODDAZ;AUTOR_DOCENTE;AUTOR
A_MARTINO GARONZI;MARTINO GARONZI;AUTOR_DOCENTE;AUTOR
A_MARTINO GIORGIONI;MARTINO GIORGIONI;AUTOR_DOCENTE;AUTOR
A_MAURICIO AYALA RINCON;MAURICIO AYALA RINCON;AUTOR_DOCENTE;AUTOR
A_MAX LEANDRO NOBRE GONCALVES;MAX LEANDRO NOBRE GONCALVES;AUTOR_DOCENTE;AUTOR
A_MILORAD MILOSEVIC;MILORAD MILOSEVIC;AUTOR_DOCENTE;AUTOR
A_MUHAMMAD IRFAN QADIR;MUHAMMAD IRFAN QADIR;AUTOR_DOCENTE;AUTOR
A_NELSON LUIS DE CAMPOS DOMINGUES;NELSON LUIS DE CAMPOS DOMINGUES;AUTOR_DOCENTE;AUTOR
A_NELSON ROBERTO ANTONIOSI FILHO;NELSON ROBERTO ANTONIOSI FILHO;AUTOR_DOCENTE;AUTOR
A_ORIZON PEREIRA FERREIRA;ORIZON PEREIRA FERREIRA;AUTOR_DOCENTE;AUTOR
A_OTAVIO MARCAL LEANDRO GOMIDE;OTAVIO MARCAL LEANDRO GOMIDE;AUTOR_DOCENTE;AUTOR
A_PABLO JOSE GONCALVES;PABLO JOSE GONCALVES;AUTOR_DOCENTE;AUTOR
A_PAULO CESAR DE MORAIS;PAULO CESAR DE MORAIS;AUTOR_DOCENTE;AUTOR
A_PAULO EDUARDO NARCIZO DE SOUZA;PAULO EDUARDO NARCIZO DE SOUZA;AUTOR_DOCENTE;AUTOR
A_PAVEL SHUMYATSKY;PAVEL SHUMYATSKY;AUTOR_DOCENTE;AUTOR
A_PAVEL ZALESSKI;PAVEL ZALESSKI;AUTOR_DOCENTE;AUTOR
A_PEDRO ROITMAN;PEDRO ROITMAN;AUTOR_DOCENTE;AUTOR
A_RAFAEL PAVAO DAS CHAGAS;RAFAEL PAVAO DAS CHAGAS;AUTOR_DOCENTE;AUTOR
A_RAIMUNDO DE ARAUJO BASTOS JUNIOR;RAIMUNDO DE ARAUJO BASTOS JUNIOR;AUTOR_DOCENTE;AUTOR
A_RAUL YUKIHIRO MATSUSHITA;RAUL YUKIHIRO MATSUSHITA;AUTOR_DOCENTE;AUTOR
A_REINHARDT ADOLFO FUCK;REINHARDT ADOLFO FUCK;AUTOR_DOCENTE;AUTOR
A_RENATO GARCIA DE FREITAS SOBRINHO;RENATO GARCIA DE FREITAS SOBRINHO;AUTOR_DOCENTE;AUTOR
A_RICARDO COSTA DE SANTANA;RICARDO COSTA DE SANTANA;AUTOR_DOCENTE;AUTOR
A_ROBERTO VENTURA SANTOS;ROBERTO VENTURA SANTOS;AUTOR_DOCENTE;AUTOR
A_ROBERTO VILA GABRIEL;ROBERTO VILA GABRIEL;AUTOR_DOCENTE;AUTOR
A_RODRIGO DONIZETE EUZEBIO;RODRIGO DONIZETE EUZEBIO;AUTOR_DOCENTE;AUTOR
A_RODRIGO MILONI SANTUCCI;RODRIGO MILONI SANTUCCI;AUTOR_DOCENTE;AUTOR
A_ROGERIO ELIAS SOARES UAGODA;ROGERIO ELIAS SOARES UAGODA;AUTOR_DOCENTE;AUTOR
A_ROMULO CESAR ROUGEMONT PEREIRA;ROMULO CESAR ROUGEMONT PEREIRA;AUTOR_DOCENTE;AUTOR
A_RONALDO ALVES FERREIRA;RONALDO ALVES FERREIRA;AUTOR_DOCENTE;AUTOR
A_SEBASTIAO WILLIAM DA SILVA;SEBASTIAO WILLIAM DA SILVA;AUTOR_DOCENTE;AUTOR
A_TARCISIO MARCIANO DA ROCHA FILHO;TARCISIO MARCIANO DA ROCHA FILHO;AUTOR_DOCENTE;AUTOR
A_THIAGO SEQUINEL;THIAGO SEQUINEL;AUTOR_DOCENTE;AUTOR
A_THIAGO WERLANG DE OLIVEIRA;THIAGO WERLANG DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_VANUILDO SILVA DE CARVALHO;VANUILDO SILVA DE CARVALHO;AUTOR_DOCENTE;AUTOR
A_VICTOR HUGO RODRIGUES DE SOUZA;VICTOR HUGO RODRIGUES DE SOUZA;AUTOR_DOCENTE;AUTOR
A_VICTOR PETROGRADSKIY;VICTOR PETROGRADSKIY;AUTOR_DOCENTE;AUTOR
A_VIKTOR DODONOV;VIKTOR DODONOV;AUTOR_DOCENTE;AUTOR
A_WELLINGTON SANTOS MARTINS;WELLINGTON SANTOS MARTINS;AUTOR_DOCENTE;AUTOR
A_WENDELL KARLOS TOMAZELLI COLTRO;WENDELL KARLOS TOMAZELLI COLTRO;AUTOR_DOCENTE;AUTOR
A_WENDER ALVES DA SILVA;WENDER ALVES DA SILVA;AUTOR_DOCENTE;AUTOR
A_WESLEY BUENO CARDOSO;WESLEY BUENO CARDOSO;AUTOR_DOCENTE;AUTOR
A_WESLEY NUNES GONCALVES;WESLEY NUNES GONCALVES;AUTOR_DOCENTE;AUTOR
A_WOLF UWE REIMOLD;WOLF UWE REIMOLD;AUTOR_DOCENTE;AUTOR
A_YURI DUMARESQ SOBRAL;YURI DUMARESQ SOBRAL;AUTOR_DOCENTE;AUTOR
V_0001-8708;0001-8708;VEICULO;A1
V_0003-4916;0003-4916;VEICULO;A2
V_0013-9351;0013-9351;VEICULO;A1
V_0016-7649;0016-7649;VEICULO;A2
V_0020-1669;0020-1669;VEICULO;A1
V_0020-6814;0020-6814;VEICULO;A1
V_0020-7748;0020-7748;VEICULO;A2
V_0021-2172;0021-2172;VEICULO;A2
V_0021-7824;0021-7824;VEICULO;A1
V_0021-8561;0021-8561;VEICULO;A1
V_0021-8693;0021-8693;VEICULO;A2
V_0021-9606;0021-9606;VEICULO;A2
V_0021-9673;0021-9673;VEICULO;A1
V_0021-9991;0021-9991;VEICULO;A1
V_0022-0396;0022-0396;VEICULO;A2
V_0022-1120;0022-1120;VEICULO;A1
V_0022-1236;0022-1236;VEICULO;A1
V_0022-3093;0022-3093;VEICULO;A1
V_0022-3239;0022-3239;VEICULO;A2
V_0022-3697;0022-3697;VEICULO;A2
V_0024-3205;0024-3205;VEICULO;A1
V_0024-4937;0024-4937;VEICULO;A1
V_0026-265X;0026-265X;VEICULO;A2
V_0031-3203;0031-3203;VEICULO;A1
V_0032-3861;0032-3861;VEICULO;A1
V_0034-7140;0034-7140;VEICULO;A2
V_0044-2275;0044-2275;VEICULO;A2
V_0045-6535;0045-6535;VEICULO;A1
V_0047-259X;0047-259X;VEICULO;A2
V_0048-9697;0048-9697;VEICULO;A1
V_0095-4616;0095-4616;VEICULO;A2
V_0096-3003;0096-3003;VEICULO;A2
V_0102-4744;0102-4744;VEICULO;A1
V_0103-5053;0103-5053;VEICULO;A2
V_0146-6410;0146-6410;VEICULO;A1
V_0163-6804;0163-6804;VEICULO;A1
V_0167-2738;0167-2738;VEICULO;A2
V_0167-7322;0167-7322;VEICULO;A1
V_0168-7433;0168-7433;VEICULO;A2
V_0169-4332;0169-4332;VEICULO;A1
V_0191-8141;0191-8141;VEICULO;A1
V_0195-6671;0195-6671;VEICULO;A2
V_0197-9337;0197-9337;VEICULO;A1
V_0219-1997;0219-1997;VEICULO;A2
V_0233-1934;0233-1934;VEICULO;A2
V_0254-5330;0254-5330;VEICULO;A2
V_0267-9477;0267-9477;VEICULO;A1
V_0268-8921;0268-8921;VEICULO;A2
V_0269-7491;0269-7491;VEICULO;A1
V_0301-9268;0301-9268;VEICULO;A1
V_0303-2434;0303-2434;VEICULO;A1
V_0306-4573;0306-4573;VEICULO;A1
V_0308-2105;0308-2105;VEICULO;A2
V_0308-8146;0308-8146;VEICULO;A1
V_0341-8162;0341-8162;VEICULO;A1
V_0362-546X;0362-546X;VEICULO;A2
V_0364-765X;0364-765X;VEICULO;A1
V_0370-2693;0370-2693;VEICULO;A2
V_0373-3114;0373-3114;VEICULO;A2
V_0377-0427;0377-0427;VEICULO;A2
V_0378-4371;0378-4371;VEICULO;A1
V_0378-5173;0378-5173;VEICULO;A1
V_0378-8741;0378-8741;VEICULO;A1
V_0379-6779;0379-6779;VEICULO;A1
V_0731-7085;0731-7085;VEICULO;A2
V_0743-7463;0743-7463;VEICULO;A2
V_0884-2914;0884-2914;VEICULO;A2
V_0893-9659;0893-9659;VEICULO;A2
V_0895-9811;0895-9811;VEICULO;A2
V_0921-8181;0921-8181;VEICULO;A1
V_0924-090X;0924-090X;VEICULO;A1
V_0925-5001;0925-5001;VEICULO;A2
V_0925-8388;0925-8388;VEICULO;A1
V_0926-6003;0926-6003;VEICULO;A2
V_0927-0256;0927-0256;VEICULO;A1
V_0927-7099;0927-7099;VEICULO;A1
V_0938-8974;0938-8974;VEICULO;A2
V_0944-1344;0944-1344;VEICULO;A2
V_0944-2669;0944-2669;VEICULO;A1
V_0950-0618;0950-0618;VEICULO;A1
V_0951-7715;0951-7715;VEICULO;A2
V_0956-053X;0956-053X;VEICULO;A1
V_0957-4174;0957-4174;VEICULO;A1
V_0957-4484;0957-4484;VEICULO;A1
V_0959-6526;0959-6526;VEICULO;A1
V_0960-0779;0960-0779;VEICULO;A1
V_0960-1295;0960-1295;VEICULO;A2
V_1007-5704;1007-5704;VEICULO;A1
V_1010-6030;1010-6030;VEICULO;A2
V_1011-372X;1011-372X;VEICULO;A2
V_1017-1398;1017-1398;VEICULO;A2
V_1021-9722;1021-9722;VEICULO;A2
V_1050-6926;1050-6926;VEICULO;A2
V_1052-6234;1052-6234;VEICULO;A1
V_1078-0947;1078-0947;VEICULO;A2
V_1086-9379;1086-9379;VEICULO;A2
V_1099-4300;1099-4300;VEICULO;A2
V_1144-0546;1144-0546;VEICULO;A2
V_1359-7345;1359-7345;VEICULO;A1
V_1365-246X;1365-246X;VEICULO;A2
V_1386-1425;1386-1425;VEICULO;A1
V_1388-2481;1388-2481;VEICULO;A2
V_1420-3049;1420-3049;VEICULO;A2
V_1424-0637;1424-0637;VEICULO;A2
V_1424-8220;1424-8220;VEICULO;A2
V_1424-8247;1424-8247;VEICULO;A1
V_1432-7643;1432-7643;VEICULO;A1
V_1433-7851;1433-7851;VEICULO;A1
V_1434-6044;1434-6044;VEICULO;A2
V_1435-604X;1435-604X;VEICULO;A2
V_1436-3240;1436-3240;VEICULO;A2
V_1439-7641;1439-7641;VEICULO;A2
V_1463-9076;1463-9076;VEICULO;A1
V_1463-9084;1463-9084;VEICULO;A1
V_1477-9226;1477-9226;VEICULO;A1
V_1521-3765;1521-3765;VEICULO;A1
V_1527-8999;1527-8999;VEICULO;A1
V_1530-6984;1530-6984;VEICULO;A1
V_1530-6992;1530-6992;VEICULO;A1
V_1534-0392;1534-0392;VEICULO;A2
V_1549-9618;1549-9618;VEICULO;A1
V_1553-5231;1553-5231;VEICULO;A2
V_1572-1000;1572-1000;VEICULO;A2
V_1664-3607;1664-3607;VEICULO;A1
V_1678-4405;1678-4405;VEICULO;A2
V_1678-4561;1678-4561;VEICULO;A1
V_1742-5468;1742-5468;VEICULO;A2
V_1748-9326;1748-9326;VEICULO;A1
V_1751-8113;1751-8113;VEICULO;A2
V_1752-0894;1752-0894;VEICULO;A1
V_1759-9679;1759-9679;VEICULO;A1
V_1759-9962;1759-9962;VEICULO;A1
V_1806-1117;1806-1117;VEICULO;A1
V_1862-8338;1862-8338;VEICULO;A2
V_1866-6280;1866-6280;VEICULO;A2
V_1875-5100;1875-5100;VEICULO;A1
V_1932-4537;1932-4537;VEICULO;A1
V_1932-6203;1932-6203;VEICULO;A1
V_1932-7447;1932-7447;VEICULO;A1
V_1935-2735;1935-2735;VEICULO;A1
V_1942-0994;1942-0994;VEICULO;A2
V_1944-8244;1944-8244;VEICULO;A1
V_1984-2295;1984-2295;VEICULO;A2
V_1999-4923;1999-4923;VEICULO;A1
V_2037-4631;2037-4631;VEICULO;A2
V_2041-1723;2041-1723;VEICULO;A1
V_2045-2322;2045-2322;VEICULO;A1
V_2050-7488;2050-7488;VEICULO;A1
V_2052-4129;2052-4129;VEICULO;A1
V_2053-1583;2053-1583;VEICULO;A1
V_2071-1050;2071-1050;VEICULO;A2
V_2072-4292;2072-4292;VEICULO;A1
V_2072-6643;2072-6643;VEICULO;A1
V_2156-907X;2156-907X;VEICULO;A2
V_2190-5444;2190-5444;VEICULO;A2
V_2199-692X;2199-692X;VEICULO;A2
V_2213-3437;2213-3437;VEICULO;A2
V_2215-1532;2215-1532;VEICULO;A1
V_2317-4692;2317-4692;VEICULO;A2
V_2331-7019;2331-7019;VEICULO;A1
V_2352-801X;2352-801X;VEICULO;A2
V_2399-3650;2399-3650;VEICULO;A1
V_2452-2236;2452-2236;VEICULO;A1
V_2452-2627;2452-2627;VEICULO;A1
V_2468-8231;2468-8231;VEICULO;A2
V_2469-9926;2469-9926;VEICULO;A1
V_2469-9950;2469-9950;VEICULO;A1
V_2470-0010;2470-0010;VEICULO;A1
