Id;Label;Tipo;Categoria
A_ADRIANO TODOROVIC FABRO;ADRIANO TODOROVIC FABRO;AUTOR_DOCENTE;AUTOR
A_ADSON FERREIRA DA ROCHA;ADSON FERREIRA DA ROCHA;AUTOR_DOCENTE;AUTOR
A_ALYSSON MARTINS ALMEIDA SILVA;ALYSSON MARTINS ALMEIDA SILVA;AUTOR_DOCENTE;AUTOR
A_AMAURI GUTIERREZ MARTINS BRITTO;AMAURI GUTIERREZ MARTINS BRITTO;AUTOR_DOCENTE;AUTOR
A_ANDRE LUIS BRASIL CAVALCANTE;ANDRE LUIS BRASIL CAVALCANTE;AUTOR_DOCENTE;AUTOR
A_ANDRE MURILO DE ALMEIDA PINTO;ANDRE MURILO DE ALMEIDA PINTO;AUTOR_DOCENTE;AUTOR
A_ARMANDO DE AZEVEDO CALDEIRA PIRES;ARMANDO DE AZEVEDO CALDEIRA PIRES;AUTOR_DOCENTE;AUTOR
A_BERNARDO PINHEIRO DE ALVARENGA;BERNARDO PINHEIRO DE ALVARENGA;AUTOR_DOCENTE;AUTOR
A_BONIEK GONTIJO VAZ;BONIEK GONTIJO VAZ;AUTOR_DOCENTE;AUTOR
A_CAUE ALVES MARTINS;CAUE ALVES MARTINS;AUTOR_DOCENTE;AUTOR
A_CLOVES GONCALVES RODRIGUES;CLOVES GONCALVES RODRIGUES;AUTOR_DOCENTE;AUTOR
A_DANIEL DE LIMA ARAUJO;DANIEL DE LIMA ARAUJO;AUTOR_DOCENTE;AUTOR
A_DANIEL SOUZA;DANIEL SOUZA;AUTOR_DOCENTE;AUTOR
A_DEMETRIO ANTONIO DA SILVA FILHO;DEMETRIO ANTONIO DA SILVA FILHO;AUTOR_DOCENTE;AUTOR
A_EDGAR AMARAL SILVEIRA;EDGAR AMARAL SILVEIRA;AUTOR_DOCENTE;AUTOR
A_EDUARDO STOCKLER TOGNETTI;EDUARDO STOCKLER TOGNETTI;AUTOR_DOCENTE;AUTOR
A_ELTON BAUER;ELTON BAUER;AUTOR_DOCENTE;AUTOR
A_ENNIO MARQUES PALMEIRA;ENNIO MARQUES PALMEIRA;AUTOR_DOCENTE;AUTOR
A_EUGENIO LIBORIO FEITOSA FORTALEZA;EUGENIO LIBORIO FEITOSA FORTALEZA;AUTOR_DOCENTE;AUTOR
A_FABRICIO MACHADO SILVA;FABRICIO MACHADO SILVA;AUTOR_DOCENTE;AUTOR
A_FELIPE VIGOLVINO LOPES;FELIPE VIGOLVINO LOPES;AUTOR_DOCENTE;AUTOR
A_FERNANDO CARDOSO MELO;FERNANDO CARDOSO MELO;AUTOR_DOCENTE;AUTOR
A_FLAVIO COLMATI JUNIOR;FLAVIO COLMATI JUNIOR;AUTOR_DOCENTE;AUTOR
A_FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO;FRANCISCO ASSIS DE OLIVEIRA NASCIMENTO;AUTOR_DOCENTE;AUTOR
A_FRANCISCO DAMASCENO FREITAS;FRANCISCO DAMASCENO FREITAS;AUTOR_DOCENTE;AUTOR
A_FRANCISCO EVANGELISTA JUNIOR;FRANCISCO EVANGELISTA JUNIOR;AUTOR_DOCENTE;AUTOR
A_FRANCISCO JAVIER CUBA TERAN;FRANCISCO JAVIER CUBA TERAN;AUTOR_DOCENTE;AUTOR
A_FRANCISCO RICARDO DA CUNHA;FRANCISCO RICARDO DA CUNHA;AUTOR_DOCENTE;AUTOR
A_GERALDO PEREIRA ROCHA FILHO;GERALDO PEREIRA ROCHA FILHO;AUTOR_DOCENTE;AUTOR
A_GEYVERSON TEIXEIRA DE PAULA;GEYVERSON TEIXEIRA DE PAULA;AUTOR_DOCENTE;AUTOR
A_GILSON DE FARIAS NEVES GITIRANA JUNIOR;GILSON DE FARIAS NEVES GITIRANA JUNIOR;AUTOR_DOCENTE;AUTOR
A_GINO BERTOLLUCCI COLHERINHAS;GINO BERTOLLUCCI COLHERINHAS;AUTOR_DOCENTE;AUTOR
A_GREGORIO LUIS SILVA ARAUJO;GREGORIO LUIS SILVA ARAUJO;AUTOR_DOCENTE;AUTOR
A_GUILHERME SALES SOARES DE AZEVEDO MELO;GUILHERME SALES SOARES DE AZEVEDO MELO;AUTOR_DOCENTE;AUTOR
A_HUGERLES SALES SILVA;HUGERLES SALES SILVA;AUTOR_DOCENTE;AUTOR
A_JOAO PAULO CARVALHO LUSTOSA DA COSTA;JOAO PAULO CARVALHO LUSTOSA DA COSTA;AUTOR_DOCENTE;AUTOR
A_JOAO YOSHIYUKI ISHIHARA;JOAO YOSHIYUKI ISHIHARA;AUTOR_DOCENTE;AUTOR
A_JORGE LUIZ DE ALMEIDA FERREIRA;JORGE LUIZ DE ALMEIDA FERREIRA;AUTOR_DOCENTE;AUTOR
A_JOSE ALEXANDER ARAUJO;JOSE ALEXANDER ARAUJO;AUTOR_DOCENTE;AUTOR
A_JOSE ALFREDO RUIZ VARGAS;JOSE ALFREDO RUIZ VARGAS;AUTOR_DOCENTE;AUTOR
A_JOSE JOAQUIN LINARES LEON;JOSE JOAQUIN LINARES LEON;AUTOR_DOCENTE;AUTOR
A_JOSE LUCIO GONCALVES JUNIOR;JOSE LUCIO GONCALVES JUNIOR;AUTOR_DOCENTE;AUTOR
A_JOSE MARCATO JUNIOR;JOSE MARCATO JUNIOR;AUTOR_DOCENTE;AUTOR
A_KAIO CESAR BORGES BENEDETTI;KAIO CESAR BORGES BENEDETTI;AUTOR_DOCENTE;AUTOR
A_KLEBER MELO E SILVA;KLEBER MELO E SILVA;AUTOR_DOCENTE;AUTOR
A_LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES;LEONARDO RODRIGUES ARAUJO XAVIER DE MENEZES;AUTOR_DOCENTE;AUTOR
A_LUCIANO MENDES BEZERRA;LUCIANO MENDES BEZERRA;AUTOR_DOCENTE;AUTOR
A_MARCUS ANDRE SIQUEIRA CAMPOS;MARCUS ANDRE SIQUEIRA CAMPOS;AUTOR_DOCENTE;AUTOR
A_MARCUS FRAGA VIEIRA;MARCUS FRAGA VIEIRA;AUTOR_DOCENTE;AUTOR
A_MARIO BENJAMIM BAPTISTA DE SIQUEIRA;MARIO BENJAMIM BAPTISTA DE SIQUEIRA;AUTOR_DOCENTE;AUTOR
A_MOACYR AURELIANO GOMES DE BRITO;MOACYR AURELIANO GOMES DE BRITO;AUTOR_DOCENTE;AUTOR
A_NILSON CLEMENTINO FERREIRA;NILSON CLEMENTINO FERREIRA;AUTOR_DOCENTE;AUTOR
A_OSWALDO CASCUDO MATOS;OSWALDO CASCUDO MATOS;AUTOR_DOCENTE;AUTOR
A_PAULO ROBERTO DE LIRA GONDIM;PAULO ROBERTO DE LIRA GONDIM;AUTOR_DOCENTE;AUTOR
A_PAULO SERGIO SCALIZE;PAULO SERGIO SCALIZE;AUTOR_DOCENTE;AUTOR
A_PAULO TARSO SANCHES DE OLIVEIRA;PAULO TARSO SANCHES DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_RAFAEL GABLER GONTIJO;RAFAEL GABLER GONTIJO;AUTOR_DOCENTE;AUTOR
A_RAFAEL RABELO NUNES;RAFAEL RABELO NUNES;AUTOR_DOCENTE;AUTOR
A_RAFAEL TIMOTEO DE SOUSA JUNIOR;RAFAEL TIMOTEO DE SOUSA JUNIOR;AUTOR_DOCENTE;AUTOR
A_RAUL DARIO DURAND FARFAN;RAUL DARIO DURAND FARFAN;AUTOR_DOCENTE;AUTOR
A_RENATO ALVES BORGES;RENATO ALVES BORGES;AUTOR_DOCENTE;AUTOR
A_RENATO PINTO DA CUNHA;RENATO PINTO DA CUNHA;AUTOR_DOCENTE;AUTOR
A_RICARDO LOPES DE QUEIROZ;RICARDO LOPES DE QUEIROZ;AUTOR_DOCENTE;AUTOR
A_RICARDO LUIZ MACHADO;RICARDO LUIZ MACHADO;AUTOR_DOCENTE;AUTOR
A_RICARDO RIBEIRO DOS SANTOS;RICARDO RIBEIRO DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_ROBERTO DE SOUZA BAPTISTA;ROBERTO DE SOUZA BAPTISTA;AUTOR_DOCENTE;AUTOR
A_RODRIGO ANDRES MIRANDA CERDA;RODRIGO ANDRES MIRANDA CERDA;AUTOR_DOCENTE;AUTOR
A_RODRIGO DE MELO LAMEIRAS;RODRIGO DE MELO LAMEIRAS;AUTOR_DOCENTE;AUTOR
A_RONNI GERALDO GOMES DE AMORIM;RONNI GERALDO GOMES DE AMORIM;AUTOR_DOCENTE;AUTOR
A_THIAGO DE CARVALHO RODRIGUES DOCA;THIAGO DE CARVALHO RODRIGUES DOCA;AUTOR_DOCENTE;AUTOR
A_UGO SILVA DIAS;UGO SILVA DIAS;AUTOR_DOCENTE;AUTOR
A_VINICIUS PEREIRA GONCALVES;VINICIUS PEREIRA GONCALVES;AUTOR_DOCENTE;AUTOR
A_WANDERLEI MALAQUIAS PEREIRA JUNIOR;WANDERLEI MALAQUIAS PEREIRA JUNIOR;AUTOR_DOCENTE;AUTOR
A_WESLEY NUNES GONCALVES;WESLEY NUNES GONCALVES;AUTOR_DOCENTE;AUTOR
A_WESLEY PACHECO CALIXTO;WESLEY PACHECO CALIXTO;AUTOR_DOCENTE;AUTOR
A_WILLIAM TAYLOR MATIAS SILVA;WILLIAM TAYLOR MATIAS SILVA;AUTOR_DOCENTE;AUTOR
A_WILLY ALVES DE OLIVEIRA SOLER;WILLY ALVES DE OLIVEIRA SOLER;AUTOR_DOCENTE;AUTOR
V_0004-637X;0004-637X;VEICULO;A1
V_0005-1098;0005-1098;VEICULO;A1
V_0008-6223;0008-6223;VEICULO;A1
V_0013-7944;0013-7944;VEICULO;A2
V_0018-9375;0018-9375;VEICULO;A2
V_0019-0578;0019-0578;VEICULO;A1
V_0020-7462;0020-7462;VEICULO;A1
V_0029-8018;0029-8018;VEICULO;A1
V_0043-1397;0043-1397;VEICULO;A1
V_0043-1648;0043-1648;VEICULO;A2
V_0103-5053;0103-5053;VEICULO;A2
V_0141-0296;0141-0296;VEICULO;A1
V_0142-0615;0142-0615;VEICULO;A1
V_0142-1123;0142-1123;VEICULO;A1
V_0143-974X;0143-974X;VEICULO;A2
V_0160-5682;0160-5682;VEICULO;A2
V_0165-2125;0165-2125;VEICULO;A2
V_0167-8442;0167-8442;VEICULO;A1
V_0168-1699;0168-1699;VEICULO;A1
V_0168-874X;0168-874X;VEICULO;A1
V_0195-668X;0195-668X;VEICULO;A1
V_0196-2892;0196-2892;VEICULO;A1
V_0219-4554;0219-4554;VEICULO;A2
V_0266-1144;0266-1144;VEICULO;A1
V_0304-8853;0304-8853;VEICULO;A2
V_0306-2619;0306-2619;VEICULO;A1
V_0360-5442;0360-5442;VEICULO;A1
V_0376-9429;0376-9429;VEICULO;A1
V_0378-7796;0378-7796;VEICULO;A1
V_0733-9399;0733-9399;VEICULO;A2
V_0885-8969;0885-8969;VEICULO;A1
V_0885-8977;0885-8977;VEICULO;A1
V_0887-3828;0887-3828;VEICULO;A2
V_0888-3270;0888-3270;VEICULO;A1
V_0889-1575;0889-1575;VEICULO;A2
V_0889-3241;0889-3241;VEICULO;A2
V_0920-4741;0920-4741;VEICULO;A1
V_0924-090X;0924-090X;VEICULO;A1
V_0924-2716;0924-2716;VEICULO;A1
