Source;Target;Weight;Label;Type
A_MARCIA BEGALLI;V_1029-8479;66;66;Undirected
A_CARLA GOBEL BURLAMAQUI DE MELLO;V_1029-8479;47;47;Undirected
A_MARCIA BEGALLI;V_1434-6052;44;44;Undirected
A_ANDREA TEIXEIRA USTRA;V_2296-6463;34;34;Undirected
A_CARLA GOBEL BURLAMAQUI DE MELLO;V_2470-0010;25;25;Undirected
A_CARLA GOBEL BURLAMAQUI DE MELLO;V_0031-9007;24;24;Undirected
A_ILIA CHAPIRO;V_2470-0010;20;20;Undirected
A_MARCIA BEGALLI;V_0370-2693;19;19;Undirected
A_ANA MARIA DA COSTA FERREIRA;V_0162-0134;16;16;Undirected
A_MARCIA BEGALLI;V_1079-7114;15;15;Undirected
A_SIMONE DANTAS DE SOUZA;V_0166-218X;14;14;Undirected
A_LIANE MARCIA ROSSI;V_2168-0485;14;14;Undirected
A_MARCIA BEGALLI;V_1550-7998;13;13;Undirected
A_ILIA CHAPIRO;V_1029-8479;11;11;Undirected
A_MARCIA ERNESTO;V_0895-9811;11;11;Undirected
A_MARCIA ERNESTO;V_2317-4692;11;11;Undirected
A_SUSANA INES CORDOBA DE TORRESI;V_0013-4686;10;10;Undirected
A_ILIA CHAPIRO;V_1434-6044;10;10;Undirected
A_HILDE HARB BUZZA;V_1572-1000;10;10;Undirected
A_HILDE HARB BUZZA;V_0027-8424;10;10;Undirected
A_KATE CRISTINA BLANCO;V_1572-1000;10;10;Undirected
A_KITA CHAVES DAMASIO MACARIO;V_0033-8222;9;9;Undirected
A_SUSANA INES CORDOBA DE TORRESI;V_2155-5435;8;8;Undirected
A_VERA REGINA LEOPOLDO CONSTANTINO;V_0169-1317;8;8;Undirected
A_CARLA GOBEL BURLAMAQUI DE MELLO;V_1079-7114;8;8;Undirected
A_MARIANE GONCALVES SANTOS;V_0308-8146;8;8;Undirected
A_PAULA DE OLIVEIRA RIBEIRO ALHO;V_0925-8388;7;7;Undirected
A_HELENA BRANDAO MALBOUISSON;V_1029-8479;7;7;Undirected
A_MONICA ANDRIOLI CARACANHAS;V_2469-9926;7;7;Undirected
A_HELENA BRANDAO MALBOUISSON;V_1550-7998;7;7;Undirected
