Source;Target;Weight;Label;Type
A_ANA LUCIA FERREIRA DE BARROS;V_0035-8711;53;53;Undirected
A_DOINA MARIANA BANEA;V_2073-4360;43;43;Undirected
A_DOINA MARIANA BANEA;V_0143-7496;31;31;Undirected
A_ANA LUCIA FERREIRA DE BARROS;V_0004-637X;28;28;Undirected
A_MILENA FARIA PINTO;V_0921-0296;11;11;Undirected
A_MILENA FARIA PINTO;V_0263-5747;10;10;Undirected
A_NATHALIA SALLES VERNIN BARBOSA;V_1520-6106;8;8;Undirected
A_MARINA LAVORATO DE OLIVEIRA;V_0885-8977;8;8;Undirected
A_VICTORIA DALA PEGORARA SOUTO;V_1424-8220;8;8;Undirected
A_FERNANDA ARAUJO BAIAO AMORIM;V_1463-7154;7;7;Undirected
A_NATHALIA SALLES VERNIN BARBOSA;V_1463-9076;7;7;Undirected
A_DENISE MARIA ZEZELL;V_1678-7757;7;7;Undirected
A_LUCIANA VANNI GATTI;V_0028-0836;6;6;Undirected
A_VANESSA DE ALMEIDA GUIMARAES;V_2210-5395;6;6;Undirected
A_REGINA MARCIA LONGO;V_2071-1050;6;6;Undirected
A_LUCIANA VANNI GATTI;V_1680-7324;6;6;Undirected
A_LARISSA OTUBO;V_0304-3894;5;5;Undirected
A_LARISSA OTUBO;V_0144-8617;5;5;Undirected
A_ANA LUCIA FIGUEIREDO FACIN;V_0034-7590;5;5;Undirected
A_VANESSA DE ALMEIDA GUIMARAES;V_2213-624X;5;5;Undirected
A_KISSILA BOTELHO GOLIATH;V_2352-7102;5;5;Undirected
A_LARISSA OTUBO;V_0272-8842;5;5;Undirected
A_ANDREIA GUERRA DE MORAES;V_1982-5153;5;5;Undirected
A_LEILA FIGUEIREDO DANTAS;V_1932-6203;5;5;Undirected
A_ANDREIA GUERRA DE MORAES;V_1980-850X;5;5;Undirected
A_OFELIA DE QUEIROZ FERNANDES ARAUJO;V_1618-954X;5;5;Undirected
A_TATIANA BARRETO DOS SANTOS;V_0001-3765;4;4;Undirected
A_IZABEL FERNANDA MACHADO;V_0043-1648;4;4;Undirected
A_TATIANA BARRETO DOS SANTOS;V_0960-3182;4;4;Undirected
A_ANA PAULA DO NASCIMENTO LAMANO FERREIRA;V_1980-0827;4;4;Undirected
A_ANA PAULA KOURY;V_2175-3369;4;4;Undirected
A_LARISSA DRIEMEIER;V_1432-7643;4;4;Undirected
A_FENI DALANO ROOSEVELT AGOSTINHO;V_0959-6526;4;4;Undirected
A_CARINA ULSEN;V_0950-0618;4;4;Undirected
A_CAROLINA PALMA NAVEIRA COTTA;V_0961-5539;4;4;Undirected
A_CARLA ROBERTA TIM;V_0268-8921;3;3;Undirected
A_LUCIANA APARECIDA CAMPOS BALTATU;V_1422-0067;3;3;Undirected
A_ANA CAROLINA LORENA;V_0360-0300;3;3;Undirected
A_RACHEL PASSOS DE OLIVEIRA SANTOS;V_1383-5866;3;3;Undirected
A_MONICA BEATRIZ MATHOR;V_2045-2322;3;3;Undirected
