Id;Label;Tipo;Categoria
A_ADRIANA ALVES;ADRIANA ALVES;AUTOR_DOCENTE;AUTOR
A_ADRIANA BENETTI MARQUES VALIO;ADRIANA BENETTI MARQUES VALIO;AUTOR_DOCENTE;AUTOR
A_ADRIANA CRISTINA CHERRI NICOLA;ADRIANA CRISTINA CHERRI NICOLA;AUTOR_DOCENTE;AUTOR
A_ADRIANA NORI DE MACEDO;ADRIANA NORI DE MACEDO;AUTOR_DOCENTE;AUTOR
A_ALESSANDRA APARECIDA VERRI;ALESSANDRA APARECIDA VERRI;AUTOR_DOCENTE;AUTOR
A_ALESSANDRA LEDA VALVERDE;ALESSANDRA LEDA VALVERDE;AUTOR_DOCENTE;AUTOR
A_ALESSANDRA TOMAL;ALESSANDRA TOMAL;AUTOR_DOCENTE;AUTOR
A_ALICE KIMIE MIWA LIBARDI;ALICE KIMIE MIWA LIBARDI;AUTOR_DOCENTE;AUTOR
A_ALINE KLASSEN;ALINE KLASSEN;AUTOR_DOCENTE;AUTOR
A_AMANDA PORTO NEVES;AMANDA PORTO NEVES;AUTOR_DOCENTE;AUTOR
A_AMANDA QUEIROZ MOURA;AMANDA QUEIROZ MOURA;AUTOR_DOCENTE;AUTOR
A_AMANDA SILVA DE MIRANDA;AMANDA SILVA DE MIRANDA;AUTOR_DOCENTE;AUTOR
A_ANA CAROLINA LORENA;ANA CAROLINA LORENA;AUTOR_DOCENTE;AUTOR
A_ANA CRISTINA VIEIRA;ANA CRISTINA VIEIRA;AUTOR_DOCENTE;AUTOR
A_ANA FLAVIA NOGUEIRA;ANA FLAVIA NOGUEIRA;AUTOR_DOCENTE;AUTOR
A_ANA MARIA DA COSTA FERREIRA;ANA MARIA DA COSTA FERREIRA;AUTOR_DOCENTE;AUTOR
A_ANA PAULA DE CARVALHO TEIXEIRA;ANA PAULA DE CARVALHO TEIXEIRA;AUTOR_DOCENTE;AUTOR
A_ANA PAULA PERON;ANA PAULA PERON;AUTOR_DOCENTE;AUTOR
A_ANA PAULA PEROVANO;ANA PAULA PEROVANO;AUTOR_DOCENTE;AUTOR
A_ANA PAULA RAMOS;ANA PAULA RAMOS;AUTOR_DOCENTE;AUTOR
A_ANA RITA DE ARAUJO NOGUEIRA;ANA RITA DE ARAUJO NOGUEIRA;AUTOR_DOCENTE;AUTOR
A_ANDREA APARECIDA RIBEIRO ALVES;ANDREA APARECIDA RIBEIRO ALVES;AUTOR_DOCENTE;AUTOR
A_ANDREA TEIXEIRA USTRA;ANDREA TEIXEIRA USTRA;AUTOR_DOCENTE;AUTOR
A_ANGELA CRISTINA KRABBE;ANGELA CRISTINA KRABBE;AUTOR_DOCENTE;AUTOR
A_ANNA CLAUDIA CUNHA;ANNA CLAUDIA CUNHA;AUTOR_DOCENTE;AUTOR
A_ARLENE CRISTINA AGUILAR;ARLENE CRISTINA AGUILAR;AUTOR_DOCENTE;AUTOR
A_ARLENE GONCALVES CORREA;ARLENE GONCALVES CORREA;AUTOR_DOCENTE;AUTOR
A_AUREA ECHEVARRIA AZNAR NEVES LIMA;AUREA ECHEVARRIA AZNAR NEVES LIMA;AUTOR_DOCENTE;AUTOR
A_AUREA MARIA CIOTTI;AUREA MARIA CIOTTI;AUTOR_DOCENTE;AUTOR
A_BEATRIZ LEONOR SILVEIRA BARBUY;BEATRIZ LEONOR SILVEIRA BARBUY;AUTOR_DOCENTE;AUTOR
A_BIANCA CHIEREGATO MANIGLIA;BIANCA CHIEREGATO MANIGLIA;AUTOR_DOCENTE;AUTOR
A_BIANCA MORELLI RODOLFO CALSAVARA;BIANCA MORELLI RODOLFO CALSAVARA;AUTOR_DOCENTE;AUTOR
A_BRENDA LEE SIMAS PORTO;BRENDA LEE SIMAS PORTO;AUTOR_DOCENTE;AUTOR
A_CAMILA GREFF PASSOS;CAMILA GREFF PASSOS;AUTOR_DOCENTE;AUTOR
A_CAMILA NEGRAO SIGNORI;CAMILA NEGRAO SIGNORI;AUTOR_DOCENTE;AUTOR
A_CARLA GOBEL BURLAMAQUI DE MELLO;CARLA GOBEL BURLAMAQUI DE MELLO;AUTOR_DOCENTE;AUTOR
A_CARLA REGINA ALVES CARVALHO;CARLA REGINA ALVES CARVALHO;AUTOR_DOCENTE;AUTOR
A_CARLA SEMIRAMIS SILVEIRA;CARLA SEMIRAMIS SILVEIRA;AUTOR_DOCENTE;AUTOR
A_CARMEN FERNANDEZ;CARMEN FERNANDEZ;AUTOR_DOCENTE;AUTOR
A_CARMEN LUCIA CARDOSO;CARMEN LUCIA CARDOSO;AUTOR_DOCENTE;AUTOR
A_CARMEN VIEIRA MATHIAS;CARMEN VIEIRA MATHIAS;AUTOR_DOCENTE;AUTOR
A_CAROLINA BHERING DE ARAUJO;CAROLINA BHERING DE ARAUJO;AUTOR_DOCENTE;AUTOR
A_CAROLINA GIL MARCELINO;CAROLINA GIL MARCELINO;AUTOR_DOCENTE;AUTOR
A_CAROLINE DA ROS MONTES DOCA;CAROLINE DA ROS MONTES DOCA;AUTOR_DOCENTE;AUTOR
A_CASSIANA SEIMI NOMURA;CASSIANA SEIMI NOMURA;AUTOR_DOCENTE;AUTOR
A_CELIA BEATRIZ ANTENEODO DE PORTO;CELIA BEATRIZ ANTENEODO DE PORTO;AUTOR_DOCENTE;AUTOR
A_CELIA MACHADO RONCONI;CELIA MACHADO RONCONI;AUTOR_DOCENTE;AUTOR
A_CELINA MIRAGLIA HERRERA DE FIGUEIREDO;CELINA MIRAGLIA HERRERA DE FIGUEIREDO;AUTOR_DOCENTE;AUTOR
A_CHRISTINE CORDULA DANTAS;CHRISTINE CORDULA DANTAS;AUTOR_DOCENTE;AUTOR
A_CINTHYA SIMONE GOMES SANTOS;CINTHYA SIMONE GOMES SANTOS;AUTOR_DOCENTE;AUTOR
