Id;Label;Tipo;Categoria
A_ADRIANA BENETTI MARQUES VALIO;ADRIANA BENETTI MARQUES VALIO;AUTOR_DOCENTE;AUTOR
A_ADRIANA SILVA FRANCA;ADRIANA SILVA FRANCA;AUTOR_DOCENTE;AUTOR
A_AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;AMARILIS LUCIA CASTELI FIGUEIREDO GALLARDO;AUTOR_DOCENTE;AUTOR
A_ANA CAROLINA LORENA;ANA CAROLINA LORENA;AUTOR_DOCENTE;AUTOR
A_ANA LAURA MARTINS DE ANDRADE;ANA LAURA MARTINS DE ANDRADE;AUTOR_DOCENTE;AUTOR
A_ANA LUCIA FERREIRA DE BARROS;ANA LUCIA FERREIRA DE BARROS;AUTOR_DOCENTE;AUTOR
A_ANA LUCIA FIGUEIREDO FACIN;ANA LUCIA FIGUEIREDO FACIN;AUTOR_DOCENTE;AUTOR
A_ANA PAULA DA LUZ;ANA PAULA DA LUZ;AUTOR_DOCENTE;AUTOR
A_ANA PAULA DO NASCIMENTO LAMANO FERREIRA;ANA PAULA DO NASCIMENTO LAMANO FERREIRA;AUTOR_DOCENTE;AUTOR
A_ANA PAULA FURLAN;ANA PAULA FURLAN;AUTOR_DOCENTE;AUTOR
A_ANA PAULA KOURY;ANA PAULA KOURY;AUTOR_DOCENTE;AUTOR
A_ANA PAULA MONI SILVA;ANA PAULA MONI SILVA;AUTOR_DOCENTE;AUTOR
A_ANDREIA DE SOUZA MARTINS CARDOSO;ANDREIA DE SOUZA MARTINS CARDOSO;AUTOR_DOCENTE;AUTOR
A_ANDREIA GUERRA DE MORAES;ANDREIA GUERRA DE MORAES;AUTOR_DOCENTE;AUTOR
A_ANTONIA SONIA ALVES CARDOSO DINIZ;ANTONIA SONIA ALVES CARDOSO DINIZ;AUTOR_DOCENTE;AUTOR
A_BLUMA GUENTHER SOARES;BLUMA GUENTHER SOARES;AUTOR_DOCENTE;AUTOR
A_CAMILA SOARES FONSECA;CAMILA SOARES FONSECA;AUTOR_DOCENTE;AUTOR
A_CAMILLE FERREIRA MANNARINO;CAMILLE FERREIRA MANNARINO;AUTOR_DOCENTE;AUTOR
A_CARIN VON MUHLEN;CARIN VON MUHLEN;AUTOR_DOCENTE;AUTOR
A_CARINA ULSEN;CARINA ULSEN;AUTOR_DOCENTE;AUTOR
A_CARLA ROBERTA TIM;CARLA ROBERTA TIM;AUTOR_DOCENTE;AUTOR
A_CAROLINA PALMA NAVEIRA COTTA;CAROLINA PALMA NAVEIRA COTTA;AUTOR_DOCENTE;AUTOR
A_CECILIA MARIA VILLAS BOAS DE ALMEIDA;CECILIA MARIA VILLAS BOAS DE ALMEIDA;AUTOR_DOCENTE;AUTOR
A_CELIA MACHADO RONCONI;CELIA MACHADO RONCONI;AUTOR_DOCENTE;AUTOR
A_CLAUDIA APARECIDA DE MATTOS;CLAUDIA APARECIDA DE MATTOS;AUTOR_DOCENTE;AUTOR
A_CLAUDIA GIOVEDI MOTTA;CLAUDIA GIOVEDI MOTTA;AUTOR_DOCENTE;AUTOR
A_CLAUDIA TEREZINHA KNIESS;CLAUDIA TEREZINHA KNIESS;AUTOR_DOCENTE;AUTOR
A_CRISTIANA MARIA PEDROSO YOSHIDA;CRISTIANA MARIA PEDROSO YOSHIDA;AUTOR_DOCENTE;AUTOR
A_CRISTINA BORMIO NUNES;CRISTINA BORMIO NUNES;AUTOR_DOCENTE;AUTOR
A_DEBORA CARNEIRO MOREIRA;DEBORA CARNEIRO MOREIRA;AUTOR_DOCENTE;AUTOR
A_DENISE HELENA LOMBARDO FERREIRA;DENISE HELENA LOMBARDO FERREIRA;AUTOR_DOCENTE;AUTOR
A_DENISE MARIA ZEZELL;DENISE MARIA ZEZELL;AUTOR_DOCENTE;AUTOR
A_DOINA MARIANA BANEA;DOINA MARIANA BANEA;AUTOR_DOCENTE;AUTOR
A_DOLORES RIBEIRO RICCI LAZAR;DOLORES RIBEIRO RICCI LAZAR;AUTOR_DOCENTE;AUTOR
A_ELIZABETE FERNANDES LUCAS;ELIZABETE FERNANDES LUCAS;AUTOR_DOCENTE;AUTOR
A_FABIANA APARECIDA LOBO;FABIANA APARECIDA LOBO;AUTOR_DOCENTE;AUTOR
A_FABIANE LETICIA LIZARELLI;FABIANE LETICIA LIZARELLI;AUTOR_DOCENTE;AUTOR
A_FENI DALANO ROOSEVELT AGOSTINHO;FENI DALANO ROOSEVELT AGOSTINHO;AUTOR_DOCENTE;AUTOR
A_FERNANDA ARAUJO BAIAO AMORIM;FERNANDA ARAUJO BAIAO AMORIM;AUTOR_DOCENTE;AUTOR
A_FERNANDA PERPETUA CASCIATORI;FERNANDA PERPETUA CASCIATORI;AUTOR_DOCENTE;AUTOR
A_GABRIELA SCUR ALMUDI;GABRIELA SCUR ALMUDI;AUTOR_DOCENTE;AUTOR
A_GABRIELA WERNER GABRIEL;GABRIELA WERNER GABRIEL;AUTOR_DOCENTE;AUTOR
A_GIOVANNA MICELI RONZANI BORILLE;GIOVANNA MICELI RONZANI BORILLE;AUTOR_DOCENTE;AUTOR
A_GLAUCIA MARIA DALFRE;GLAUCIA MARIA DALFRE;AUTOR_DOCENTE;AUTOR
A_GRAICIANY DE PAULA BARROS;GRAICIANY DE PAULA BARROS;AUTOR_DOCENTE;AUTOR
A_ISABELLI DO NASCIMENTO DIAS;ISABELLI DO NASCIMENTO DIAS;AUTOR_DOCENTE;AUTOR
A_IVETT ZAVALA GUILLEN;IVETT ZAVALA GUILLEN;AUTOR_DOCENTE;AUTOR
A_IVONE REGINA DE OLIVEIRA;IVONE REGINA DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_IZABEL FERNANDA MACHADO;IZABEL FERNANDA MACHADO;AUTOR_DOCENTE;AUTOR
A_JULIANA BRAGA RODRIGUES LOUREIRO;JULIANA BRAGA RODRIGUES LOUREIRO;AUTOR_DOCENTE;AUTOR
A_JULIANA KELMY MACARIO BARBOZA DAGUANO;JULIANA KELMY MACARIO BARBOZA DAGUANO;AUTOR_DOCENTE;AUTOR
A_KISSILA BOTELHO GOLIATH;KISSILA BOTELHO GOLIATH;AUTOR_DOCENTE;AUTOR
A_KUMIKO KOIBUCHI SAKANE;KUMIKO KOIBUCHI SAKANE;AUTOR_DOCENTE;AUTOR
A_LARISSA DRIEMEIER;LARISSA DRIEMEIER;AUTOR_DOCENTE;AUTOR
A_LARISSA OTUBO;LARISSA OTUBO;AUTOR_DOCENTE;AUTOR
A_LASARA FABRICIA RODRIGUES;LASARA FABRICIA RODRIGUES;AUTOR_DOCENTE;AUTOR
A_LAURA SILVIA BAHIENSE DA SILVA LEITE;LAURA SILVIA BAHIENSE DA SILVA LEITE;AUTOR_DOCENTE;AUTOR
A_LEILA FIGUEIREDO DANTAS;LEILA FIGUEIREDO DANTAS;AUTOR_DOCENTE;AUTOR
A_LEISE KELLI DE OLIVEIRA;LEISE KELLI DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_LIA CARDOSO ROCHA SARAIVA TEIXEIRA;LIA CARDOSO ROCHA SARAIVA TEIXEIRA;AUTOR_DOCENTE;AUTOR
A_LILIAN KAWAKAMI CARVALHO;LILIAN KAWAKAMI CARVALHO;AUTOR_DOCENTE;AUTOR
A_LINDA LEE HO;LINDA LEE HO;AUTOR_DOCENTE;AUTOR
A_LISIANE VEIGA MATTOS;LISIANE VEIGA MATTOS;AUTOR_DOCENTE;AUTOR
A_LOURDES MARIA SILVA DE SOUZA;LOURDES MARIA SILVA DE SOUZA;AUTOR_DOCENTE;AUTOR
A_LUCIANA APARECIDA CAMPOS BALTATU;LUCIANA APARECIDA CAMPOS BALTATU;AUTOR_DOCENTE;AUTOR
A_LUCIANA VANNI GATTI;LUCIANA VANNI GATTI;AUTOR_DOCENTE;AUTOR
A_MAGALI CHRISTE CAMMAROTA;MAGALI CHRISTE CAMMAROTA;AUTOR_DOCENTE;AUTOR
A_MARCIA NITSCHKE;MARCIA NITSCHKE;AUTOR_DOCENTE;AUTOR
A_MARCIA PEIXOTO VEGA DOMICIANO;MARCIA PEIXOTO VEGA DOMICIANO;AUTOR_DOCENTE;AUTOR
A_MARIA CLARA VIEIRA MARTINS STARLING;MARIA CLARA VIEIRA MARTINS STARLING;AUTOR_DOCENTE;AUTOR
A_MARIA CRISTINA VASCONCELOS NASCIMENTO ROSSET;MARIA CRISTINA VASCONCELOS NASCIMENTO ROSSET;AUTOR_DOCENTE;AUTOR
A_MARIA CRISTINA VIDIGAL DE LIMA;MARIA CRISTINA VIDIGAL DE LIMA;AUTOR_DOCENTE;AUTOR
A_MARIA DA PENHA CINDRA FONSECA;MARIA DA PENHA CINDRA FONSECA;AUTOR_DOCENTE;AUTOR
A_MARIA LUCIA CALIJURI;MARIA LUCIA CALIJURI;AUTOR_DOCENTE;AUTOR
A_MARIA TERESA PAULINO AGUILAR;MARIA TERESA PAULINO AGUILAR;AUTOR_DOCENTE;AUTOR
A_MARIANA ABRANTES GIANNOTTI;MARIANA ABRANTES GIANNOTTI;AUTOR_DOCENTE;AUTOR
A_MARIANA CONCEICAO DA COSTA;MARIANA CONCEICAO DA COSTA;AUTOR_DOCENTE;AUTOR
A_MARINA BELLAVER CORTE;MARINA BELLAVER CORTE;AUTOR_DOCENTE;AUTOR
A_MARINA LAVORATO DE OLIVEIRA;MARINA LAVORATO DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
