Source;Target;Weight;Label;Type
A_SERGIO FERRAZ NOVAES;V_1029-8479;425;425;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1029-8479;322;322;Undirected
A_SERGIO FERRAZ NOVAES;V_0370-2693;170;170;Undirected
A_SERGIO FERRAZ NOVAES;V_1434-6052;130;130;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1434-6052;112;112;Undirected
A_SERGIO FERRAZ NOVAES;V_1079-7114;110;110;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_0370-2693;91;91;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1079-7114;84;84;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1550-7998;56;56;Undirected
A_SERGIO FERRAZ NOVAES;V_1550-2368;55;55;Undirected
A_HERMANO ENDLICH SCHNEIDER VELTEN;V_2470-0010;40;40;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_0031-9007;35;35;Undirected
A_JULIO CESAR FABRIS;V_2190-5444;30;30;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1550-2368;28;28;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_2470-0010;28;28;Undirected
A_ANTONIO JOAQUIM DE CAMPOS VARANDAS;V_1463-9076;27;27;Undirected
A_SERGIO FERRAZ NOVAES;V_1089-4918;25;25;Undirected
A_NATHAN JACOB BERKOVITS;V_1029-8479;25;25;Undirected
A_MARTIN MAKLER;V_0035-8711;24;24;Undirected
A_MARC CASALS CASANELLAS;V_2470-0010;23;23;Undirected
A_VALERIO MARRA;V_2470-0010;23;23;Undirected
A_ANDRE MASSAFFERRI RODRIGUES;V_1029-8479;23;23;Undirected
A_JULIO CESAR FABRIS;V_1434-6052;22;22;Undirected
A_VALERIO MARRA;V_1432-0746;22;22;Undirected
A_ANDRE SZNAJDER;V_1079-7114;21;21;Undirected
A_ALBERTO FRANCO DE SA SANTORO;V_1089-4918;21;21;Undirected
A_MARCOS TADEU D AZEREDO ORLANDO;V_0048-9697;21;21;Undirected
