Source;Target;Weight;Label;Type
A_GILVAN AUGUSTO ALVES;V_1029-8479;629;629;Undirected
A_GILVAN AUGUSTO ALVES;V_1079-7114;105;105;Undirected
A_GILVAN AUGUSTO ALVES;V_1089-4918;105;105;Undirected
A_GILVAN AUGUSTO ALVES;V_1434-6052;83;83;Undirected
A_GILVAN AUGUSTO ALVES;V_1434-6044;63;63;Undirected
A_LUIS FABIAN OLIVERA MEDEROS;V_1531-636X;45;45;Undirected
A_GILVAN AUGUSTO ALVES;V_0370-2693;45;45;Undirected
A_DIEGO BARRETO HADDAD;V_0278-081X;40;40;Undirected
A_LEONARDO ANDRE AMBROSIO;V_0022-4073;30;30;Undirected
A_JOSE MANOEL DE SEIXAS;V_1029-8479;27;27;Undirected
A_RODRIGO GOYANNES GUSMAO CAIADO;V_2071-1050;26;26;Undirected
A_JOSE MANOEL DE SEIXAS;V_1434-6052;25;25;Undirected
A_ALEXANDRE BERGANTINI DE SOUZA;V_0035-8711;24;24;Undirected
A_FELIPE DA ROCHA HENRIQUES;V_1022-0038;23;23;Undirected
A_ANTONIO CARLOS RODRIGUES GUIMARAES;V_2214-3912;20;20;Undirected
A_JOSE BALTAZAR SALGUEIRINHO OSORIO DE ANDRADE GUERRA;V_1467-6370;20;20;Undirected
A_DANIEL NEVES MICHA;V_2156-3381;19;19;Undirected
A_DANIEL NEVES MICHA;V_0021-8979;19;19;Undirected
A_BIAGIO FERNANDO GIANNETTI;V_2071-1050;18;18;Undirected
A_PAVEL BEDRIKOVETSKI;V_0920-4105;15;15;Undirected
A_LUIS CESAR FERREIRA MOTTA BARBOSA;V_1463-5771;14;14;Undirected
A_RODRIGO GOYANNES GUSMAO CAIADO;V_0925-5273;11;11;Undirected
A_DIEGO BARRETO HADDAD;V_1549-7747;11;11;Undirected
A_DIEGO BARRETO HADDAD;V_1558-2558;11;11;Undirected
A_DIEGO BARRETO HADDAD;V_0165-1684;11;11;Undirected
A_BIAGIO FERNANDO GIANNETTI;V_0959-6526;10;10;Undirected
