Id;Label;Tipo;Categoria
A_ADAIR ROBERTO AGUIAR;ADAIR ROBERTO AGUIAR;AUTOR_DOCENTE;AUTOR
A_ADEMAR BENEVOLO LUGAO;ADEMAR BENEVOLO LUGAO;AUTOR_DOCENTE;AUTOR
A_ADILSON JOSE DA SILVA;ADILSON JOSE DA SILVA;AUTOR_DOCENTE;AUTOR
A_ADIMIR DOS SANTOS;ADIMIR DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_ADRIANO BRESSANE;ADRIANO BRESSANE;AUTOR_DOCENTE;AUTOR
A_ADRIANO LUIZ TONETTI;ADRIANO LUIZ TONETTI;AUTOR_DOCENTE;AUTOR
A_AFONSO RANGEL GARCEZ DE AZEVEDO;AFONSO RANGEL GARCEZ DE AZEVEDO;AUTOR_DOCENTE;AUTOR
A_ALAN CONCI KUBRUSLY;ALAN CONCI KUBRUSLY;AUTOR_DOCENTE;AUTOR
A_ALAN KARDEK REGO SEGUNDO;ALAN KARDEK REGO SEGUNDO;AUTOR_DOCENTE;AUTOR
A_ALBERTO DE FREITAS CASTRO FONSECA;ALBERTO DE FREITAS CASTRO FONSECA;AUTOR_DOCENTE;AUTOR
A_ALDEMIR APARECIDO CAVALINI JUNIOR;ALDEMIR APARECIDO CAVALINI JUNIOR;AUTOR_DOCENTE;AUTOR
A_ALESSANDRO CIRONE;ALESSANDRO CIRONE;AUTOR_DOCENTE;AUTOR
A_ALEXANDRE BERGANTINI DE SOUZA;ALEXANDRE BERGANTINI DE SOUZA;AUTOR_DOCENTE;AUTOR
A_ALEXANDRE FURTADO FERREIRA;ALEXANDRE FURTADO FERREIRA;AUTOR_DOCENTE;AUTOR
A_ALEXANDRE ROSSI;ALEXANDRE ROSSI;AUTOR_DOCENTE;AUTOR
A_ALEXANDRE SANTOS FRANCISCO;ALEXANDRE SANTOS FRANCISCO;AUTOR_DOCENTE;AUTOR
A_ALEXANDRE STREET DE AGUIAR;ALEXANDRE STREET DE AGUIAR;AUTOR_DOCENTE;AUTOR
A_ALFREDO GAY NETO;ALFREDO GAY NETO;AUTOR_DOCENTE;AUTOR
A_ALISON DE OLIVEIRA MORAES;ALISON DE OLIVEIRA MORAES;AUTOR_DOCENTE;AUTOR
A_ALISSON ROCHA MACHADO;ALISSON ROCHA MACHADO;AUTOR_DOCENTE;AUTOR
A_ALVARO AUGUSTO MACHADO DE MEDEIROS;ALVARO AUGUSTO MACHADO DE MEDEIROS;AUTOR_DOCENTE;AUTOR
A_ALVARO CHRISPINO;ALVARO CHRISPINO;AUTOR_DOCENTE;AUTOR
A_AMARO OLIMPIO PEREIRA JUNIOR;AMARO OLIMPIO PEREIRA JUNIOR;AUTOR_DOCENTE;AUTOR
A_AMERICO BARBOSA DA CUNHA JUNIOR;AMERICO BARBOSA DA CUNHA JUNIOR;AUTOR_DOCENTE;AUTOR
A_AMILTON RODRIGUES DA SILVA;AMILTON RODRIGUES DA SILVA;AUTOR_DOCENTE;AUTOR
A_AMILTON SINATORA;AMILTON SINATORA;AUTOR_DOCENTE;AUTOR
A_ANDERSON ROGERIO FAIA PINTO;ANDERSON ROGERIO FAIA PINTO;AUTOR_DOCENTE;AUTOR
A_ANDERSON ZANARDI DE FREITAS;ANDERSON ZANARDI DE FREITAS;AUTOR_DOCENTE;AUTOR
A_ANDRE BERGSTEN MENDES;ANDRE BERGSTEN MENDES;AUTOR_DOCENTE;AUTOR
A_ANDRE FROSSARD PEREIRA DE LUCENA;ANDRE FROSSARD PEREIRA DE LUCENA;AUTOR_DOCENTE;AUTOR
A_ANDRE LUIS CHRISTOFORO;ANDRE LUIS CHRISTOFORO;AUTOR_DOCENTE;AUTOR
A_ANDRE LUIS SOTERO SALUSTIANO MARTIM;ANDRE LUIS SOTERO SALUSTIANO MARTIM;AUTOR_DOCENTE;AUTOR
A_ANDRE LUIZ MORAES ALVES;ANDRE LUIZ MORAES ALVES;AUTOR_DOCENTE;AUTOR
A_ANDRE PAULO TSCHIPTSCHIN;ANDRE PAULO TSCHIPTSCHIN;AUTOR_DOCENTE;AUTOR
A_ANDRE ROCHA PIMENTA;ANDRE ROCHA PIMENTA;AUTOR_DOCENTE;AUTOR
A_ANDRE TEOFILO BECK;ANDRE TEOFILO BECK;AUTOR_DOCENTE;AUTOR
A_ANDRE VALDETARO GOMES CAVALIERI;ANDRE VALDETARO GOMES CAVALIERI;AUTOR_DOCENTE;AUTOR
A_ANDRE VON HELD SOARES;ANDRE VON HELD SOARES;AUTOR_DOCENTE;AUTOR
A_ANDREI BONAMIGO;ANDREI BONAMIGO;AUTOR_DOCENTE;AUTOR
A_ANDREI DE OLIVEIRA ALMEIDA;ANDREI DE OLIVEIRA ALMEIDA;AUTOR_DOCENTE;AUTOR
A_ANDREI GIORDANO HOLANDA BATTISTEL;ANDREI GIORDANO HOLANDA BATTISTEL;AUTOR_DOCENTE;AUTOR
A_ANNIBAL JOSE RORIS RODRIGUEZ SCAVARDA DO CARMO;ANNIBAL JOSE RORIS RODRIGUEZ SCAVARDA DO CARMO;AUTOR_DOCENTE;AUTOR
A_ANTONIO ABEL GONZALEZ CARRASQUILLA;ANTONIO ABEL GONZALEZ CARRASQUILLA;AUTOR_DOCENTE;AUTOR
A_ANTONIO AUGUSTO ARAUJO PINTO DA SILVA;ANTONIO AUGUSTO ARAUJO PINTO DA SILVA;AUTOR_DOCENTE;AUTOR
A_ANTONIO AUGUSTO COUTO;ANTONIO AUGUSTO COUTO;AUTOR_DOCENTE;AUTOR
A_ANTONIO BERNARDO GUIMARAES NETO;ANTONIO BERNARDO GUIMARAES NETO;AUTOR_DOCENTE;AUTOR
A_ANTONIO CARLOS DOS SANTOS;ANTONIO CARLOS DOS SANTOS;AUTOR_DOCENTE;AUTOR
A_ANTONIO CARLOS FERNANDES;ANTONIO CARLOS FERNANDES;AUTOR_DOCENTE;AUTOR
A_ANTONIO CARLOS RODRIGUES GUIMARAES;ANTONIO CARLOS RODRIGUES GUIMARAES;AUTOR_DOCENTE;AUTOR
A_ANTONIO FERNANDO BERTACHINI DE ALMEIDA PRADO;ANTONIO FERNANDO BERTACHINI DE ALMEIDA PRADO;AUTOR_DOCENTE;AUTOR
A_ANTONIO FERNANDO BRANCO COSTA;ANTONIO FERNANDO BRANCO COSTA;AUTOR_DOCENTE;AUTOR
A_ANTONIO FERREIRA AVILA;ANTONIO FERREIRA AVILA;AUTOR_DOCENTE;AUTOR
A_ANTONIO GIANNELLA NETO;ANTONIO GIANNELLA NETO;AUTOR_DOCENTE;AUTOR
A_ANTONIO KRISHNAMURTI BELENO DE OLIVEIRA;ANTONIO KRISHNAMURTI BELENO DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_ANTONIO MAURICIO FERREIRA LEITE MIRANDA DE SA;ANTONIO MAURICIO FERREIRA LEITE MIRANDA DE SA;AUTOR_DOCENTE;AUTOR
A_ANTONIO TEIXEIRA E SILVA;ANTONIO TEIXEIRA E SILVA;AUTOR_DOCENTE;AUTOR
A_ARMANDO MARTINS LEITE DA SILVA;ARMANDO MARTINS LEITE DA SILVA;AUTOR_DOCENTE;AUTOR
A_ARNALDO GOMES LEAL JUNIOR;ARNALDO GOMES LEAL JUNIOR;AUTOR_DOCENTE;AUTOR
A_ARTHUR VIEIRA DA SILVA OLIVEIRA;ARTHUR VIEIRA DA SILVA OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_ASSED NAKED HADDAD;ASSED NAKED HADDAD;AUTOR_DOCENTE;AUTOR
A_AUGUSTO CESAR DA SILVA BEZERRA;AUGUSTO CESAR DA SILVA BEZERRA;AUTOR_DOCENTE;AUTOR
A_AUGUSTO MATHEUS DOS SANTOS ALONSO;AUGUSTO MATHEUS DOS SANTOS ALONSO;AUTOR_DOCENTE;AUTOR
A_AURELIO LUIZ MAGALHAES COELHO;AURELIO LUIZ MAGALHAES COELHO;AUTOR_DOCENTE;AUTOR
A_AUTELIANO ANTUNES DOS SANTOS JUNIOR;AUTELIANO ANTUNES DOS SANTOS JUNIOR;AUTOR_DOCENTE;AUTOR
A_BIAGIO FERNANDO GIANNETTI;BIAGIO FERNANDO GIANNETTI;AUTOR_DOCENTE;AUTOR
A_BOJAN MARINKOVIC;BOJAN MARINKOVIC;AUTOR_DOCENTE;AUTOR
A_BRUNO HENRIQUE GROENNER BARBOSA;BRUNO HENRIQUE GROENNER BARBOSA;AUTOR_DOCENTE;AUTOR
A_BRUNO HENRIQUES DIAS;BRUNO HENRIQUES DIAS;AUTOR_DOCENTE;AUTOR
